vanquishing,vanquished
Johann Schmidt / Red Skull,guy
Heinz Kruger,building
Heinz Kruger,Dr. Abraham Erskine
Heinz Kruger,guy
Heinz Kruger,guy
Heinz Kruger,guy
Heinz Kruger,guy
Heinz Kruger,guy
Peggy Carter,guy
Heinz Kruger,Hutter
Heinz Kruger,Schneider
Heinz Kruger,Roeder
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Heinz Kruger,building
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,building
Steve Rogers / Captain America,guy
Jacques Dernier,vehicle
Jacques Dernier,guy
Bucky Barnes / Winter Soldier,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,vehicle
Johann Schmidt / Red Skull,guy
Bucky Barnes / Winter Soldier,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,vehicle
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,building
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Johann Schmidt / Red Skull,guy
James Montgomery Falsworth,guy
Timothy 'Dum Dum' Dugan,guy
Gabe Jones,guy
Timothy 'Dum Dum' Dugan,guy
Timothy 'Dum Dum' Dugan,guy
Gabe Jones,guy
James Montgomery Falsworth,guy
Timothy 'Dum Dum' Dugan,guy
Gabe Jones,guy
Gabe Jones,guy
James Montgomery Falsworth,guy
Timothy 'Dum Dum' Dugan,guy
Timothy 'Dum Dum' Dugan,guy
Timothy 'Dum Dum' Dugan,guy
Johann Schmidt / Red Skull,guy
Johann Schmidt / Red Skull,guy
Johann Schmidt / Red Skull,guy
Johann Schmidt / Red Skull,guy
Colonel Chester Phillips,guy
Colonel Chester Phillips,guy
Colonel Chester Phillips,guy
Peggy Carter,guy
Johann Schmidt / Red Skull,guy
Johann Schmidt / Red Skull,guy
Johann Schmidt / Red Skull,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,vehicle
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
