vanquishing,vanquished
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Brock Rumlow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Brock Rumlow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,Georges Batroc
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Nick Fury,vehicle
Nick Fury,vehicle
Nick Fury,guy
Nick Fury,guy
Nick Fury,guy
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,Nick Fury
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,Jack Rollins
Steve Rogers / Captain America,Brock Rumlow
Steve Rogers / Captain America,vehicle
Alexander Pierce,Renata
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Natasha Romanoff / Black Widow,vehicle
Maria Hill,guy
Bucky Barnes / Winter Soldier,guy
Brock Rumlow,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,guy
Brock Rumlow,guy
Brock Rumlow,guy
Brock Rumlow,guy
Alexander Pierce,Councilman Rockwell
Alexander Pierce,Councilman Yen
Alexander Pierce,Councilman Singh
Nick Fury,Alexander Pierce
