vanquishing,vanquished
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Gamora,guy
Gamora,guy
Gamora,guy
Ronan,The Other
Groot,vehicle
Groot,vehicle
Groot,vehicle
Groot,vehicle
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Rocket,guy
Rocket,guy
Gamora,guy
Gamora,guy
Gamora,guy
Gamora,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,vehicle
Groot,vehicle
Groot,vehicle
Drax,vehicle
Groot,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Yondu Udonta,The Broker
Carina,building
infinity stone,Carina
Peter Quill / Star-Lord,vehicle
Peter Quill / Star-Lord,vehicle
Peter Quill / Star-Lord,vehicle
Nebula,vehicle
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Rocket,vehicle
Rocket,vehicle
Rocket,vehicle
Rocket,vehicle
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,vehicle
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Peter Quill / Star-Lord,guy
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Drax,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Peter Quill / Star-Lord,guy
Drax,Korath
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Groot,guy
Nebula,guy
Gamora,guy
Drax,guy
Peter Quill / Star-Lord,Ronan
