vanquishing,vanquished
Jack Taggart,building
Eric Savin,building
Tony Stark / Iron Man,vehicle
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,vehicle
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Ellen Brandt,guy
Ellen Brandt,guy
Tony Stark / Iron Man,Ellen Brandt
Eric Savin,building
Tony Stark / Iron Man,Eric Savin
Aldrich Killian,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Aldrich Killian,Maya Hansen
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
Tony Stark / Iron Man,guy
James Rhodes / War Machine,guy
James Rhodes / War Machine,guy
James Rhodes / War Machine,guy
Eric Savin,guy
Eric Savin,guy
Eric Savin,guy
Eric Savin,guy
Eric Savin,guy
Eric Savin,guy
Eric Savin,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,building
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
JARVIS,guy
James Rhodes / War Machine,guy
James Rhodes / War Machine,guy
Pepper Potts,Aldrich Killian
