vanquishing,vanquished
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Bor,guy
Malekith,guy
Malekith,guy
Malekith,guy
Malekith,guy
Sif,guy
Volstagg,guy
Volstagg,guy
Sif,guy
Thor,guy
Thor,guy
Thor,guy
Thor,guy
Thor,guy
Hogun,guy
Hogun,guy
Hogun,guy
Hogun,guy
Fandral,guy
Fandral,guy
Sif,guy
Sif,guy
Thor,guy
Thor,guy
Thor,guy
Giant Marauder,guy
Thor,Giant Marauder
Kurse,guy
Kurse,guy
Fandral,guy
Fandral,guy
Volstagg,guy
Volstagg,guy
Thor,guy
Thor,guy
Thor,guy
Thor,guy
Thor,guy
Heimdall,vehicle
Kurse,guy
Kurse,guy
Kurse,guy
Kurse,guy
Kurse,guy
Odin,guy
Malekith,Frigga
Volstagg,guy
Volstagg,guy
Volstagg,guy
Volstagg,guy
Volstagg,guy
Fandral,guy
Fandral,guy
Fandral,guy
Loki,guy
Loki,guy
Loki,guy
Loki,Kurse
Thor,guy
Thor,guy
Thor,guy
Malekith,vehicle
Malekith,vehicle
Malekith,vehicle
Malekith,vehicle
Ian Boothby,guy
Ian Boothby,guy
Ian Boothby,guy
Ian Boothby,vehicle
Thor,vehicle
Thor,Malekith
