filename,order,title,year,division,livre,series,volume,tome,no
lacomediehumaine_avantpropos.txt,1,Avant-propos,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,1
lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,2
lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,3
lacomediehumaine_labourse.txt,4,La Bourse,1832,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,4
lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,5
lacomediehumaine_lmadamefirmiani.txt,6,Madame Firiani,1831,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,6
lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,7
lacomediehumaine_lapaixdumenage.txt,8,La Paix du mÌ©nage,1829,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,8
lacomediehumaine_lafaussemaitresse.txt,9,La Fausse MaÌ¨tresse,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,9
lacomediehumaine_etudedefemme.txt,10,Ìätude de femme,1830,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,10
lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,1,1,11
lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,MÌ©moires de deux jeunes mariÌ©es,1841,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,1
lacomediehumaine_unefilledeve.txt,13,Une fille d'Ì¬ve,1838,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,2
lacomediehumaine_lafemmeabandonnee.txt,14,La Femme abandonnÌ©e,1832,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,3
lacomediehumaine_lagrenadiere.txt,15,La GrenadiÌ¬re,1832,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,4
lacomediehumaine_lemessage.txt,16,Le Message,1832,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,5
lacomediehumaine_gobseck.txt,17,GobseckåÊ,1830,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,6
lacomediehumaine_autreetudedefemme.txt,18,Autre Ì©tude de femme,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,2,2,7
lacomediehumaine_lafemmedetrenteans.txt,19,La Femme de trente ans,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,3,3,1
lacomediehumaine_lecontratdemariage.txt,20,Le Contrat de mariage,1835,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,3,3,2
lacomediehumaine_beatrix.txt,21,BÌ©atrix,1839,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,BÌ©atrix,3,3,3
lacomediehumaine_beatrix2.txt,22,BÌ©atrix 2,1844,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,BÌ©atrix,4,4,1
lacomediehumaine_lagrandebreteche.txt,23,La Grande BretÌ¬che,1831,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,4,4,2
lacomediehumaine_modestemignon.txt,24,Modeste Mignon,1844,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,4,4,3
lacomediehumaine_honorine.txt,25,Honorine,1843,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,4,4,4
lacomediehumaine_undebutdanslavie.txt,26,Un dÌ©but dans la vie,1842,I. Ìätudes de moeurs,I. ScÌ¬nes de la vie privÌ©e,,4,4,5
lacomediehumaine_ursulemirouet.txt,27,Ursule MirouÌÇt,1841,I. Ìätudes de moeurs,II. ScÌ¬nes de la vie de province,,5,1,1
lacomediehumaine_eugeniegrandet.txt,28,EugÌ©nie Grandet,1833,I. Ìätudes de moeurs,II. ScÌ¬nes de la vie de province,,5,1,2
lacomediehumaine_pierrette.txt,29,Pierrette,1839,I. Ìätudes de moeurs,II. ScÌ¬nes de la vie de province,Les CÌ©libataires,5,1,3
lacomediehumaine_lecuredetours.txt,30,Le CurÌ© de Tours,1832,I. Ìätudes de moeurs,II. ScÌ¬nes de la vie de province,Les CÌ©libataires,6,2,1
lacomediehumaine_unmenagedegarcon.txt,31,Un mÌ©nage de garÌ¤on,1842,I. Ìätudes de moeurs,II. ScÌ¬nes de la vie de province,Les CÌ©libataires,6,2,2
