entity,appearances,gender,filename,order,title,year,division,livre,series,volume,tome,no
Augustine Guillaume,91,W,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
Girodet,4,M,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
Joseph Lebas,36,M,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
la duchesse de Carigliano,8,W,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
le sieur Chevrel,10,M,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
Theodore de Sommervieux,29,M,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
Virginie Lebas,27,W,lacomediehumaine_lamaisonduchatquipelote.txt,2,La Maison du chat-qui-pelote,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,2
Clara Longueville,17,W,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
comte de Kergarouet,8,M,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
Emilie de Fontaine,102,W,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
lady Dudley,4,W,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
le vieux Vendeen,4,M,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
madame Planat,7,W,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
Maximilien Longueville,42,M,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
monsieur de Fontaine,97,M,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
Vendeens,5,?,lacomediehumaine_lebaldesceaux.txt,3,Le Bal de Sceaux,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,3
Adelaide,52,W,lacomediehumaine_labourse.txt,4,La Bourse,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,4
Hippolyte Schinner,52,M,lacomediehumaine_labourse.txt,4,La Bourse,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,4
madame de Rouville,NA,W,lacomediehumaine_labourse.txt,4,La Bourse,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,4
monsieur de Rouville,25,M,lacomediehumaine_labourse.txt,4,La Bourse,1832,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,4
Amelie Thirion,14,W,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Bartholomeo,50,M,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Ginevra Piambo,206,W,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
La Bedoyere,11,M,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Laure,20,W,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Louis,31,M,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Luigi Porta,50,M,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Mathilde Roguin,10,W,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Porta,14,?,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
Servin,51,M,lacomediehumaine_lavendetta.txt,5,La Vendetta,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,5
madame Firmiani,56,W,lacomediehumaine_lmadamefirmiani.txt,6,madame Firiani,1831,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,6
monsieur de Bourbonne,11,M,lacomediehumaine_lmadamefirmiani.txt,6,madame Firiani,1831,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,6
Octave de Camps,25,M,lacomediehumaine_lmadamefirmiani.txt,6,madame Firiani,1831,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,6
Angelique Bontems,31,W,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
Cambaceres,5,M,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
Caroline Crochard,81,W,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
Eugenie de Bellefeuille,18,W,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
Franccoise,12,W,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
l'abbe Fontanon,6,M,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
madame Crochard,33,W,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
monsieur de Granville,85,M,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
Roger,45,M,lacomediehumaine_unedoublefamille.txt,7,Une double famille,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,7
comte de Montcornet,30,M,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
la comtesse de Gondreville,NA,W,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
le comte de Gondreville,11,M,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
le comte de Soulanges,43,M,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
madame de Grandlieu,14,W,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
madame de Vaudremont,48,W,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
Martial,56,M,lacomediehumaine_lapaixdumenage.txt,8,La Paix du menage,1829,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,8
Adam de Rouvre,103,M,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Clementine de Rouvre,89,W,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Constantin,8,M,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
madame Chapuzot,17,W,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
madame de Serizy,6,W,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Marguerite Turquet,8,W,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Mitgislas,5,M,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Paz,121,M,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Thaddee,64,W,lacomediehumaine_lafaussemaitresse.txt,9,La Fausse Maitresse,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,9
Caroline,5,W,lacomediehumaine_etudedefemme.txt,10,Etude de femme,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,10
Eugene de Rastignac,26,W,lacomediehumaine_etudedefemme.txt,10,Etude de femme,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,10
Joseph,6,M,lacomediehumaine_etudedefemme.txt,10,Etude de femme,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,10
la marquise de Listomere,21,W,lacomediehumaine_etudedefemme.txt,10,Etude de femme,1830,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,10
Albert Savaron,134,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Alfred Boucher,14,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Bergmann,NA,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Chantonnit,5,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Emilio,5,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Fanny Lovelace,5,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Francesca Soderini,89,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Gina,20,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Girardet,17,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Jerome,26,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
l'abbe de Grancey,45,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
la comtesse de Soulas,NA,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
la duc d'Argaiolo,NA,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
la duchesse d'Argaiolo,12,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
la princesse Gandolphini,9,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Leopold Hannequin,26,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
le prince Gandolphini,NA,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Lovelace,8,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
madame Bergmann,15,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
madame de Chavoncourt,47,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
mademoiselle Sidonie,9,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Mariette,31,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
monsieur de Soulas,60,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
monsieur Jeanrenaud,5,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Philomene de Watteville,151,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
princesse Soderini,8,W,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Rodolphe,133,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Tito,8,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Watteville,122,M,lacomediehumaine_albertsavarus.txt,11,Albert Savarus,1842,I. Etudes de moeurs,I. Scenes de la vie privee,,1,1,11
Armand-Louis,86,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Athenais,9,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Daniel d'Arthez,8,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
de l'Estorade,114,?,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Don Fernand,7,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Don Henarez,11,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Felipe,52,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Henri de Marsay,5,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
la duchesse de Chaulieu,237,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
la marquise d'Espard,8,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
le duc de Chaulieu,27,?,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
le duc de Soria,24,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Louis-Gaston,100,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Macumer,39,?,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Marie,30,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Marie-Gaston,97,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Mary,6,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Miss Griffith,32,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
monsieur de Montriveau,11,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Philippe,14,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Rene,8,M,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Renee Maucombe,29,W,lacomediehumaine_memoiresdedeuxjeunesmariees.txt,12,Memoires de deux jeunes mariees,1841,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,1
Beatrix de Rochefide,5,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Charles de Vandenesse,5,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Delphine de Nucingen,NA,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Emile Blondet,39,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Etienne Lousteau,6,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Eugene de Rastignac,26,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Eve,3,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Felicien Vernou,4,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Felix de Vandenesse,95,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Ferdinand du Tillet,81,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Florine,99,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Frederic de Nucingen,30,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Gigonnet,9,M,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
la comtesse de Montcornet,13,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
la marquise d'Espard,25,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
la marquise de Listomere,4,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
Marie-Angelique de Vandenesse,92,W,lacomediehumaine_unefilledeve.txt,13,Une fille d'eve,1838,I. Etudes de moeurs,I. Scenes de la vie privee,,2,2,2
