vanquishing,vanquished
Bucky Barnes / Winter Soldier,vehicle
Bucky Barnes / Winter Soldier,Howard Stark
Bucky Barnes / Winter Soldier,Maria Stark
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Steve Rogers / Captain America,object
Steve Rogers / Captain America,guy
Brock Rumlow / Crossbones,object
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Sam Wilson / Falcon,guy
Sam Wilson / Falcon,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Natasha Romanoff / Black Widow,guy
Sam Wilson / Falcon,guy
Natasha Romanoff / Black Widow,guy
Sam Wilson / Falcon,guy
Wanda Maximoff / Svehiclelet Witch,Brock Rumlow / Crossbones
Wanda Maximoff / Svehiclelet Witch,building
Zemo,Karpov
Zemo,T'Chaka
Zemo,building
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,guy
Bucky Barnes / Winter Soldier,vehicle
Josef,guy
Josef,guy
Wanda Maximoff / Svehiclelet Witch,object
Clint Barton / Hawkeye,building
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Clint Barton / Hawkeye,vehicle
Peter Parker / Spider-Man,object
Scott Lang / Ant-Man,vehicle
Peter Parker / Spider-Man,vehicle
Scott Lang / Ant-Man,vehicle
Scott Lang / Ant-Man,vehicle
Scott Lang / Ant-Man,vehicle
Scott Lang / Ant-Man,vehicle
Wanda Maximoff / Svehiclelet Witch,vehicle
Zemo,guy
Zemo,Josef
Zemo,creature
Zemo,creature
Zemo,creature
Zemo,creature
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
Steve Rogers / Captain America,guy
