vanquishing,vanquished
Gamora,Abilisk
Drax,vehicle 
Ego,vehicle 
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Rocket,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Groot,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Yondu Udonta,guy
Rocket,guy
Yondu Udonta,Taserface
Yondu Udonta,vehicle
Groot,Ego
