CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Bruce Wayne / Batman,DC,Batman Begins,31-May-05,good,male,human hero,short,change
Alfred,DC,Batman Begins,31-May-05,good,male,human,short,n
Rachel Dawes,DC,Batman Begins,31-May-05,good,female,human,long,n
Jim Gordon,DC,Batman Begins,31-May-05,good,male,human,short,y
Dr. Jonathan Crane,DC,Batman Begins,31-May-05,bad,bad,human hero,short,n
Carmine Falcone,DC,Batman Begins,31-May-05,bad,male,human,short,n
Earle,DC,Batman Begins,31-May-05,bad,male,human,short,n
Ra's Al Ghul,DC,Batman Begins,31-May-05,bad,male,human hero,short,y
Flass,DC,Batman Begins,31-May-05,bad,male,human,long,y
Thomas Wayne,DC,Batman Begins,31-May-05,good,male,human,short,n
Lucius Fox,DC,Batman Begins,31-May-05,good,male,human,short,y
Finch,DC,Batman Begins,31-May-05,good,male,human,short,n
Loeb,DC,Batman Begins,31-May-05,good,male,human,bald,n
Martha Wayne,DC,Batman Begins,31-May-05,good,female,human,short,n
Jessica,DC,Batman Begins,31-May-05,good,female,human,long,n
Fredericks,DC,Batman Begins,31-May-05,good,male,human,short,n
Judge Faden,DC,Batman Begins,31-May-05,bad,male,human,short,n
Joe Chill,DC,Batman Begins,31-May-05,bad,male,human,short,change
Captain Simonson,DC,Batman Begins,31-May-05,good,male,human,short,n
Mrs. Dawes,DC,Batman Begins,31-May-05,good,female,human,long,n
Victor Zsaz,DC,Batman Begins,31-May-05,bad,male,human,bald,y
Barbara Gordon,DC,Batman Begins,31-May-05,good,female,human,short,n
