CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Superman / Clark Kent,DC,Man of Steel,10-Jun-13,good,male,alien hero,short,n
Lois Lane,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Zod,DC,Man of Steel,10-Jun-13,bad,male,alien hero,NA,NA
Martha Kent,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Jor-El,DC,Man of Steel,10-Jun-13,good,male,alien hero,short,y
Faora-Ul,DC,Man of Steel,10-Jun-13,bad,female,alien hero,short,n
General Swanwick,DC,Man of Steel,10-Jun-13,good,male,alien hero,short,n
Dr. Emil Hamilton,DC,Man of Steel,10-Jun-13,good,male,human,bald,y
Colonel Nathan Hardy,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Jonathan Kent,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Lara Lor-Van,DC,Man of Steel,10-Jun-13,good,female,alien,long,n
Perry White,DC,Man of Steel,10-Jun-13,good,male,human,short,y
Lor-Em,DC,Man of Steel,10-Jun-13,good,male,alien,short,n
Ro-Zar,DC,Man of Steel,10-Jun-13,good,female,alien,short,n
Steve Lombard,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Jenny,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Major Carrie Farris,DC,Man of Steel,10-Jun-13,good,female,human,short,n
Father Leone,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Glen Woodburn,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Helen Ross,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Kelor,DC,Man of Steel,10-Jun-13,good,NA,alien,NA,NA
Tor-An,DC,Man of Steel,10-Jun-13,bad,male,alien hero,short,n
Jax-Ur,DC,Man of Steel,10-Jun-13,bad,male,alien,bald,n
Car-Vex,DC,Man of Steel,10-Jun-13,bad,female,alien hero,short,n
Major Laramore,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Jed Eubanks,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Heraldson,DC,Man of Steel,10-Jun-13,good,male,human,short,y
Officer Sekowsky,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Lana Lang,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Whitney Fordham,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Ms. Rampling,DC,Man of Steel,10-Jun-13,good,female,human,long,n
Ludlow,DC,Man of Steel,10-Jun-13,good,male,human,short,y
Weaver,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Pete Ross,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Ken Braverman,DC,Man of Steel,10-Jun-13,good,male,human,short,n
Dev-Em,DC,Man of Steel,10-Jun-13,good,male,alien,short,n
Nadira,DC,Man of Steel,10-Jun-13,bad,female,alien hero,short,n
Sergeant Vance,DC,Man of Steel,10-Jun-13,good,male,human,short,n
