CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Deadshot,DC,Suicide Squad,01-Aug-16,bad,male,superhero,short,y
Sergeant Ames Bravo 14,DC,Suicide Squad,01-Aug-16,bad,male,human,short,n
Griggs,DC,Suicide Squad,01-Aug-16,bad,male,human,short,y
Harley Quinn,DC,Suicide Squad,01-Aug-16,bad,female,human hero,long,n
Amanda Waller,DC,Suicide Squad,01-Aug-16,change,female,human,short,n
Dexter Tolliver,DC,Suicide Squad,01-Aug-16,good,male,human,short,n
Zoe,DC,Suicide Squad,01-Aug-16,good,female,human,long,n
Joker,DC,Suicide Squad,01-Aug-16,bad,male,human hero,short,n
Panda Man,DC,Suicide Squad,01-Aug-16,bad,male,human,NA,NA
Frost,DC,Suicide Squad,01-Aug-16,bad,male,human,short,y
Monster T,DC,Suicide Squad,01-Aug-16,bad,male,superhero,bald,y
George Harkness / Captain Boomerang,DC,Suicide Squad,01-Aug-16,bad,male,human hero,short,y
Barry Allen / The Flash,DC,Suicide Squad,01-Aug-16,good,male,superhero,short,n
Diablo,DC,Suicide Squad,01-Aug-16,bad,male,superhero,bald,n
Killer Croc,DC,Suicide Squad,01-Aug-16,bad,male,superhero,NA,NA
June Moone / Enchantress,DC,Suicide Squad,01-Aug-16,change,female,superhero,long,n
Rick Flag,DC,Suicide Squad,01-Aug-16,good,male,human hero,short,n
Dr. Van Chris,DC,Suicide Squad,01-Aug-16,good,male,human,short,n
Lieutenant GQ Edwards,DC,Suicide Squad,01-Aug-16,good,male,human,short,n
Slipknot,DC,Suicide Squad,01-Aug-16,bad,male,human hero,long,n
Katana,DC,Suicide Squad,01-Aug-16,good,female,human hero,long,n
Bruce Wayne / Batman,DC,Suicide Squad,01-Aug-16,good,male,human hero,short,n
