CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,ALIGNMENT,GENDER,STATUS,HEAD,FACIAL
Bruce Wayne / Batman,DC,The Dark Knight Rises,16-Jul-12,good,male,human hero,short,y
Commissioner Gordon,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,y
Bane,DC,The Dark Knight Rises,16-Jul-12,bad,male,human hero,bald,n
Blake,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Selina,DC,The Dark Knight Rises,16-Jul-12,good,female,human hero,long,n
Miranda,DC,The Dark Knight Rises,16-Jul-12,bad,female,human hero,long,n
Fox,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,y
Alfred,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Foley,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Dr. Pavel,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Daggett,DC,The Dark Knight Rises,16-Jul-12,bad,male,human,short,n
Stryver,DC,The Dark Knight Rises,16-Jul-12,bad,male,human,short,n
Captain Jones,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Allen,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Fredericks,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Barsad,DC,The Dark Knight Rises,16-Jul-12,bad,male,human,short,y
Ra's Al Ghul,DC,The Dark Knight Rises,16-Jul-12,bad,female,human hero,short,y
Dr. Jonathan Crane / Scarecrow,DC,The Dark Knight Rises,16-Jul-12,bad,male,human hero,short,n
Harvey Dent,DC,The Dark Knight Rises,16-Jul-12,change,male,human hero,short,n
Ross,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Fr. Reilly,DC,The Dark Knight Rises,16-Jul-12,good,male,human,short,n
Jen,DC,The Dark Knight Rises,16-Jul-12,good,female,human,long,n
Officer Simon Jansen,DC,The Dark Knight Rises,16-Jul-12,bad,male,human,short,n
