NAME 1,NAME 2
Bruce Wayne / Batman,Jim Gordon
Bruce Wayne / Batman,Lois
Bruce Wayne / Batman,Lex Luthor
Bruce Wayne / Batman,Martha Kent
Bruce Wayne / Batman,Perry White
Bruce Wayne / Batman,Alfred
Bruce Wayne / Batman,Senator Finch
Bruce Wayne / Batman,Wonder Woman / Diana Prince
Bruce Wayne / Batman,Wallace Keefe
Bruce Wayne / Batman,Anatoli Knyazev
Bruce Wayne / Batman,Mercy Graves
Bruce Wayne / Batman,Martha Wayne
Bruce Wayne / Batman,Sage
Bruce Wayne / Batman,General Amajagh
Bruce Wayne / Batman,Jimmy Olsen
Bruce Wayne / Batman,Cesar Santos
Bruce Wayne / Batman,Jenny
Bruce Wayne / Batman,Swanwick
Bruce Wayne / Batman,Neil deGrasse Tyson
Bruce Wayne / Batman,The Flash / Barry Allen
Bruce Wayne / Batman,Jonathan Kent
Bruce Wayne / Batman,Adriana Santos
Bruce Wayne / Batman,Thomas Wayne
Bruce Wayne / Batman,Jack O' Dwyer
Bruce Wayne / Batman,Zod
Bruce Wayne / Batman,Kahina Ziri
Bruce Wayne / Batman,Senator Barrows
Bruce Wayne / Batman,Officer Mazzuccheli
Bruce Wayne / Batman,Officer Rucka
Bruce Wayne / Batman,Kent Shocknek
Bruce Wayne / Batman,Emmet Vale
Bruce Wayne / Batman,Major Carrie Farris
Bruce Wayne / Batman,Carmen
Bruce Wayne / Batman,Vikram Gandhi
Bruce Wayne / Batman,Andrew Sullivan
Bruce Wayne / Batman,Charlie Rose
Bruce Wayne / Batman,Glen Woodburn
Bruce Wayne / Batman,Soledad O'Brien
Bruce Wayne / Batman,Dana Bash
Bruce Wayne / Batman,Senator Purrington
Bruce Wayne / Batman,Nancy Grace
Bruce Wayne / Batman,Arthur Curry / Aquaman
Bruce Wayne / Batman,Silas
Bruce Wayne / Batman,Cyborg / Victor Stone
Bruce Wayne / Batman,Erika Erickson
Bruce Wayne / Batman,Anderson Cooper
Bruce Wayne / Batman,Brooke Baldwin
Bruce Wayne / Batman,Father Leone
Bruce Wayne / Batman,Pete Ross
Bruce Wayne / Batman,Lana Lang
Bruce Wayne / Batman,Jon Stewart
Jim Gordon,Lois
Jim Gordon,Lex Luthor
Jim Gordon,Martha Kent
Jim Gordon,Perry White
Jim Gordon,Alfred
Jim Gordon,Senator Finch
Jim Gordon,Wonder Woman / Diana Prince
Jim Gordon,Wallace Keefe
Jim Gordon,Anatoli Knyazev
Jim Gordon,Mercy Graves
Jim Gordon,Martha Wayne
Jim Gordon,Sage
Jim Gordon,General Amajagh
Jim Gordon,Jimmy Olsen
Jim Gordon,Cesar Santos
Jim Gordon,Jenny
Jim Gordon,Swanwick
Jim Gordon,Neil deGrasse Tyson
Jim Gordon,The Flash / Barry Allen
Jim Gordon,Jonathan Kent
Jim Gordon,Adriana Santos
Jim Gordon,Thomas Wayne
Jim Gordon,Jack O' Dwyer
Jim Gordon,Zod
Jim Gordon,Kahina Ziri
Jim Gordon,Senator Barrows
Jim Gordon,Officer Mazzuccheli
Jim Gordon,Officer Rucka
Jim Gordon,Kent Shocknek
Jim Gordon,Emmet Vale
Jim Gordon,Major Carrie Farris
Jim Gordon,Carmen
Jim Gordon,Vikram Gandhi
Jim Gordon,Andrew Sullivan
Jim Gordon,Charlie Rose
Jim Gordon,Glen Woodburn
Jim Gordon,Soledad O'Brien
Jim Gordon,Dana Bash
Jim Gordon,Senator Purrington
Jim Gordon,Nancy Grace
Jim Gordon,Arthur Curry / Aquaman
Jim Gordon,Silas
Jim Gordon,Cyborg / Victor Stone
Jim Gordon,Erika Erickson
Jim Gordon,Anderson Cooper
Jim Gordon,Brooke Baldwin
Jim Gordon,Father Leone
Jim Gordon,Pete Ross
Jim Gordon,Lana Lang
Jim Gordon,Jon Stewart
Lois,Lex Luthor
Lois,Martha Kent
Lois,Perry White
Lois,Alfred
Lois,Senator Finch
Lois,Wonder Woman / Diana Prince
Lois,Wallace Keefe
Lois,Anatoli Knyazev
Lois,Mercy Graves
Lois,Martha Wayne
Lois,Sage
Lois,General Amajagh
Lois,Jimmy Olsen
Lois,Cesar Santos
Lois,Jenny
Lois,Swanwick
Lois,Neil deGrasse Tyson
Lois,The Flash / Barry Allen
Lois,Jonathan Kent
Lois,Adriana Santos
Lois,Thomas Wayne
Lois,Jack O' Dwyer
Lois,Zod
Lois,Kahina Ziri
Lois,Senator Barrows
Lois,Officer Mazzuccheli
Lois,Officer Rucka
Lois,Kent Shocknek
Lois,Emmet Vale
Lois,Major Carrie Farris
Lois,Carmen
Lois,Vikram Gandhi
Lois,Andrew Sullivan
Lois,Charlie Rose
Lois,Glen Woodburn
Lois,Soledad O'Brien
Lois,Dana Bash
Lois,Senator Purrington
Lois,Nancy Grace
Lois,Arthur Curry / Aquaman
Lois,Silas
Lois,Cyborg / Victor Stone
Lois,Erika Erickson
Lois,Anderson Cooper
Lois,Brooke Baldwin
Lois,Father Leone
Lois,Pete Ross
Lois,Lana Lang
Lois,Jon Stewart
Lex Luthor,Martha Kent
Lex Luthor,Perry White
Lex Luthor,Alfred
Lex Luthor,Senator Finch
Lex Luthor,Wonder Woman / Diana Prince
Lex Luthor,Wallace Keefe
Lex Luthor,Anatoli Knyazev
Lex Luthor,Mercy Graves
Lex Luthor,Martha Wayne
Lex Luthor,Sage
Lex Luthor,General Amajagh
Lex Luthor,Jimmy Olsen
Lex Luthor,Cesar Santos
Lex Luthor,Jenny
Lex Luthor,Swanwick
Lex Luthor,Neil deGrasse Tyson
Lex Luthor,The Flash / Barry Allen
Lex Luthor,Jonathan Kent
Lex Luthor,Adriana Santos
Lex Luthor,Thomas Wayne
Lex Luthor,Jack O' Dwyer
Lex Luthor,Zod
Lex Luthor,Kahina Ziri
Lex Luthor,Senator Barrows
Lex Luthor,Officer Mazzuccheli
Lex Luthor,Officer Rucka
Lex Luthor,Kent Shocknek
Lex Luthor,Emmet Vale
Lex Luthor,Major Carrie Farris
Lex Luthor,Carmen
Lex Luthor,Vikram Gandhi
Lex Luthor,Andrew Sullivan
Lex Luthor,Charlie Rose
Lex Luthor,Glen Woodburn
Lex Luthor,Soledad O'Brien
Lex Luthor,Dana Bash
Lex Luthor,Senator Purrington
Lex Luthor,Nancy Grace
Lex Luthor,Arthur Curry / Aquaman
Lex Luthor,Silas
Lex Luthor,Cyborg / Victor Stone
Lex Luthor,Erika Erickson
Lex Luthor,Anderson Cooper
Lex Luthor,Brooke Baldwin
Lex Luthor,Father Leone
Lex Luthor,Pete Ross
Lex Luthor,Lana Lang
Lex Luthor,Jon Stewart
Martha Kent,Perry White
Martha Kent,Alfred
Martha Kent,Senator Finch
Martha Kent,Wonder Woman / Diana Prince
Martha Kent,Wallace Keefe
Martha Kent,Anatoli Knyazev
Martha Kent,Mercy Graves
Martha Kent,Martha Wayne
Martha Kent,Sage
Martha Kent,General Amajagh
Martha Kent,Jimmy Olsen
Martha Kent,Cesar Santos
Martha Kent,Jenny
Martha Kent,Swanwick
Martha Kent,Neil deGrasse Tyson
Martha Kent,The Flash / Barry Allen
Martha Kent,Jonathan Kent
Martha Kent,Adriana Santos
Martha Kent,Thomas Wayne
Martha Kent,Jack O' Dwyer
Martha Kent,Zod
Martha Kent,Kahina Ziri
Martha Kent,Senator Barrows
Martha Kent,Officer Mazzuccheli
Martha Kent,Officer Rucka
Martha Kent,Kent Shocknek
Martha Kent,Emmet Vale
Martha Kent,Major Carrie Farris
Martha Kent,Carmen
Martha Kent,Vikram Gandhi
Martha Kent,Andrew Sullivan
Martha Kent,Charlie Rose
Martha Kent,Glen Woodburn
Martha Kent,Soledad O'Brien
Martha Kent,Dana Bash
Martha Kent,Senator Purrington
Martha Kent,Nancy Grace
Martha Kent,Arthur Curry / Aquaman
Martha Kent,Silas
Martha Kent,Cyborg / Victor Stone
Martha Kent,Erika Erickson
Martha Kent,Anderson Cooper
Martha Kent,Brooke Baldwin
Martha Kent,Father Leone
Martha Kent,Pete Ross
Martha Kent,Lana Lang
Martha Kent,Jon Stewart
Perry White,Alfred
Perry White,Senator Finch
Perry White,Wonder Woman / Diana Prince
Perry White,Wallace Keefe
Perry White,Anatoli Knyazev
Perry White,Mercy Graves
Perry White,Martha Wayne
Perry White,Sage
Perry White,General Amajagh
Perry White,Jimmy Olsen
Perry White,Cesar Santos
Perry White,Jenny
Perry White,Swanwick
Perry White,Neil deGrasse Tyson
Perry White,The Flash / Barry Allen
Perry White,Jonathan Kent
Perry White,Adriana Santos
Perry White,Thomas Wayne
Perry White,Jack O' Dwyer
Perry White,Zod
Perry White,Kahina Ziri
Perry White,Senator Barrows
Perry White,Officer Mazzuccheli
Perry White,Officer Rucka
Perry White,Kent Shocknek
Perry White,Emmet Vale
Perry White,Major Carrie Farris
Perry White,Carmen
Perry White,Vikram Gandhi
Perry White,Andrew Sullivan
Perry White,Charlie Rose
Perry White,Glen Woodburn
Perry White,Soledad O'Brien
Perry White,Dana Bash
Perry White,Senator Purrington
Perry White,Nancy Grace
Perry White,Arthur Curry / Aquaman
Perry White,Silas
Perry White,Cyborg / Victor Stone
Perry White,Erika Erickson
Perry White,Anderson Cooper
Perry White,Brooke Baldwin
Perry White,Father Leone
Perry White,Pete Ross
Perry White,Lana Lang
Perry White,Jon Stewart
Alfred,Senator Finch
Alfred,Wonder Woman / Diana Prince
Alfred,Wallace Keefe
Alfred,Anatoli Knyazev
Alfred,Mercy Graves
Alfred,Martha Wayne
Alfred,Sage
Alfred,General Amajagh
Alfred,Jimmy Olsen
Alfred,Cesar Santos
Alfred,Jenny
Alfred,Swanwick
Alfred,Neil deGrasse Tyson
Alfred,The Flash / Barry Allen
Alfred,Jonathan Kent
Alfred,Adriana Santos
Alfred,Thomas Wayne
Alfred,Jack O' Dwyer
Alfred,Zod
Alfred,Kahina Ziri
Alfred,Senator Barrows
Alfred,Officer Mazzuccheli
Alfred,Officer Rucka
Alfred,Kent Shocknek
Alfred,Emmet Vale
Alfred,Major Carrie Farris
Alfred,Carmen
Alfred,Vikram Gandhi
Alfred,Andrew Sullivan
Alfred,Charlie Rose
Alfred,Glen Woodburn
Alfred,Soledad O'Brien
Alfred,Dana Bash
Alfred,Senator Purrington
Alfred,Nancy Grace
Alfred,Arthur Curry / Aquaman
Alfred,Silas
Alfred,Cyborg / Victor Stone
Alfred,Erika Erickson
Alfred,Anderson Cooper
Alfred,Brooke Baldwin
Alfred,Father Leone
Alfred,Pete Ross
Alfred,Lana Lang
Alfred,Jon Stewart
Senator Finch,Wonder Woman / Diana Prince
Senator Finch,Wallace Keefe
Senator Finch,Anatoli Knyazev
Senator Finch,Mercy Graves
Senator Finch,Martha Wayne
Senator Finch,Sage
Senator Finch,General Amajagh
Senator Finch,Jimmy Olsen
Senator Finch,Cesar Santos
Senator Finch,Jenny
Senator Finch,Swanwick
Senator Finch,Neil deGrasse Tyson
Senator Finch,The Flash / Barry Allen
Senator Finch,Jonathan Kent
Senator Finch,Adriana Santos
Senator Finch,Thomas Wayne
Senator Finch,Jack O' Dwyer
Senator Finch,Zod
Senator Finch,Kahina Ziri
Senator Finch,Senator Barrows
Senator Finch,Officer Mazzuccheli
Senator Finch,Officer Rucka
Senator Finch,Kent Shocknek
Senator Finch,Emmet Vale
Senator Finch,Major Carrie Farris
Senator Finch,Carmen
Senator Finch,Vikram Gandhi
Senator Finch,Andrew Sullivan
Senator Finch,Charlie Rose
Senator Finch,Glen Woodburn
Senator Finch,Soledad O'Brien
Senator Finch,Dana Bash
Senator Finch,Senator Purrington
Senator Finch,Nancy Grace
Senator Finch,Arthur Curry / Aquaman
Senator Finch,Silas
Senator Finch,Cyborg / Victor Stone
Senator Finch,Erika Erickson
Senator Finch,Anderson Cooper
Senator Finch,Brooke Baldwin
Senator Finch,Father Leone
Senator Finch,Pete Ross
Senator Finch,Lana Lang
Senator Finch,Jon Stewart
Wonder Woman / Diana Prince,Wallace Keefe
Wonder Woman / Diana Prince,Anatoli Knyazev
Wonder Woman / Diana Prince,Mercy Graves
Wonder Woman / Diana Prince,Martha Wayne
Wonder Woman / Diana Prince,Sage
Wonder Woman / Diana Prince,General Amajagh
Wonder Woman / Diana Prince,Jimmy Olsen
Wonder Woman / Diana Prince,Cesar Santos
Wonder Woman / Diana Prince,Jenny
Wonder Woman / Diana Prince,Swanwick
Wonder Woman / Diana Prince,Neil deGrasse Tyson
Wonder Woman / Diana Prince,The Flash / Barry Allen
Wonder Woman / Diana Prince,Jonathan Kent
Wonder Woman / Diana Prince,Adriana Santos
Wonder Woman / Diana Prince,Thomas Wayne
Wonder Woman / Diana Prince,Jack O' Dwyer
Wonder Woman / Diana Prince,Zod
Wonder Woman / Diana Prince,Kahina Ziri
Wonder Woman / Diana Prince,Senator Barrows
Wonder Woman / Diana Prince,Officer Mazzuccheli
Wonder Woman / Diana Prince,Officer Rucka
Wonder Woman / Diana Prince,Kent Shocknek
Wonder Woman / Diana Prince,Emmet Vale
Wonder Woman / Diana Prince,Major Carrie Farris
Wonder Woman / Diana Prince,Carmen
Wonder Woman / Diana Prince,Vikram Gandhi
Wonder Woman / Diana Prince,Andrew Sullivan
Wonder Woman / Diana Prince,Charlie Rose
Wonder Woman / Diana Prince,Glen Woodburn
Wonder Woman / Diana Prince,Soledad O'Brien
Wonder Woman / Diana Prince,Dana Bash
Wonder Woman / Diana Prince,Senator Purrington
Wonder Woman / Diana Prince,Nancy Grace
Wonder Woman / Diana Prince,Arthur Curry / Aquaman
Wonder Woman / Diana Prince,Silas
Wonder Woman / Diana Prince,Cyborg / Victor Stone
Wonder Woman / Diana Prince,Erika Erickson
Wonder Woman / Diana Prince,Anderson Cooper
Wonder Woman / Diana Prince,Brooke Baldwin
Wonder Woman / Diana Prince,Father Leone
Wonder Woman / Diana Prince,Pete Ross
Wonder Woman / Diana Prince,Lana Lang
Wonder Woman / Diana Prince,Jon Stewart
Wallace Keefe,Anatoli Knyazev
Wallace Keefe,Mercy Graves
Wallace Keefe,Martha Wayne
Wallace Keefe,Sage
Wallace Keefe,General Amajagh
Wallace Keefe,Jimmy Olsen
Wallace Keefe,Cesar Santos
Wallace Keefe,Jenny
Wallace Keefe,Swanwick
Wallace Keefe,Neil deGrasse Tyson
Wallace Keefe,The Flash / Barry Allen
Wallace Keefe,Jonathan Kent
Wallace Keefe,Adriana Santos
Wallace Keefe,Thomas Wayne
Wallace Keefe,Jack O' Dwyer
Wallace Keefe,Zod
Wallace Keefe,Kahina Ziri
Wallace Keefe,Senator Barrows
Wallace Keefe,Officer Mazzuccheli
Wallace Keefe,Officer Rucka
Wallace Keefe,Kent Shocknek
Wallace Keefe,Emmet Vale
Wallace Keefe,Major Carrie Farris
Wallace Keefe,Carmen
Wallace Keefe,Vikram Gandhi
Wallace Keefe,Andrew Sullivan
Wallace Keefe,Charlie Rose
Wallace Keefe,Glen Woodburn
Wallace Keefe,Soledad O'Brien
Wallace Keefe,Dana Bash
Wallace Keefe,Senator Purrington
Wallace Keefe,Nancy Grace
Wallace Keefe,Arthur Curry / Aquaman
Wallace Keefe,Silas
Wallace Keefe,Cyborg / Victor Stone
Wallace Keefe,Erika Erickson
Wallace Keefe,Anderson Cooper
Wallace Keefe,Brooke Baldwin
Wallace Keefe,Father Leone
Wallace Keefe,Pete Ross
Wallace Keefe,Lana Lang
Wallace Keefe,Jon Stewart
Anatoli Knyazev,Mercy Graves
Anatoli Knyazev,Martha Wayne
Anatoli Knyazev,Sage
Anatoli Knyazev,General Amajagh
Anatoli Knyazev,Jimmy Olsen
Anatoli Knyazev,Cesar Santos
Anatoli Knyazev,Jenny
Anatoli Knyazev,Swanwick
Anatoli Knyazev,Neil deGrasse Tyson
Anatoli Knyazev,The Flash / Barry Allen
Anatoli Knyazev,Jonathan Kent
Anatoli Knyazev,Adriana Santos
Anatoli Knyazev,Thomas Wayne
Anatoli Knyazev,Jack O' Dwyer
Anatoli Knyazev,Zod
Anatoli Knyazev,Kahina Ziri
Anatoli Knyazev,Senator Barrows
Anatoli Knyazev,Officer Mazzuccheli
Anatoli Knyazev,Officer Rucka
Anatoli Knyazev,Kent Shocknek
Anatoli Knyazev,Emmet Vale
Anatoli Knyazev,Major Carrie Farris
Anatoli Knyazev,Carmen
Anatoli Knyazev,Vikram Gandhi
Anatoli Knyazev,Andrew Sullivan
Anatoli Knyazev,Charlie Rose
Anatoli Knyazev,Glen Woodburn
Anatoli Knyazev,Soledad O'Brien
Anatoli Knyazev,Dana Bash
Anatoli Knyazev,Senator Purrington
Anatoli Knyazev,Nancy Grace
Anatoli Knyazev,Arthur Curry / Aquaman
Anatoli Knyazev,Silas
Anatoli Knyazev,Cyborg / Victor Stone
Anatoli Knyazev,Erika Erickson
Anatoli Knyazev,Anderson Cooper
Anatoli Knyazev,Brooke Baldwin
Anatoli Knyazev,Father Leone
Anatoli Knyazev,Pete Ross
Anatoli Knyazev,Lana Lang
Anatoli Knyazev,Jon Stewart
Mercy Graves,Martha Wayne
Mercy Graves,Sage
Mercy Graves,General Amajagh
Mercy Graves,Jimmy Olsen
Mercy Graves,Cesar Santos
Mercy Graves,Jenny
Mercy Graves,Swanwick
Mercy Graves,Neil deGrasse Tyson
Mercy Graves,The Flash / Barry Allen
Mercy Graves,Jonathan Kent
Mercy Graves,Adriana Santos
Mercy Graves,Thomas Wayne
Mercy Graves,Jack O' Dwyer
Mercy Graves,Zod
Mercy Graves,Kahina Ziri
Mercy Graves,Senator Barrows
Mercy Graves,Officer Mazzuccheli
Mercy Graves,Officer Rucka
Mercy Graves,Kent Shocknek
Mercy Graves,Emmet Vale
Mercy Graves,Major Carrie Farris
Mercy Graves,Carmen
Mercy Graves,Vikram Gandhi
Mercy Graves,Andrew Sullivan
Mercy Graves,Charlie Rose
Mercy Graves,Glen Woodburn
Mercy Graves,Soledad O'Brien
Mercy Graves,Dana Bash
Mercy Graves,Senator Purrington
Mercy Graves,Nancy Grace
Mercy Graves,Arthur Curry / Aquaman
Mercy Graves,Silas
Mercy Graves,Cyborg / Victor Stone
Mercy Graves,Erika Erickson
Mercy Graves,Anderson Cooper
Mercy Graves,Brooke Baldwin
Mercy Graves,Father Leone
Mercy Graves,Pete Ross
Mercy Graves,Lana Lang
Mercy Graves,Jon Stewart
Martha Wayne,Sage
Martha Wayne,General Amajagh
Martha Wayne,Jimmy Olsen
Martha Wayne,Cesar Santos
Martha Wayne,Jenny
Martha Wayne,Swanwick
Martha Wayne,Neil deGrasse Tyson
Martha Wayne,The Flash / Barry Allen
Martha Wayne,Jonathan Kent
Martha Wayne,Adriana Santos
Martha Wayne,Thomas Wayne
Martha Wayne,Jack O' Dwyer
Martha Wayne,Zod
Martha Wayne,Kahina Ziri
Martha Wayne,Senator Barrows
Martha Wayne,Officer Mazzuccheli
Martha Wayne,Officer Rucka
Martha Wayne,Kent Shocknek
Martha Wayne,Emmet Vale
Martha Wayne,Major Carrie Farris
Martha Wayne,Carmen
Martha Wayne,Vikram Gandhi
Martha Wayne,Andrew Sullivan
Martha Wayne,Charlie Rose
Martha Wayne,Glen Woodburn
Martha Wayne,Soledad O'Brien
Martha Wayne,Dana Bash
Martha Wayne,Senator Purrington
Martha Wayne,Nancy Grace
Martha Wayne,Arthur Curry / Aquaman
Martha Wayne,Silas
Martha Wayne,Cyborg / Victor Stone
Martha Wayne,Erika Erickson
Martha Wayne,Anderson Cooper
Martha Wayne,Brooke Baldwin
Martha Wayne,Father Leone
Martha Wayne,Pete Ross
Martha Wayne,Lana Lang
Martha Wayne,Jon Stewart
Sage,General Amajagh
Sage,Jimmy Olsen
Sage,Cesar Santos
Sage,Jenny
Sage,Swanwick
Sage,Neil deGrasse Tyson
Sage,The Flash / Barry Allen
Sage,Jonathan Kent
Sage,Adriana Santos
Sage,Thomas Wayne
Sage,Jack O' Dwyer
Sage,Zod
Sage,Kahina Ziri
Sage,Senator Barrows
Sage,Officer Mazzuccheli
Sage,Officer Rucka
Sage,Kent Shocknek
Sage,Emmet Vale
Sage,Major Carrie Farris
Sage,Carmen
Sage,Vikram Gandhi
Sage,Andrew Sullivan
Sage,Charlie Rose
Sage,Glen Woodburn
Sage,Soledad O'Brien
Sage,Dana Bash
Sage,Senator Purrington
Sage,Nancy Grace
Sage,Arthur Curry / Aquaman
Sage,Silas
Sage,Cyborg / Victor Stone
Sage,Erika Erickson
Sage,Anderson Cooper
Sage,Brooke Baldwin
Sage,Father Leone
Sage,Pete Ross
Sage,Lana Lang
Sage,Jon Stewart
General Amajagh,Jimmy Olsen
General Amajagh,Cesar Santos
General Amajagh,Jenny
General Amajagh,Swanwick
General Amajagh,Neil deGrasse Tyson
General Amajagh,The Flash / Barry Allen
General Amajagh,Jonathan Kent
General Amajagh,Adriana Santos
General Amajagh,Thomas Wayne
General Amajagh,Jack O' Dwyer
General Amajagh,Zod
General Amajagh,Kahina Ziri
General Amajagh,Senator Barrows
General Amajagh,Officer Mazzuccheli
General Amajagh,Officer Rucka
General Amajagh,Kent Shocknek
General Amajagh,Emmet Vale
General Amajagh,Major Carrie Farris
General Amajagh,Carmen
General Amajagh,Vikram Gandhi
General Amajagh,Andrew Sullivan
General Amajagh,Charlie Rose
General Amajagh,Glen Woodburn
General Amajagh,Soledad O'Brien
General Amajagh,Dana Bash
General Amajagh,Senator Purrington
General Amajagh,Nancy Grace
General Amajagh,Arthur Curry / Aquaman
General Amajagh,Silas
General Amajagh,Cyborg / Victor Stone
General Amajagh,Erika Erickson
General Amajagh,Anderson Cooper
General Amajagh,Brooke Baldwin
General Amajagh,Father Leone
General Amajagh,Pete Ross
General Amajagh,Lana Lang
General Amajagh,Jon Stewart
Jimmy Olsen,Cesar Santos
Jimmy Olsen,Jenny
Jimmy Olsen,Swanwick
Jimmy Olsen,Neil deGrasse Tyson
Jimmy Olsen,The Flash / Barry Allen
Jimmy Olsen,Jonathan Kent
Jimmy Olsen,Adriana Santos
Jimmy Olsen,Thomas Wayne
Jimmy Olsen,Jack O' Dwyer
Jimmy Olsen,Zod
Jimmy Olsen,Kahina Ziri
Jimmy Olsen,Senator Barrows
Jimmy Olsen,Officer Mazzuccheli
Jimmy Olsen,Officer Rucka
Jimmy Olsen,Kent Shocknek
Jimmy Olsen,Emmet Vale
Jimmy Olsen,Major Carrie Farris
Jimmy Olsen,Carmen
Jimmy Olsen,Vikram Gandhi
Jimmy Olsen,Andrew Sullivan
Jimmy Olsen,Charlie Rose
Jimmy Olsen,Glen Woodburn
Jimmy Olsen,Soledad O'Brien
Jimmy Olsen,Dana Bash
Jimmy Olsen,Senator Purrington
Jimmy Olsen,Nancy Grace
Jimmy Olsen,Arthur Curry / Aquaman
Jimmy Olsen,Silas
Jimmy Olsen,Cyborg / Victor Stone
Jimmy Olsen,Erika Erickson
Jimmy Olsen,Anderson Cooper
Jimmy Olsen,Brooke Baldwin
Jimmy Olsen,Father Leone
Jimmy Olsen,Pete Ross
Jimmy Olsen,Lana Lang
Jimmy Olsen,Jon Stewart
Cesar Santos,Jenny
Cesar Santos,Swanwick
Cesar Santos,Neil deGrasse Tyson
Cesar Santos,The Flash / Barry Allen
Cesar Santos,Jonathan Kent
Cesar Santos,Adriana Santos
Cesar Santos,Thomas Wayne
Cesar Santos,Jack O' Dwyer
Cesar Santos,Zod
Cesar Santos,Kahina Ziri
Cesar Santos,Senator Barrows
Cesar Santos,Officer Mazzuccheli
Cesar Santos,Officer Rucka
Cesar Santos,Kent Shocknek
Cesar Santos,Emmet Vale
Cesar Santos,Major Carrie Farris
Cesar Santos,Carmen
Cesar Santos,Vikram Gandhi
Cesar Santos,Andrew Sullivan
Cesar Santos,Charlie Rose
Cesar Santos,Glen Woodburn
Cesar Santos,Soledad O'Brien
Cesar Santos,Dana Bash
Cesar Santos,Senator Purrington
Cesar Santos,Nancy Grace
Cesar Santos,Arthur Curry / Aquaman
Cesar Santos,Silas
Cesar Santos,Cyborg / Victor Stone
Cesar Santos,Erika Erickson
Cesar Santos,Anderson Cooper
Cesar Santos,Brooke Baldwin
Cesar Santos,Father Leone
Cesar Santos,Pete Ross
Cesar Santos,Lana Lang
Cesar Santos,Jon Stewart
Jenny,Swanwick
Jenny,Neil deGrasse Tyson
Jenny,The Flash / Barry Allen
Jenny,Jonathan Kent
Jenny,Adriana Santos
Jenny,Thomas Wayne
Jenny,Jack O' Dwyer
Jenny,Zod
Jenny,Kahina Ziri
Jenny,Senator Barrows
Jenny,Officer Mazzuccheli
Jenny,Officer Rucka
Jenny,Kent Shocknek
Jenny,Emmet Vale
Jenny,Major Carrie Farris
Jenny,Carmen
Jenny,Vikram Gandhi
Jenny,Andrew Sullivan
Jenny,Charlie Rose
Jenny,Glen Woodburn
Jenny,Soledad O'Brien
Jenny,Dana Bash
Jenny,Senator Purrington
Jenny,Nancy Grace
Jenny,Arthur Curry / Aquaman
Jenny,Silas
Jenny,Cyborg / Victor Stone
Jenny,Erika Erickson
Jenny,Anderson Cooper
Jenny,Brooke Baldwin
Jenny,Father Leone
Jenny,Pete Ross
Jenny,Lana Lang
Jenny,Jon Stewart
Swanwick,Neil deGrasse Tyson
Swanwick,The Flash / Barry Allen
Swanwick,Jonathan Kent
Swanwick,Adriana Santos
Swanwick,Thomas Wayne
Swanwick,Jack O' Dwyer
Swanwick,Zod
Swanwick,Kahina Ziri
Swanwick,Senator Barrows
Swanwick,Officer Mazzuccheli
Swanwick,Officer Rucka
