NAME 1,NAME 2
Deadshot,Sergeant Ames Bravo 14
Deadshot,Griggs
Deadshot,Harley Quinn
Deadshot,Amanda Waller
Deadshot,Dexter Tolliver
Deadshot,Zoe
Deadshot,Joker
Deadshot,Panda Man
Deadshot,Frost
Deadshot,Monster T
Deadshot,George Harkness / Captain Boomerang
Deadshot,Barry Allen / The Flash
Deadshot,Diablo
Deadshot,Killer Croc
Deadshot,June Moone / Enchantress
Deadshot,Rick Flag
Deadshot,Dr. Van Chris
Deadshot,Lieutenant GQ Edwards
Deadshot,Slipknot
Deadshot,Katana
Deadshot,Bruce Wayne / Batman
Sergeant Ames Bravo 14,Griggs
Sergeant Ames Bravo 14,Harley Quinn
Sergeant Ames Bravo 14,Amanda Waller
Sergeant Ames Bravo 14,Dexter Tolliver
Sergeant Ames Bravo 14,Zoe
Sergeant Ames Bravo 14,Joker
Sergeant Ames Bravo 14,Panda Man
Sergeant Ames Bravo 14,Frost
Sergeant Ames Bravo 14,Monster T
Sergeant Ames Bravo 14,George Harkness / Captain Boomerang
Sergeant Ames Bravo 14,Barry Allen / The Flash
Sergeant Ames Bravo 14,Diablo
Sergeant Ames Bravo 14,Killer Croc
Sergeant Ames Bravo 14,June Moone / Enchantress
Sergeant Ames Bravo 14,Rick Flag
Sergeant Ames Bravo 14,Dr. Van Chris
Sergeant Ames Bravo 14,Lieutenant GQ Edwards
Sergeant Ames Bravo 14,Slipknot
Sergeant Ames Bravo 14,Katana
Sergeant Ames Bravo 14,Bruce Wayne / Batman
Griggs,Harley Quinn
Griggs,Amanda Waller
Griggs,Dexter Tolliver
Griggs,Zoe
Griggs,Joker
Griggs,Panda Man
Griggs,Frost
Griggs,Monster T
Griggs,George Harkness / Captain Boomerang
Griggs,Barry Allen / The Flash
Griggs,Diablo
Griggs,Killer Croc
Griggs,June Moone / Enchantress
Griggs,Rick Flag
Griggs,Dr. Van Chris
Griggs,Lieutenant GQ Edwards
Griggs,Slipknot
Griggs,Katana
Griggs,Bruce Wayne / Batman
Harley Quinn,Amanda Waller
Harley Quinn,Dexter Tolliver
Harley Quinn,Zoe
Harley Quinn,Joker
Harley Quinn,Panda Man
Harley Quinn,Frost
Harley Quinn,Monster T
Harley Quinn,George Harkness / Captain Boomerang
Harley Quinn,Barry Allen / The Flash
Harley Quinn,Diablo
Harley Quinn,Killer Croc
Harley Quinn,June Moone / Enchantress
Harley Quinn,Rick Flag
Harley Quinn,Dr. Van Chris
Harley Quinn,Lieutenant GQ Edwards
Harley Quinn,Slipknot
Harley Quinn,Katana
Harley Quinn,Bruce Wayne / Batman
