NAME 1,NAME 2
Batman / Bruce Wayne,Superman / Clark Kent
Batman / Bruce Wayne,Lois Lane
Batman / Bruce Wayne,Wonder Woman / Diana Prince
Batman / Bruce Wayne,The Flash / Barry Allen
Batman / Bruce Wayne,Aquaman / Arthur Curry
Batman / Bruce Wayne,Cyborg / Victor Stone
Batman / Bruce Wayne,Alfred
Batman / Bruce Wayne,Martha Kent
Batman / Bruce Wayne,Queen Hippolyta
Batman / Bruce Wayne,Commissioner Gordon
Batman / Bruce Wayne,Steppenwolf
Batman / Bruce Wayne,Mera
Batman / Bruce Wayne,Silas Stone
Batman / Bruce Wayne,Menalippe
Batman / Bruce Wayne,Ancient Atlantean King
Batman / Bruce Wayne,Black Clad Alpha
Batman / Bruce Wayne,German Archaeologist
Batman / Bruce Wayne,Detective Crispus Allen
Batman / Bruce Wayne,Ancient King of Men
Batman / Bruce Wayne,Philippus
Batman / Bruce Wayne,Officer Ben Sadowsky
Batman / Bruce Wayne,Elinore Stone
Batman / Bruce Wayne,Henry Allen
Batman / Bruce Wayne,Lex Luthor
Batman / Bruce Wayne,Mr. Wilson
Batman / Bruce Wayne,Mayor
Batman / Bruce Wayne,Ares
Batman / Bruce Wayne,Zeus
Batman / Bruce Wayne,Venelia
Batman / Bruce Wayne,Penthesilea
Batman / Bruce Wayne,Trigona
Batman / Bruce Wayne,Euboea
Batman / Bruce Wayne,Howard the Janitor
Batman / Bruce Wayne,Artemis
Batman / Bruce Wayne,Garrett Bowman
Superman / Clark Kent,Lois Lane
Superman / Clark Kent,Wonder Woman / Diana Prince
Superman / Clark Kent,The Flash / Barry Allen
Superman / Clark Kent,Aquaman / Arthur Curry
Superman / Clark Kent,Cyborg / Victor Stone
Superman / Clark Kent,Alfred
Superman / Clark Kent,Martha Kent
Superman / Clark Kent,Queen Hippolyta
Superman / Clark Kent,Commissioner Gordon
Superman / Clark Kent,Steppenwolf
Superman / Clark Kent,Mera
Superman / Clark Kent,Silas Stone
Superman / Clark Kent,Menalippe
Superman / Clark Kent,Ancient Atlantean King
Superman / Clark Kent,Black Clad Alpha
Superman / Clark Kent,German Archaeologist
Superman / Clark Kent,Detective Crispus Allen
Superman / Clark Kent,Ancient King of Men
Superman / Clark Kent,Philippus
Superman / Clark Kent,Officer Ben Sadowsky
Superman / Clark Kent,Elinore Stone
Superman / Clark Kent,Henry Allen
Superman / Clark Kent,Lex Luthor
Superman / Clark Kent,Mr. Wilson
Superman / Clark Kent,Mayor
Superman / Clark Kent,Ares
Superman / Clark Kent,Zeus
Superman / Clark Kent,Venelia
Superman / Clark Kent,Penthesilea
Superman / Clark Kent,Trigona
Superman / Clark Kent,Euboea
Superman / Clark Kent,Howard the Janitor
Superman / Clark Kent,Artemis
Superman / Clark Kent,Garrett Bowman
Lois Lane,Wonder Woman / Diana Prince
Lois Lane,The Flash / Barry Allen
Lois Lane,Aquaman / Arthur Curry
Lois Lane,Cyborg / Victor Stone
Lois Lane,Alfred
Lois Lane,Martha Kent
Lois Lane,Queen Hippolyta
Lois Lane,Commissioner Gordon
Lois Lane,Steppenwolf
Lois Lane,Mera
Lois Lane,Silas Stone
Lois Lane,Menalippe
Lois Lane,Ancient Atlantean King
Lois Lane,Black Clad Alpha
Lois Lane,German Archaeologist
Lois Lane,Detective Crispus Allen
Lois Lane,Ancient King of Men
Lois Lane,Philippus
Lois Lane,Officer Ben Sadowsky
Lois Lane,Elinore Stone
Lois Lane,Henry Allen
Lois Lane,Lex Luthor
Lois Lane,Mr. Wilson
Lois Lane,Mayor
Lois Lane,Ares
Lois Lane,Zeus
Lois Lane,Venelia
Lois Lane,Penthesilea
Lois Lane,Trigona
Lois Lane,Euboea
Lois Lane,Howard the Janitor
Lois Lane,Artemis
Lois Lane,Garrett Bowman
Wonder Woman / Diana Prince,The Flash / Barry Allen
Wonder Woman / Diana Prince,Aquaman / Arthur Curry
Wonder Woman / Diana Prince,Cyborg / Victor Stone
Wonder Woman / Diana Prince,Alfred
Wonder Woman / Diana Prince,Martha Kent
Wonder Woman / Diana Prince,Queen Hippolyta
Wonder Woman / Diana Prince,Commissioner Gordon
Wonder Woman / Diana Prince,Steppenwolf
Wonder Woman / Diana Prince,Mera
Wonder Woman / Diana Prince,Silas Stone
Wonder Woman / Diana Prince,Menalippe
Wonder Woman / Diana Prince,Ancient Atlantean King
Wonder Woman / Diana Prince,Black Clad Alpha
Wonder Woman / Diana Prince,German Archaeologist
Wonder Woman / Diana Prince,Detective Crispus Allen
Wonder Woman / Diana Prince,Ancient King of Men
Wonder Woman / Diana Prince,Philippus
Wonder Woman / Diana Prince,Officer Ben Sadowsky
Wonder Woman / Diana Prince,Elinore Stone
Wonder Woman / Diana Prince,Henry Allen
Wonder Woman / Diana Prince,Lex Luthor
Wonder Woman / Diana Prince,Mr. Wilson
Wonder Woman / Diana Prince,Mayor
Wonder Woman / Diana Prince,Ares
Wonder Woman / Diana Prince,Zeus
Wonder Woman / Diana Prince,Venelia
Wonder Woman / Diana Prince,Penthesilea
Wonder Woman / Diana Prince,Trigona
Wonder Woman / Diana Prince,Euboea
Wonder Woman / Diana Prince,Howard the Janitor
Wonder Woman / Diana Prince,Artemis
Wonder Woman / Diana Prince,Garrett Bowman
The Flash / Barry Allen,Aquaman / Arthur Curry
The Flash / Barry Allen,Cyborg / Victor Stone
The Flash / Barry Allen,Alfred
The Flash / Barry Allen,Martha Kent
The Flash / Barry Allen,Queen Hippolyta
The Flash / Barry Allen,Commissioner Gordon
The Flash / Barry Allen,Steppenwolf
The Flash / Barry Allen,Mera
