NAME 1,NAME 2
Superman / Clark Kent,Lois Lane
Superman / Clark Kent,General Zod
Superman / Clark Kent,Martha Kent
Superman / Clark Kent,Jor-El
Superman / Clark Kent,Faora-Ul
Superman / Clark Kent,General Swanwick
Superman / Clark Kent,Dr. Emil Hamilton
Superman / Clark Kent,Colonel Nathan Hardy
Superman / Clark Kent,Jonathan Kent
Superman / Clark Kent,Lara Lor-Van
Superman / Clark Kent,Perry White
Superman / Clark Kent,Clark Kent (13 Years)
Superman / Clark Kent,Clark Kent (9 Years)
Superman / Clark Kent,Lor-Em
Superman / Clark Kent,Ro-Zar
Superman / Clark Kent,Steve Lombard
Superman / Clark Kent,Jenny
Superman / Clark Kent,Major Carrie Farris
Superman / Clark Kent,Father Leone
Superman / Clark Kent,Glen Woodburn
Superman / Clark Kent,Helen Ross
Superman / Clark Kent,Kelor
Superman / Clark Kent,Tor-An
Superman / Clark Kent,Jax-Ur
Superman / Clark Kent,Car-Vex
Superman / Clark Kent,Major Laramore
Superman / Clark Kent,Jed Eubanks
Superman / Clark Kent,Heraldson
Superman / Clark Kent,Byrne
Superman / Clark Kent,Officer Sekowsky
Superman / Clark Kent,Teenage Pete Ross
Superman / Clark Kent,Lana Lang
Superman / Clark Kent,Whitney Fordham
Superman / Clark Kent,Ms. Rampling
Superman / Clark Kent,Ludlow
Superman / Clark Kent,Chrissy - Waitress
Superman / Clark Kent,Weaver
Superman / Clark Kent,Pete Ross
Superman / Clark Kent,Ken Braverman
Superman / Clark Kent,Dev-Em
Superman / Clark Kent,Nadira
Superman / Clark Kent,Sergeant Vance
Lois Lane,General Zod
Lois Lane,Martha Kent
Lois Lane,Jor-El
Lois Lane,Faora-Ul
Lois Lane,General Swanwick
Lois Lane,Dr. Emil Hamilton
Lois Lane,Colonel Nathan Hardy
Lois Lane,Jonathan Kent
Lois Lane,Lara Lor-Van
Lois Lane,Perry White
Lois Lane,Clark Kent (13 Years)
Lois Lane,Clark Kent (9 Years)
Lois Lane,Lor-Em
Lois Lane,Ro-Zar
Lois Lane,Steve Lombard
Lois Lane,Jenny
Lois Lane,Major Carrie Farris
Lois Lane,Father Leone
Lois Lane,Glen Woodburn
Lois Lane,Helen Ross
Lois Lane,Kelor
Lois Lane,Tor-An
Lois Lane,Jax-Ur
Lois Lane,Car-Vex
Lois Lane,Major Laramore
Lois Lane,Jed Eubanks
Lois Lane,Heraldson
Lois Lane,Byrne
Lois Lane,Officer Sekowsky
Lois Lane,Teenage Pete Ross
Lois Lane,Lana Lang
Lois Lane,Whitney Fordham
Lois Lane,Ms. Rampling
Lois Lane,Ludlow
Lois Lane,Chrissy - Waitress
Lois Lane,Weaver
Lois Lane,Pete Ross
Lois Lane,Ken Braverman
Lois Lane,Dev-Em
Lois Lane,Nadira
Lois Lane,Sergeant Vance
General Zod,Martha Kent
General Zod,Jor-El
General Zod,Faora-Ul
General Zod,General Swanwick
General Zod,Dr. Emil Hamilton
General Zod,Colonel Nathan Hardy
General Zod,Jonathan Kent
General Zod,Lara Lor-Van
General Zod,Perry White
General Zod,Clark Kent (13 Years)
General Zod,Clark Kent (9 Years)
General Zod,Lor-Em
General Zod,Ro-Zar
General Zod,Steve Lombard
General Zod,Jenny
General Zod,Major Carrie Farris
General Zod,Father Leone
General Zod,Glen Woodburn
General Zod,Helen Ross
General Zod,Kelor
General Zod,Tor-An
General Zod,Jax-Ur
General Zod,Car-Vex
General Zod,Major Laramore
General Zod,Jed Eubanks
General Zod,Heraldson
General Zod,Byrne
General Zod,Officer Sekowsky
General Zod,Teenage Pete Ross
General Zod,Lana Lang
General Zod,Whitney Fordham
General Zod,Ms. Rampling
General Zod,Ludlow
General Zod,Chrissy - Waitress
General Zod,Weaver
General Zod,Pete Ross
General Zod,Ken Braverman
General Zod,Dev-Em
General Zod,Nadira
General Zod,Sergeant Vance
Martha Kent,Jor-El
Martha Kent,Faora-Ul
Martha Kent,General Swanwick
Martha Kent,Dr. Emil Hamilton
Martha Kent,Colonel Nathan Hardy
Martha Kent,Jonathan Kent
Martha Kent,Lara Lor-Van
Martha Kent,Perry White
Martha Kent,Clark Kent (13 Years)
Martha Kent,Clark Kent (9 Years)
Martha Kent,Lor-Em
Martha Kent,Ro-Zar
Martha Kent,Steve Lombard
Martha Kent,Jenny
Martha Kent,Major Carrie Farris
Martha Kent,Father Leone
Martha Kent,Glen Woodburn
Martha Kent,Helen Ross
Martha Kent,Kelor
Martha Kent,Tor-An
Martha Kent,Jax-Ur
Martha Kent,Car-Vex
Martha Kent,Major Laramore
Martha Kent,Jed Eubanks
Martha Kent,Heraldson
Martha Kent,Byrne
Martha Kent,Officer Sekowsky
Martha Kent,Teenage Pete Ross
Martha Kent,Lana Lang
Martha Kent,Whitney Fordham
Martha Kent,Ms. Rampling
Martha Kent,Ludlow
Martha Kent,Chrissy - Waitress
Martha Kent,Weaver
Martha Kent,Pete Ross
Martha Kent,Ken Braverman
Martha Kent,Dev-Em
Martha Kent,Nadira
Martha Kent,Sergeant Vance
Jor-El,Faora-Ul
Jor-El,General Swanwick
Jor-El,Dr. Emil Hamilton
Jor-El,Colonel Nathan Hardy
Jor-El,Jonathan Kent
Jor-El,Lara Lor-Van
Jor-El,Perry White
Jor-El,Clark Kent (13 Years)
Jor-El,Clark Kent (9 Years)
Jor-El,Lor-Em
Jor-El,Ro-Zar
Jor-El,Steve Lombard
Jor-El,Jenny
Jor-El,Major Carrie Farris
Jor-El,Father Leone
Jor-El,Glen Woodburn
Jor-El,Helen Ross
Jor-El,Kelor
Jor-El,Tor-An
Jor-El,Jax-Ur
Jor-El,Car-Vex
Jor-El,Major Laramore
Jor-El,Jed Eubanks
Jor-El,Heraldson
Jor-El,Byrne
Jor-El,Officer Sekowsky
Jor-El,Teenage Pete Ross
Jor-El,Lana Lang
Jor-El,Whitney Fordham
Jor-El,Ms. Rampling
Jor-El,Ludlow
Jor-El,Chrissy - Waitress
Jor-El,Weaver
Jor-El,Pete Ross
Jor-El,Ken Braverman
Jor-El,Dev-Em
Jor-El,Nadira
Jor-El,Sergeant Vance
Faora-Ul,General Swanwick
Faora-Ul,Dr. Emil Hamilton
Faora-Ul,Colonel Nathan Hardy
Faora-Ul,Jonathan Kent
Faora-Ul,Lara Lor-Van
Faora-Ul,Perry White
Faora-Ul,Clark Kent (13 Years)
Faora-Ul,Clark Kent (9 Years)
Faora-Ul,Lor-Em
Faora-Ul,Ro-Zar
Faora-Ul,Steve Lombard
Faora-Ul,Jenny
Faora-Ul,Major Carrie Farris
Faora-Ul,Father Leone
Faora-Ul,Glen Woodburn
Faora-Ul,Helen Ross
Faora-Ul,Kelor
Faora-Ul,Tor-An
Faora-Ul,Jax-Ur
Faora-Ul,Car-Vex
Faora-Ul,Major Laramore
Faora-Ul,Jed Eubanks
Faora-Ul,Heraldson
Faora-Ul,Byrne
Faora-Ul,Officer Sekowsky
Faora-Ul,Teenage Pete Ross
Faora-Ul,Lana Lang
Faora-Ul,Whitney Fordham
Faora-Ul,Ms. Rampling
Faora-Ul,Ludlow
Faora-Ul,Chrissy - Waitress
Faora-Ul,Weaver
Faora-Ul,Pete Ross
Faora-Ul,Ken Braverman
Faora-Ul,Dev-Em
Faora-Ul,Nadira
