NAME 1,NAME 2
Bruce Wayne,Joker
Bruce Wayne,Harvey Dent
Bruce Wayne,Alfred
Bruce Wayne,Rachel
Bruce Wayne,Gordon
Bruce Wayne,Lucius Fox
Bruce Wayne,Ramirez
Bruce Wayne,Wuertz
Bruce Wayne,Scarecrow
Bruce Wayne,Lau
Bruce Wayne,Mayor
Bruce Wayne,Maroni
Bruce Wayne,Chechen
Bruce Wayne,Mike Engel
Bruce Wayne,Stephens
Bruce Wayne,Loeb
Bruce Wayne,Reese
Bruce Wayne,Barbara Gordon
Bruce Wayne,"James Gordon, Jr."
Bruce Wayne,Rossi
Bruce Wayne,Dopey
Bruce Wayne,Happy
Bruce Wayne,Grumpy
Bruce Wayne,Gambol
Bruce Wayne,Chuckles
Bruce Wayne,Bank Manager
Bruce Wayne,Natascha
Bruce Wayne,Judge Surrillo
Bruce Wayne,Brian
Bruce Wayne,Judge Freel
Bruce Wayne,Maroni's Mistress
Bruce Wayne,Murphy
Bruce Wayne,Polk
Bruce Wayne,Berg
Bruce Wayne,Evans
Bruce Wayne,Gordon's Daughter
Joker,Harvey Dent
Joker,Alfred
Joker,Rachel
Joker,Gordon
Joker,Lucius Fox
Joker,Ramirez
Joker,Wuertz
Joker,Scarecrow
Joker,Lau
Joker,Mayor
Joker,Maroni
Joker,Chechen
Joker,Mike Engel
Joker,Stephens
Joker,Loeb
Joker,Reese
Joker,Barbara Gordon
Joker,"James Gordon, Jr."
Joker,Rossi
Joker,Dopey
Joker,Happy
Joker,Grumpy
Joker,Gambol
Joker,Chuckles
Joker,Bank Manager
Joker,Natascha
Joker,Judge Surrillo
Joker,Brian
Joker,Judge Freel
Joker,Maroni's Mistress
Joker,Murphy
Joker,Polk
Joker,Berg
Joker,Evans
Joker,Gordon's Daughter
Harvey Dent,Alfred
Harvey Dent,Rachel
Harvey Dent,Gordon
Harvey Dent,Lucius Fox
Harvey Dent,Ramirez
Harvey Dent,Wuertz
Harvey Dent,Scarecrow
Harvey Dent,Lau
Harvey Dent,Mayor
Harvey Dent,Maroni
Harvey Dent,Chechen
Harvey Dent,Mike Engel
Harvey Dent,Stephens
Harvey Dent,Loeb
Harvey Dent,Reese
Harvey Dent,Barbara Gordon
Harvey Dent,"James Gordon, Jr."
Harvey Dent,Rossi
Harvey Dent,Dopey
Harvey Dent,Happy
Harvey Dent,Grumpy
Harvey Dent,Gambol
Harvey Dent,Chuckles
Harvey Dent,Bank Manager
Harvey Dent,Natascha
Harvey Dent,Judge Surrillo
Harvey Dent,Brian
Harvey Dent,Judge Freel
Harvey Dent,Maroni's Mistress
Harvey Dent,Murphy
Harvey Dent,Polk
Harvey Dent,Berg
Harvey Dent,Evans
Harvey Dent,Gordon's Daughter
Alfred,Rachel
Alfred,Gordon
Alfred,Lucius Fox
Alfred,Ramirez
Alfred,Wuertz
Alfred,Scarecrow
Alfred,Lau
Alfred,Mayor
Alfred,Maroni
Alfred,Chechen
Alfred,Mike Engel
Alfred,Stephens
Alfred,Loeb
Alfred,Reese
Alfred,Barbara Gordon
Alfred,"James Gordon, Jr."
Alfred,Rossi
Alfred,Dopey
Alfred,Happy
Alfred,Grumpy
Alfred,Gambol
Alfred,Chuckles
Alfred,Bank Manager
Alfred,Natascha
Alfred,Judge Surrillo
Alfred,Brian
Alfred,Judge Freel
Alfred,Maroni's Mistress
Alfred,Murphy
Alfred,Polk
Alfred,Berg
Alfred,Evans
Alfred,Gordon's Daughter
Rachel,Gordon
Rachel,Lucius Fox
Rachel,Ramirez
Rachel,Wuertz
Rachel,Scarecrow
Rachel,Lau
Rachel,Mayor
Rachel,Maroni
Rachel,Chechen
Rachel,Mike Engel
Rachel,Stephens
Rachel,Loeb
Rachel,Reese
Rachel,Barbara Gordon
Rachel,"James Gordon, Jr."
Rachel,Rossi
Rachel,Dopey
Rachel,Happy
Rachel,Grumpy
Rachel,Gambol
Rachel,Chuckles
Rachel,Bank Manager
Rachel,Natascha
Rachel,Judge Surrillo
Rachel,Brian
Rachel,Judge Freel
Rachel,Maroni's Mistress
Rachel,Murphy
Rachel,Polk
Rachel,Berg
Rachel,Evans
Rachel,Gordon's Daughter
Gordon,Lucius Fox
Gordon,Ramirez
Gordon,Wuertz
Gordon,Scarecrow
Gordon,Lau
Gordon,Mayor
Gordon,Maroni
Gordon,Chechen
Gordon,Mike Engel
Gordon,Stephens
Gordon,Loeb
Gordon,Reese
Gordon,Barbara Gordon
