CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,A Golden Crown,22 May 2011
Robert Baratheon,GoT,A Golden Crown,22 May 2011
Cersei Lannister,GoT,A Golden Crown,22 May 2011
Daenerys Targaryen,GoT,A Golden Crown,22 May 2011
Jorah Mormont,GoT,A Golden Crown,22 May 2011
Viserys Targaryen,GoT,A Golden Crown,22 May 2011
Robb Stark,GoT,A Golden Crown,22 May 2011
Sansa Stark,GoT,A Golden Crown,22 May 2011
Arya Stark,GoT,A Golden Crown,22 May 2011
Theon Greyjoy,GoT,A Golden Crown,22 May 2011
Bran Stark,GoT,A Golden Crown,22 May 2011
Tyrion Lannister,GoT,A Golden Crown,22 May 2011
Bronn,GoT,A Golden Crown,22 May 2011
Barristan Selmy,GoT,A Golden Crown,22 May 2011
Lysa Arryn,GoT,A Golden Crown,22 May 2011
Renly Baratheon,GoT,A Golden Crown,22 May 2011
Syrio Forel,GoT,A Golden Crown,22 May 2011
Mord,GoT,A Golden Crown,22 May 2011
Robin Arryn,GoT,A Golden Crown,22 May 2011
Ros,GoT,A Golden Crown,22 May 2011
Irri,GoT,A Golden Crown,22 May 2011
Vardis Egen,GoT,A Golden Crown,22 May 2011
Lancel Lannister,GoT,A Golden Crown,22 May 2011
Stiv,GoT,A Golden Crown,22 May 2011
Khal Drogo,GoT,A Golden Crown,22 May 2011
Catelyn Stark,GoT,A Golden Crown,22 May 2011
Petyr 'Littlefinger' Baelish,GoT,A Golden Crown,22 May 2011
Joffrey Baratheon,GoT,A Golden Crown,22 May 2011
Rodrik Cassel,GoT,A Golden Crown,22 May 2011
Loras Tyrell,GoT,A Golden Crown,22 May 2011
Grand Maester Pycelle,GoT,A Golden Crown,22 May 2011
Marillion,GoT,A Golden Crown,22 May 2011
Septa Mordane,GoT,A Golden Crown,22 May 2011
Osha,GoT,A Golden Crown,22 May 2011
Doreah,GoT,A Golden Crown,22 May 2011
Hodor,GoT,A Golden Crown,22 May 2011
Rakharo,GoT,A Golden Crown,22 May 2011
Qotho,GoT,A Golden Crown,22 May 2011
Dothraki Crone,GoT,A Golden Crown,22 May 2011
Joss,GoT,A Golden Crown,22 May 2011
Beric Dondarrion,GoT,A Golden Crown,22 May 2011
