CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,Baelor,12 June 2011
Catelyn Stark,GoT,Baelor,12 June 2011
Jaime Lannister,GoT,Baelor,12 June 2011
Cersei Lannister,GoT,Baelor,12 June 2011
Daenerys Targaryen,GoT,Baelor,12 June 2011
Jon Snow,GoT,Baelor,12 June 2011
Robb Stark,GoT,Baelor,12 June 2011
Sansa Stark,GoT,Baelor,12 June 2011
Arya Stark,GoT,Baelor,12 June 2011
Theon Greyjoy,GoT,Baelor,12 June 2011
Joffrey Baratheon,GoT,Baelor,12 June 2011
Tyrion Lannister,GoT,Baelor,12 June 2011
Lord Varys,GoT,Baelor,12 June 2011
Bronn,GoT,Baelor,12 June 2011
Jeor Mormont,GoT,Baelor,12 June 2011
Rodrik Cassel,GoT,Baelor,12 June 2011
Tywin Lannister,GoT,Baelor,12 June 2011
Samwell Tarly,GoT,Baelor,12 June 2011
Maester Aemon,GoT,Baelor,12 June 2011
Shae,GoT,Baelor,12 June 2011
Walder Frey,GoT,Baelor,12 June 2011
Ilyn Payne,GoT,Baelor,12 June 2011
Qotho,GoT,Baelor,12 June 2011
Khal Drogo,GoT,Baelor,12 June 2011
Joyeuse Frey,GoT,Baelor,12 June 2011
Jorah Mormont,GoT,Baelor,12 June 2011
Petyr 'Littlefinger' Baelish,GoT,Baelor,12 June 2011
Sandor 'The Hound' Clegane,GoT,Baelor,12 June 2011
Yoren,GoT,Baelor,12 June 2011
Grand Maester Pycelle,GoT,Baelor,12 June 2011
Greatjon Umber,GoT,Baelor,12 June 2011
Grenn,GoT,Baelor,12 June 2011
Pypar,GoT,Baelor,12 June 2011
Rast,GoT,Baelor,12 June 2011
Shagga,GoT,Baelor,12 June 2011
Mirri Maz Duur,GoT,Baelor,12 June 2011
Irri,GoT,Baelor,12 June 2011
Doreah,GoT,Baelor,12 June 2011
Rakharo,GoT,Baelor,12 June 2011
Kevan Lannister,GoT,Baelor,12 June 2011
Stevron Frey,GoT,Baelor,12 June 2011
Ryger Rivers,GoT,Baelor,12 June 2011
