CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Battle of the Bastards,19 June 2016
Jon Snow,GoT,Battle of the Bastards,19 June 2016
Daenerys Targaryen,GoT,Battle of the Bastards,19 June 2016
Davos Seaworth,GoT,Battle of the Bastards,19 June 2016
Sansa Stark,GoT,Battle of the Bastards,19 June 2016
Petyr 'Littlefinger' Baelish,GoT,Battle of the Bastards,19 June 2016
Melisandre,GoT,Battle of the Bastards,19 June 2016
Tormund Giantsbane,GoT,Battle of the Bastards,19 June 2016
Ramsay Bolton,GoT,Battle of the Bastards,19 June 2016
Theon Greyjoy,GoT,Battle of the Bastards,19 June 2016
Yara Greyjoy,GoT,Battle of the Bastards,19 June 2016
Wun Wun,GoT,Battle of the Bastards,19 June 2016
Smalljon Umber,GoT,Battle of the Bastards,19 June 2016
Rickon Stark,GoT,Battle of the Bastards,19 June 2016
Lyanna Mormont,GoT,Battle of the Bastards,19 June 2016
Missandei,GoT,Battle of the Bastards,19 June 2016
Daario Naharis,GoT,Battle of the Bastards,19 June 2016
Grey Worm,GoT,Battle of the Bastards,19 June 2016
Yezzan zo Qaggaz,GoT,Battle of the Bastards,19 June 2016
Harald Karstark,GoT,Battle of the Bastards,19 June 2016
Razdal mo Eraz,GoT,Battle of the Bastards,19 June 2016
Belicho Paenymion,GoT,Battle of the Bastards,19 June 2016
