CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Book of the Stranger,15 May 2016
Jaime Lannister,GoT,Book of the Stranger,15 May 2016
Cersei Lannister,GoT,Book of the Stranger,15 May 2016
Daenerys Targaryen,GoT,Book of the Stranger,15 May 2016
Jon Snow,GoT,Book of the Stranger,15 May 2016
Margaery Tyrell,GoT,Book of the Stranger,15 May 2016
Petyr 'Littlefinger' Baelish,GoT,Book of the Stranger,15 May 2016
Sansa Stark,GoT,Book of the Stranger,15 May 2016
Missandei,GoT,Book of the Stranger,15 May 2016
Lord Varys,GoT,Book of the Stranger,15 May 2016
Tormund Giantsbane,GoT,Book of the Stranger,15 May 2016
Daario Naharis,GoT,Book of the Stranger,15 May 2016
Ramsay Bolton,GoT,Book of the Stranger,15 May 2016
Brienne of Tarth,GoT,Book of the Stranger,15 May 2016
Theon Greyjoy,GoT,Book of the Stranger,15 May 2016
Jorah Mormont,GoT,Book of the Stranger,15 May 2016
Olenna Tyrell,GoT,Book of the Stranger,15 May 2016
Eddison Tollett,GoT,Book of the Stranger,15 May 2016
Grey Worm,GoT,Book of the Stranger,15 May 2016
Osha,GoT,Book of the Stranger,15 May 2016
Yara Greyjoy,GoT,Book of the Stranger,15 May 2016
Loras Tyrell,GoT,Book of the Stranger,15 May 2016
Kevan Lannister,GoT,Book of the Stranger,15 May 2016
Yohn Royce,GoT,Book of the Stranger,15 May 2016
Podrick Payne,GoT,Book of the Stranger,15 May 2016
Robin Arryn,GoT,Book of the Stranger,15 May 2016
Yezzan zo Qaggaz,GoT,Book of the Stranger,15 May 2016
Razdal mo Eraz,GoT,Book of the Stranger,15 May 2016
Belicho Paenymion,GoT,Book of the Stranger,15 May 2016
Khal Moro,GoT,Book of the Stranger,15 May 2016
Khal Forzho,GoT,Book of the Stranger,15 May 2016
Dosh khaleen High Priestess,GoT,Book of the Stranger,15 May 2016
Ornela,GoT,Book of the Stranger,15 May 2016
Khal Brozho,GoT,Book of the Stranger,15 May 2016
Khal Rhalko,GoT,Book of the Stranger,15 May 2016
Khal Qorro,GoT,Book of the Stranger,15 May 2016
Davos Seaworth,GoT,Book of the Stranger,15 May 2016
Melisandre,GoT,Book of the Stranger,15 May 2016
High Sparrow,GoT,Book of the Stranger,15 May 2016
Tommen Baratheon,GoT,Book of the Stranger,15 May 2016
Grand Maester Pycelle,GoT,Book of the Stranger,15 May 2016
Septa Unella,GoT,Book of the Stranger,15 May 2016
Ash,GoT,Book of the Stranger,15 May 2016
Kesh,GoT,Book of the Stranger,15 May 2016
Aggo,GoT,Book of the Stranger,15 May 2016
Qhono,GoT,Book of the Stranger,15 May 2016
Iggo,GoT,Book of the Stranger,15 May 2016
