CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,"Dark Wings, Dark Words",7 April 2013
Jaime Lannister,GoT,"Dark Wings, Dark Words",7 April 2013
Jon Snow,GoT,"Dark Wings, Dark Words",7 April 2013
Robb Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Catelyn Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Margaery Tyrell,GoT,"Dark Wings, Dark Words",7 April 2013
Bran Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Joffrey Baratheon,GoT,"Dark Wings, Dark Words",7 April 2013
Sansa Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Arya Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Talisa Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Gendry,GoT,"Dark Wings, Dark Words",7 April 2013
Ygritte,GoT,"Dark Wings, Dark Words",7 April 2013
Samwell Tarly,GoT,"Dark Wings, Dark Words",7 April 2013
Jeor Mormont,GoT,"Dark Wings, Dark Words",7 April 2013
Shae,GoT,"Dark Wings, Dark Words",7 April 2013
Sandor 'The Hound' Clegane,GoT,"Dark Wings, Dark Words",7 April 2013
Olenna Tyrell,GoT,"Dark Wings, Dark Words",7 April 2013
Mance Rayder,GoT,"Dark Wings, Dark Words",7 April 2013
Orell,GoT,"Dark Wings, Dark Words",7 April 2013
Thoros of Myr,GoT,"Dark Wings, Dark Words",7 April 2013
Brienne of Tarth,GoT,"Dark Wings, Dark Words",7 April 2013
Osha,GoT,"Dark Wings, Dark Words",7 April 2013
Tormund Giantsbane,GoT,"Dark Wings, Dark Words",7 April 2013
Jojen Reed,GoT,"Dark Wings, Dark Words",7 April 2013
Meera Reed,GoT,"Dark Wings, Dark Words",7 April 2013
Hot Pie,GoT,"Dark Wings, Dark Words",7 April 2013
Anguy,GoT,"Dark Wings, Dark Words",7 April 2013
Grenn,GoT,"Dark Wings, Dark Words",7 April 2013
Eddison Tollett,GoT,"Dark Wings, Dark Words",7 April 2013
Rast,GoT,"Dark Wings, Dark Words",7 April 2013
Rickon Stark,GoT,"Dark Wings, Dark Words",7 April 2013
Tyrell Servant,GoT,"Dark Wings, Dark Words",7 April 2013
Cersei Lannister,GoT,"Dark Wings, Dark Words",7 April 2013
Theon Greyjoy,GoT,"Dark Wings, Dark Words",7 April 2013
Locke,GoT,"Dark Wings, Dark Words",7 April 2013
Roose Bolton,GoT,"Dark Wings, Dark Words",7 April 2013
Ramsay Snow,GoT,"Dark Wings, Dark Words",7 April 2013
Loras Tyrell,GoT,"Dark Wings, Dark Words",7 April 2013
Rickard Karstark,GoT,"Dark Wings, Dark Words",7 April 2013
Hodor,GoT,"Dark Wings, Dark Words",7 April 2013
