CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Dragonstone,16 July 2017
Jaime Lannister,GoT,Dragonstone,16 July 2017
Cersei Lannister,GoT,Dragonstone,16 July 2017
Daenerys Targaryen,GoT,Dragonstone,16 July 2017
Jon Snow,GoT,Dragonstone,16 July 2017
Petyr 'Littlefinger' Baelish,GoT,Dragonstone,16 July 2017
Davos Seaworth,GoT,Dragonstone,16 July 2017
Sansa Stark,GoT,Dragonstone,16 July 2017
Arya Stark,GoT,Dragonstone,16 July 2017
Missandei,GoT,Dragonstone,16 July 2017
Brienne of Tarth,GoT,Dragonstone,16 July 2017
Lord Varys,GoT,Dragonstone,16 July 2017
Samwell Tarly,GoT,Dragonstone,16 July 2017
Bran Stark,GoT,Dragonstone,16 July 2017
Gilly,GoT,Dragonstone,16 July 2017
Tormund Giantsbane,GoT,Dragonstone,16 July 2017
Sandor 'The Hound' Clegane,GoT,Dragonstone,16 July 2017
Archmaester Ebrose,GoT,Dragonstone,16 July 2017
Euron Greyjoy,GoT,Dragonstone,16 July 2017
Walder Frey,GoT,Dragonstone,16 July 2017
Qyburn,GoT,Dragonstone,16 July 2017
Beric Dondarrion,GoT,Dragonstone,16 July 2017
Thoros of Myr,GoT,Dragonstone,16 July 2017
Grey Worm,GoT,Dragonstone,16 July 2017
Meera Reed,GoT,Dragonstone,16 July 2017
Eddison Tollett,GoT,Dragonstone,16 July 2017
Gregor Clegane,GoT,Dragonstone,16 July 2017
Robett Glover,GoT,Dragonstone,16 July 2017
Podrick Payne,GoT,Dragonstone,16 July 2017
Lyanna Mormont,GoT,Dragonstone,16 July 2017
Maester Wolkan,GoT,Dragonstone,16 July 2017
Alys Karstark,GoT,Dragonstone,16 July 2017
Ned Umber,GoT,Dragonstone,16 July 2017
Jorah Mormont,GoT,Dragonstone,16 July 2017
Yohn Royce,GoT,Dragonstone,16 July 2017
Lady Kitty Frey,GoT,Dragonstone,16 July 2017
