CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Eastwatch,13 August 2017
Jaime Lannister,GoT,Eastwatch,13 August 2017
Cersei Lannister,GoT,Eastwatch,13 August 2017
Daenerys Targaryen,GoT,Eastwatch,13 August 2017
Jon Snow,GoT,Eastwatch,13 August 2017
Davos Seaworth,GoT,Eastwatch,13 August 2017
Sansa Stark,GoT,Eastwatch,13 August 2017
Arya Stark,GoT,Eastwatch,13 August 2017
Lord Varys,GoT,Eastwatch,13 August 2017
Sandor 'The Hound' Clegane,GoT,Eastwatch,13 August 2017
Bran Stark,GoT,Eastwatch,13 August 2017
Bronn,GoT,Eastwatch,13 August 2017
Samwell Tarly,GoT,Eastwatch,13 August 2017
Gilly,GoT,Eastwatch,13 August 2017
Tormund Giantsbane,GoT,Eastwatch,13 August 2017
Gendry,GoT,Eastwatch,13 August 2017
Jorah Mormont,GoT,Eastwatch,13 August 2017
Archmaester Ebrose,GoT,Eastwatch,13 August 2017
Beric Dondarrion,GoT,Eastwatch,13 August 2017
Thoros of Myr,GoT,Eastwatch,13 August 2017
Qyburn,GoT,Eastwatch,13 August 2017
Randyll Tarly,GoT,Eastwatch,13 August 2017
Dickon Tarly,GoT,Eastwatch,13 August 2017
Qhono,GoT,Eastwatch,13 August 2017
The Night King,GoT,Eastwatch,13 August 2017
Petyr 'Littlefinger' Baelish,GoT,Eastwatch,13 August 2017
Robett Glover,GoT,Eastwatch,13 August 2017
Yohn Royce,GoT,Eastwatch,13 August 2017
Maester Wolkan,GoT,Eastwatch,13 August 2017
