CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Catelyn Stark,GoT,Fire and Blood,19 June 2011
Jaime Lannister,GoT,Fire and Blood,19 June 2011
Cersei Lannister,GoT,Fire and Blood,19 June 2011
Daenerys Targaryen,GoT,Fire and Blood,19 June 2011
Jorah Mormont,GoT,Fire and Blood,19 June 2011
Jon Snow,GoT,Fire and Blood,19 June 2011
Robb Stark,GoT,Fire and Blood,19 June 2011
Sansa Stark,GoT,Fire and Blood,19 June 2011
Arya Stark,GoT,Fire and Blood,19 June 2011
Theon Greyjoy,GoT,Fire and Blood,19 June 2011
Bran Stark,GoT,Fire and Blood,19 June 2011
Joffrey Baratheon,GoT,Fire and Blood,19 June 2011
Sandor 'The Hound' Clegane,GoT,Fire and Blood,19 June 2011
Tyrion Lannister,GoT,Fire and Blood,19 June 2011
Jeor Mormont,GoT,Fire and Blood,19 June 2011
Tywin Lannister,GoT,Fire and Blood,19 June 2011
Grand Maester Pycelle,GoT,Fire and Blood,19 June 2011
Marillion,GoT,Fire and Blood,19 June 2011
Ros,GoT,Fire and Blood,19 June 2011
Greatjon Umber,GoT,Fire and Blood,19 June 2011
Mirri Maz Duur,GoT,Fire and Blood,19 June 2011
Rakharo,GoT,Fire and Blood,19 June 2011
Lancel Lannister,GoT,Fire and Blood,19 June 2011
Hot Pie,GoT,Fire and Blood,19 June 2011
Lommy Greenhands,GoT,Fire and Blood,19 June 2011
Rickon Stark,GoT,Fire and Blood,19 June 2011
Meryn Trant,GoT,Fire and Blood,19 June 2011
Khal Drogo,GoT,Fire and Blood,19 June 2011
Eddard 'Ned' Stark,GoT,Fire and Blood,19 June 2011
Petyr 'Littlefinger' Baelish,GoT,Fire and Blood,19 June 2011
Maester Luwin,GoT,Fire and Blood,19 June 2011
Lord Varys,GoT,Fire and Blood,19 June 2011
Bronn,GoT,Fire and Blood,19 June 2011
Rodrik Cassel,GoT,Fire and Blood,19 June 2011
Yoren,GoT,Fire and Blood,19 June 2011
Samwell Tarly,GoT,Fire and Blood,19 June 2011
Shae,GoT,Fire and Blood,19 June 2011
Osha,GoT,Fire and Blood,19 June 2011
Ilyn Payne,GoT,Fire and Blood,19 June 2011
Grenn,GoT,Fire and Blood,19 June 2011
Pypar,GoT,Fire and Blood,19 June 2011
Irri,GoT,Fire and Blood,19 June 2011
Kevan Lannister,GoT,Fire and Blood,19 June 2011
Hodor,GoT,Fire and Blood,19 June 2011
Gendry,GoT,Fire and Blood,19 June 2011
Rickard Karstark,GoT,Fire and Blood,19 June 2011
Jonos Bracken,GoT,Fire and Blood,19 June 2011
Leo Lefford,GoT,Fire and Blood,19 June 2011
Addam Marbrand,GoT,Fire and Blood,19 June 2011
