CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Cersei Lannister,GoT,First of His Name,4 May 2014
Daenerys Targaryen,GoT,First of His Name,4 May 2014
Jon Snow,GoT,First of His Name,4 May 2014
Tywin Lannister,GoT,First of His Name,4 May 2014
Margaery Tyrell,GoT,First of His Name,4 May 2014
Bran Stark,GoT,First of His Name,4 May 2014
Sansa Stark,GoT,First of His Name,4 May 2014
Arya Stark,GoT,First of His Name,4 May 2014
Sandor 'The Hound' Clegane,GoT,First of His Name,4 May 2014
Jorah Mormont,GoT,First of His Name,4 May 2014
Oberyn Martell,GoT,First of His Name,4 May 2014
Daario Naharis,GoT,First of His Name,4 May 2014
Karl Tanner,GoT,First of His Name,4 May 2014
Lysa Arryn,GoT,First of His Name,4 May 2014
Barristan Selmy,GoT,First of His Name,4 May 2014
Jojen Reed,GoT,First of His Name,4 May 2014
Morag,GoT,First of His Name,4 May 2014
Sissy,GoT,First of His Name,4 May 2014
Jaime Lannister,GoT,First of His Name,4 May 2014
Petyr 'Littlefinger' Baelish,GoT,First of His Name,4 May 2014
Brienne of Tarth,GoT,First of His Name,4 May 2014
Lord Varys,GoT,First of His Name,4 May 2014
Grand Maester Pycelle,GoT,First of His Name,4 May 2014
Locke,GoT,First of His Name,4 May 2014
Mace Tyrell,GoT,First of His Name,4 May 2014
Meera Reed,GoT,First of His Name,4 May 2014
Missandei,GoT,First of His Name,4 May 2014
Grey Worm,GoT,First of His Name,4 May 2014
Tommen Baratheon,GoT,First of His Name,4 May 2014
Podrick Payne,GoT,First of His Name,4 May 2014
Loras Tyrell,GoT,First of His Name,4 May 2014
Hodor,GoT,First of His Name,4 May 2014
Grenn,GoT,First of His Name,4 May 2014
Eddison Tollett,GoT,First of His Name,4 May 2014
Rast,GoT,First of His Name,4 May 2014
Robin Arryn,GoT,First of His Name,4 May 2014
High Septon,GoT,First of His Name,4 May 2014
Donnel Waynwood,GoT,First of His Name,4 May 2014
