CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Hardhome,31 May 2015
Daenerys Targaryen,GoT,Hardhome,31 May 2015
Jon Snow,GoT,Hardhome,31 May 2015
Sansa Stark,GoT,Hardhome,31 May 2015
Arya Stark,GoT,Hardhome,31 May 2015
Tormund Giantsbane,GoT,Hardhome,31 May 2015
Theon Greyjoy,GoT,Hardhome,31 May 2015
Missandei,GoT,Hardhome,31 May 2015
Eddison Tollett,GoT,Hardhome,31 May 2015
Karsi,GoT,Hardhome,31 May 2015
Loboda,GoT,Hardhome,31 May 2015
The Night King,GoT,Hardhome,31 May 2015
Wun Wun,GoT,Hardhome,31 May 2015
Lord of Bones,GoT,Hardhome,31 May 2015
Lhara,GoT,Hardhome,31 May 2015
Cersei Lannister,GoT,Hardhome,31 May 2015
Samwell Tarly,GoT,Hardhome,31 May 2015
Gilly,GoT,Hardhome,31 May 2015
Jaqen H'ghar,GoT,Hardhome,31 May 2015
Roose Bolton,GoT,Hardhome,31 May 2015
Ramsay Bolton,GoT,Hardhome,31 May 2015
Jorah Mormont,GoT,Hardhome,31 May 2015
Qyburn,GoT,Hardhome,31 May 2015
The Waif,GoT,Hardhome,31 May 2015
Yezzan zo Qaggaz,GoT,Hardhome,31 May 2015
Septa Unella,GoT,Hardhome,31 May 2015
Olly,GoT,Hardhome,31 May 2015
Dim Dalba,GoT,Hardhome,31 May 2015
Johnna,GoT,Hardhome,31 May 2015
Willa,GoT,Hardhome,31 May 2015
