CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,High Sparrow,26 April 2015
Cersei Lannister,GoT,High Sparrow,26 April 2015
Jon Snow,GoT,High Sparrow,26 April 2015
Petyr 'Littlefinger' Baelish,GoT,High Sparrow,26 April 2015
Margaery Tyrell,GoT,High Sparrow,26 April 2015
Stannis Baratheon,GoT,High Sparrow,26 April 2015
Lord Varys,GoT,High Sparrow,26 April 2015
Sansa Stark,GoT,High Sparrow,26 April 2015
Arya Stark,GoT,High Sparrow,26 April 2015
Samwell Tarly,GoT,High Sparrow,26 April 2015
Brienne of Tarth,GoT,High Sparrow,26 April 2015
Tommen Baratheon,GoT,High Sparrow,26 April 2015
Jaqen H'ghar,GoT,High Sparrow,26 April 2015
Roose Bolton,GoT,High Sparrow,26 April 2015
Ramsay Bolton,GoT,High Sparrow,26 April 2015
Jorah Mormont,GoT,High Sparrow,26 April 2015
Qyburn,GoT,High Sparrow,26 April 2015
Podrick Payne,GoT,High Sparrow,26 April 2015
Janos Slynt,GoT,High Sparrow,26 April 2015
Meryn Trant,GoT,High Sparrow,26 April 2015
Lancel Lannister,GoT,High Sparrow,26 April 2015
Walda Bolton,GoT,High Sparrow,26 April 2015
Davos Seaworth,GoT,High Sparrow,26 April 2015
Theon Greyjoy,GoT,High Sparrow,26 April 2015
High Sparrow,GoT,High Sparrow,26 April 2015
Grand Maester Pycelle,GoT,High Sparrow,26 April 2015
Alliser Thorne,GoT,High Sparrow,26 April 2015
Mace Tyrell,GoT,High Sparrow,26 April 2015
Eddison Tollett,GoT,High Sparrow,26 April 2015
The Waif,GoT,High Sparrow,26 April 2015
Olly,GoT,High Sparrow,26 April 2015
Olyvar,GoT,High Sparrow,26 April 2015
Loras Tyrell,GoT,High Sparrow,26 April 2015
Myranda,GoT,High Sparrow,26 April 2015
High Septon,GoT,High Sparrow,26 April 2015
Othell Yarwyck,GoT,High Sparrow,26 April 2015
Bowen Marsh,GoT,High Sparrow,26 April 2015
Clea,GoT,High Sparrow,26 April 2015
The Stranger / The Mother of Dragons,GoT,High Sparrow,26 April 2015
The Warrior,GoT,High Sparrow,26 April 2015
The Smith       (as Portia Victoria),GoT,High Sparrow,26 April 2015
The Mother,GoT,High Sparrow,26 April 2015
The Maiden,GoT,High Sparrow,26 April 2015
The Crone,GoT,High Sparrow,26 April 2015
