CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Home,1 May 2016
Jaime Lannister,GoT,Home,1 May 2016
Cersei Lannister,GoT,Home,1 May 2016
Jon Snow,GoT,Home,1 May 2016
Davos Seaworth,GoT,Home,1 May 2016
Melisandre,GoT,Home,1 May 2016
Sansa Stark,GoT,Home,1 May 2016
Missandei,GoT,Home,1 May 2016
Arya Stark,GoT,Home,1 May 2016
Lord Varys,GoT,Home,1 May 2016
High Sparrow,GoT,Home,1 May 2016
Tormund Giantsbane,GoT,Home,1 May 2016
Ramsay Bolton,GoT,Home,1 May 2016
Roose Bolton,GoT,Home,1 May 2016
Brienne of Tarth,GoT,Home,1 May 2016
Tommen Baratheon,GoT,Home,1 May 2016
Bran Stark,GoT,Home,1 May 2016
Three-Eyed Raven,GoT,Home,1 May 2016
Balon Greyjoy,GoT,Home,1 May 2016
Alliser Thorne,GoT,Home,1 May 2016
Eddison Tollett,GoT,Home,1 May 2016
Euron Greyjoy,GoT,Home,1 May 2016
Aeron Greyjoy,GoT,Home,1 May 2016
Grey Worm,GoT,Home,1 May 2016
Yara Greyjoy,GoT,Home,1 May 2016
Meera Reed,GoT,Home,1 May 2016
Wun Wun,GoT,Home,1 May 2016
Leaf,GoT,Home,1 May 2016
Walda Bolton,GoT,Home,1 May 2016
Maester Wolkan,GoT,Home,1 May 2016
Harald Karstark,GoT,Home,1 May 2016
Myrcella Baratheon,GoT,Home,1 May 2016
Wyllis,GoT,Home,1 May 2016
Young Ned Stark,GoT,Home,1 May 2016
Young Lyanna Stark,GoT,Home,1 May 2016
Young Benjen Stark,GoT,Home,1 May 2016
Theon Greyjoy,GoT,Home,1 May 2016
Jaqen H'ghar,GoT,Home,1 May 2016
Hodor,GoT,Home,1 May 2016
The Waif,GoT,Home,1 May 2016
Podrick Payne,GoT,Home,1 May 2016
Gregor Clegane,GoT,Home,1 May 2016
Olly,GoT,Home,1 May 2016
Young Nan,GoT,Home,1 May 2016
Young Rodrik Cassel,GoT,Home,1 May 2016
Othell Yarwyck,GoT,Home,1 May 2016
Bowen Marsh,GoT,Home,1 May 2016
