CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,Lord Snow,1 May 2011
Robert Baratheon,GoT,Lord Snow,1 May 2011
Jaime Lannister,GoT,Lord Snow,1 May 2011
Catelyn Stark,GoT,Lord Snow,1 May 2011
Cersei Lannister,GoT,Lord Snow,1 May 2011
Daenerys Targaryen,GoT,Lord Snow,1 May 2011
Petyr 'Littlefinger' Baelish,GoT,Lord Snow,1 May 2011
Viserys Targaryen,GoT,Lord Snow,1 May 2011
Jon Snow,GoT,Lord Snow,1 May 2011
Arya Stark,GoT,Lord Snow,1 May 2011
Bran Stark,GoT,Lord Snow,1 May 2011
Joffrey Baratheon,GoT,Lord Snow,1 May 2011
Tyrion Lannister,GoT,Lord Snow,1 May 2011
Lord Varys,GoT,Lord Snow,1 May 2011
Barristan Selmy,GoT,Lord Snow,1 May 2011
Rodrik Cassel,GoT,Lord Snow,1 May 2011
Benjen Stark,GoT,Lord Snow,1 May 2011
Yoren,GoT,Lord Snow,1 May 2011
Maester Aemon,GoT,Lord Snow,1 May 2011
Syrio Forel,GoT,Lord Snow,1 May 2011
Old Nan,GoT,Lord Snow,1 May 2011
Rakharo,GoT,Lord Snow,1 May 2011
Jorah Mormont,GoT,Lord Snow,1 May 2011
Sansa Stark,GoT,Lord Snow,1 May 2011
Robb Stark,GoT,Lord Snow,1 May 2011
Jeor Mormont,GoT,Lord Snow,1 May 2011
Alliser Thorne,GoT,Lord Snow,1 May 2011
Jory Cassel,GoT,Lord Snow,1 May 2011
Grand Maester Pycelle,GoT,Lord Snow,1 May 2011
Renly Baratheon,GoT,Lord Snow,1 May 2011
Septa Mordane,GoT,Lord Snow,1 May 2011
Grenn,GoT,Lord Snow,1 May 2011
Pypar,GoT,Lord Snow,1 May 2011
Rast,GoT,Lord Snow,1 May 2011
Irri,GoT,Lord Snow,1 May 2011
Lancel Lannister,GoT,Lord Snow,1 May 2011
Khal Drogo,GoT,Lord Snow,1 May 2011
