CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Mockingbird,18 May 2014
Jaime Lannister,GoT,Mockingbird,18 May 2014
Cersei Lannister,GoT,Mockingbird,18 May 2014
Daenerys Targaryen,GoT,Mockingbird,18 May 2014
Petyr 'Littlefinger' Baelish,GoT,Mockingbird,18 May 2014
Melisandre,GoT,Mockingbird,18 May 2014
Samwell Tarly,GoT,Mockingbird,18 May 2014
Sansa Stark,GoT,Mockingbird,18 May 2014
Arya Stark,GoT,Mockingbird,18 May 2014
Sandor 'The Hound' Clegane,GoT,Mockingbird,18 May 2014
Brienne of Tarth,GoT,Mockingbird,18 May 2014
Bronn,GoT,Mockingbird,18 May 2014
Oberyn Martell,GoT,Mockingbird,18 May 2014
Daario Naharis,GoT,Mockingbird,18 May 2014
Selyse Baratheon,GoT,Mockingbird,18 May 2014
Lysa Arryn,GoT,Mockingbird,18 May 2014
Podrick Payne,GoT,Mockingbird,18 May 2014
Robin Arryn,GoT,Mockingbird,18 May 2014
Rorge,GoT,Mockingbird,18 May 2014
Hot Pie,GoT,Mockingbird,18 May 2014
Gregor Clegane,GoT,Mockingbird,18 May 2014
Biter,GoT,Mockingbird,18 May 2014
Jon Snow,GoT,Mockingbird,18 May 2014
Jorah Mormont,GoT,Mockingbird,18 May 2014
Alliser Thorne,GoT,Mockingbird,18 May 2014
Janos Slynt,GoT,Mockingbird,18 May 2014
Grenn,GoT,Mockingbird,18 May 2014
Eddison Tollett,GoT,Mockingbird,18 May 2014
Pypar,GoT,Mockingbird,18 May 2014
Olly,GoT,Mockingbird,18 May 2014
Othell Yarwyck,GoT,Mockingbird,18 May 2014
