CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,No One,12 June 2016
Jaime Lannister,GoT,No One,12 June 2016
Cersei Lannister,GoT,No One,12 June 2016
Daenerys Targaryen,GoT,No One,12 June 2016
Missandei,GoT,No One,12 June 2016
Arya Stark,GoT,No One,12 June 2016
Lord Varys,GoT,No One,12 June 2016
Sandor 'The Hound' Clegane,GoT,No One,12 June 2016
Bronn,GoT,No One,12 June 2016
Brienne of Tarth,GoT,No One,12 June 2016
Jaqen H'ghar,GoT,No One,12 June 2016
Tommen Baratheon,GoT,No One,12 June 2016
Lady Crane,GoT,No One,12 June 2016
Grand Maester Pycelle,GoT,No One,12 June 2016
Qyburn,GoT,No One,12 June 2016
Kevan Lannister,GoT,No One,12 June 2016
The Waif,GoT,No One,12 June 2016
Grey Worm,GoT,No One,12 June 2016
Beric Dondarrion,GoT,No One,12 June 2016
Thoros of Myr,GoT,No One,12 June 2016
Brynden 'Blackfish' Tully,GoT,No One,12 June 2016
Edmure Tully,GoT,No One,12 June 2016
Podrick Payne,GoT,No One,12 June 2016
Lancel Lannister,GoT,No One,12 June 2016
Gregor Clegane,GoT,No One,12 June 2016
Lem Lemoncloak,GoT,No One,12 June 2016
Gatins,GoT,No One,12 June 2016
Steve,GoT,No One,12 June 2016
Brotherhood Member,GoT,No One,12 June 2016
Izembaro,GoT,No One,12 June 2016
Black Walder Rivers,GoT,No One,12 June 2016
Lothar Frey,GoT,No One,12 June 2016
Mace Tyrell,GoT,No One,12 June 2016
Bobono,GoT,No One,12 June 2016
Clarenzo,GoT,No One,12 June 2016
Tully Bannerman,GoT,No One,12 June 2016
Morgan,GoT,No One,12 June 2016
Riddell,GoT,No One,12 June 2016
