CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Second Sons,19 May 2013
Cersei Lannister,GoT,Second Sons,19 May 2013
Daenerys Targaryen,GoT,Second Sons,19 May 2013
Tywin Lannister,GoT,Second Sons,19 May 2013
Davos Seaworth,GoT,Second Sons,19 May 2013
Stannis Baratheon,GoT,Second Sons,19 May 2013
Melisandre,GoT,Second Sons,19 May 2013
Margaery Tyrell,GoT,Second Sons,19 May 2013
Joffrey Baratheon,GoT,Second Sons,19 May 2013
Sansa Stark,GoT,Second Sons,19 May 2013
Arya Stark,GoT,Second Sons,19 May 2013
Samwell Tarly,GoT,Second Sons,19 May 2013
Gendry,GoT,Second Sons,19 May 2013
Shae,GoT,Second Sons,19 May 2013
Sandor 'The Hound' Clegane,GoT,Second Sons,19 May 2013
Olenna Tyrell,GoT,Second Sons,19 May 2013
Barristan Selmy,GoT,Second Sons,19 May 2013
Gilly,GoT,Second Sons,19 May 2013
Loras Tyrell,GoT,Second Sons,19 May 2013
Daario Naharis,GoT,Second Sons,19 May 2013
Missandei,GoT,Second Sons,19 May 2013
Mero,GoT,Second Sons,19 May 2013
Prendahl na Ghezn,GoT,Second Sons,19 May 2013
Podrick Payne,GoT,Second Sons,19 May 2013
Jorah Mormont,GoT,Second Sons,19 May 2013
Lord Varys,GoT,Second Sons,19 May 2013
Bronn,GoT,Second Sons,19 May 2013
Grand Maester Pycelle,GoT,Second Sons,19 May 2013
Grey Worm,GoT,Second Sons,19 May 2013
Meryn Trant,GoT,Second Sons,19 May 2013
High Septon,GoT,Second Sons,19 May 2013
