CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Sons of the Harpy,3 May 2015
Jaime Lannister,GoT,Sons of the Harpy,3 May 2015
Cersei Lannister,GoT,Sons of the Harpy,3 May 2015
Daenerys Targaryen,GoT,Sons of the Harpy,3 May 2015
Jon Snow,GoT,Sons of the Harpy,3 May 2015
Petyr 'Littlefinger' Baelish,GoT,Sons of the Harpy,3 May 2015
Stannis Baratheon,GoT,Sons of the Harpy,3 May 2015
Melisandre,GoT,Sons of the Harpy,3 May 2015
Ellaria Sand,GoT,Sons of the Harpy,3 May 2015
Sansa Stark,GoT,Sons of the Harpy,3 May 2015
Bronn,GoT,Sons of the Harpy,3 May 2015
Daario Naharis,GoT,Sons of the Harpy,3 May 2015
Missandei,GoT,Sons of the Harpy,3 May 2015
Barristan Selmy,GoT,Sons of the Harpy,3 May 2015
Grey Worm,GoT,Sons of the Harpy,3 May 2015
Lancel Lannister,GoT,Sons of the Harpy,3 May 2015
Obara Sand,GoT,Sons of the Harpy,3 May 2015
Tyene Sand,GoT,Sons of the Harpy,3 May 2015
Nymeria Sand,GoT,Sons of the Harpy,3 May 2015
Shireen Baratheon,GoT,Sons of the Harpy,3 May 2015
Loras Tyrell,GoT,Sons of the Harpy,3 May 2015
Margaery Tyrell,GoT,Sons of the Harpy,3 May 2015
Samwell Tarly,GoT,Sons of the Harpy,3 May 2015
Tommen Baratheon,GoT,Sons of the Harpy,3 May 2015
Jorah Mormont,GoT,Sons of the Harpy,3 May 2015
High Sparrow,GoT,Sons of the Harpy,3 May 2015
Grand Maester Pycelle,GoT,Sons of the Harpy,3 May 2015
Qyburn,GoT,Sons of the Harpy,3 May 2015
Selyse Baratheon,GoT,Sons of the Harpy,3 May 2015
Mace Tyrell,GoT,Sons of the Harpy,3 May 2015
Meryn Trant,GoT,Sons of the Harpy,3 May 2015
Hizdahr zo Loraq,GoT,Sons of the Harpy,3 May 2015
Eddison Tollett,GoT,Sons of the Harpy,3 May 2015
Olly,GoT,Sons of the Harpy,3 May 2015
Olyvar,GoT,Sons of the Harpy,3 May 2015
Marei,GoT,Sons of the Harpy,3 May 2015
Vala,GoT,Sons of the Harpy,3 May 2015
