CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Bear and the Maiden Fair,12 May 2013
Jaime Lannister,GoT,The Bear and the Maiden Fair,12 May 2013
Daenerys Targaryen,GoT,The Bear and the Maiden Fair,12 May 2013
Jon Snow,GoT,The Bear and the Maiden Fair,12 May 2013
Jorah Mormont,GoT,The Bear and the Maiden Fair,12 May 2013
Tywin Lannister,GoT,The Bear and the Maiden Fair,12 May 2013
Theon Greyjoy,GoT,The Bear and the Maiden Fair,12 May 2013
Joffrey Baratheon,GoT,The Bear and the Maiden Fair,12 May 2013
Shae,GoT,The Bear and the Maiden Fair,12 May 2013
Ygritte,GoT,The Bear and the Maiden Fair,12 May 2013
Bronn,GoT,The Bear and the Maiden Fair,12 May 2013
Brienne of Tarth,GoT,The Bear and the Maiden Fair,12 May 2013
Beric Dondarrion,GoT,The Bear and the Maiden Fair,12 May 2013
Barristan Selmy,GoT,The Bear and the Maiden Fair,12 May 2013
Razdal mo Eraz,GoT,The Bear and the Maiden Fair,12 May 2013
Violet,GoT,The Bear and the Maiden Fair,12 May 2013
The Bear,GoT,The Bear and the Maiden Fair,12 May 2013
Robb Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Catelyn Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Margaery Tyrell,GoT,The Bear and the Maiden Fair,12 May 2013
Melisandre,GoT,The Bear and the Maiden Fair,12 May 2013
Bran Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Sansa Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Arya Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Talisa Stark,GoT,The Bear and the Maiden Fair,12 May 2013
Gendry,GoT,The Bear and the Maiden Fair,12 May 2013
Sandor 'The Hound' Clegane,GoT,The Bear and the Maiden Fair,12 May 2013
Orell,GoT,The Bear and the Maiden Fair,12 May 2013
Thoros of Myr,GoT,The Bear and the Maiden Fair,12 May 2013
Locke,GoT,The Bear and the Maiden Fair,12 May 2013
Osha,GoT,The Bear and the Maiden Fair,12 May 2013
Qyburn,GoT,The Bear and the Maiden Fair,12 May 2013
Roose Bolton,GoT,The Bear and the Maiden Fair,12 May 2013
Brynden 'Blackfish' Tully,GoT,The Bear and the Maiden Fair,12 May 2013
Edmure Tully,GoT,The Bear and the Maiden Fair,12 May 2013
Ramsay Snow,GoT,The Bear and the Maiden Fair,12 May 2013
Tormund Giantsbane,GoT,The Bear and the Maiden Fair,12 May 2013
Jojen Reed,GoT,The Bear and the Maiden Fair,12 May 2013
Meera Reed,GoT,The Bear and the Maiden Fair,12 May 2013
Missandei,GoT,The Bear and the Maiden Fair,12 May 2013
Grey Worm,GoT,The Bear and the Maiden Fair,12 May 2013
Hodor,GoT,The Bear and the Maiden Fair,12 May 2013
Anguy,GoT,The Bear and the Maiden Fair,12 May 2013
Steelshanks Walton,GoT,The Bear and the Maiden Fair,12 May 2013
Myranda,GoT,The Bear and the Maiden Fair,12 May 2013
Rickon Stark,GoT,The Bear and the Maiden Fair,12 May 2013
