CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Dance of Dragons,7 June 2015
Daenerys Targaryen,GoT,The Dance of Dragons,7 June 2015
Jon Snow,GoT,The Dance of Dragons,7 June 2015
Stannis Baratheon,GoT,The Dance of Dragons,7 June 2015
Davos Seaworth,GoT,The Dance of Dragons,7 June 2015
Melisandre,GoT,The Dance of Dragons,7 June 2015
Ellaria Sand,GoT,The Dance of Dragons,7 June 2015
Arya Stark,GoT,The Dance of Dragons,7 June 2015
Samwell Tarly,GoT,The Dance of Dragons,7 June 2015
Jaqen H'ghar,GoT,The Dance of Dragons,7 June 2015
Daario Naharis,GoT,The Dance of Dragons,7 June 2015
Missandei,GoT,The Dance of Dragons,7 June 2015
Jorah Mormont,GoT,The Dance of Dragons,7 June 2015
Selyse Baratheon,GoT,The Dance of Dragons,7 June 2015
Doran Martell,GoT,The Dance of Dragons,7 June 2015
Hizdahr zo Loraq,GoT,The Dance of Dragons,7 June 2015
Myrcella Baratheon,GoT,The Dance of Dragons,7 June 2015
Trystane Martell,GoT,The Dance of Dragons,7 June 2015
Shireen Baratheon,GoT,The Dance of Dragons,7 June 2015
Jaime Lannister,GoT,The Dance of Dragons,7 June 2015
Bronn,GoT,The Dance of Dragons,7 June 2015
Tormund Giantsbane,GoT,The Dance of Dragons,7 June 2015
Alliser Thorne,GoT,The Dance of Dragons,7 June 2015
Tycho Nestoris,GoT,The Dance of Dragons,7 June 2015
Areo Hotah,GoT,The Dance of Dragons,7 June 2015
Meryn Trant,GoT,The Dance of Dragons,7 June 2015
Mace Tyrell,GoT,The Dance of Dragons,7 June 2015
Eddison Tollett,GoT,The Dance of Dragons,7 June 2015
Obara Sand,GoT,The Dance of Dragons,7 June 2015
Tyene Sand,GoT,The Dance of Dragons,7 June 2015
Nymeria Sand,GoT,The Dance of Dragons,7 June 2015
Olly,GoT,The Dance of Dragons,7 June 2015
Wun Wun,GoT,The Dance of Dragons,7 June 2015
Lhara,GoT,The Dance of Dragons,7 June 2015
Willa,GoT,The Dance of Dragons,7 June 2015
Johnna,GoT,The Dance of Dragons,7 June 2015
Othell Yarwyck,GoT,The Dance of Dragons,7 June 2015
Bowen Marsh,GoT,The Dance of Dragons,7 June 2015
Brusco,GoT,The Dance of Dragons,7 June 2015
Anara,GoT,The Dance of Dragons,7 June 2015
Brea,GoT,The Dance of Dragons,7 June 2015
Aya,GoT,The Dance of Dragons,7 June 2015
