CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Door,22 May 2016
Daenerys Targaryen,GoT,The Door,22 May 2016
Jon Snow,GoT,The Door,22 May 2016
Petyr 'Littlefinger' Baelish,GoT,The Door,22 May 2016
Davos Seaworth,GoT,The Door,22 May 2016
Sansa Stark,GoT,The Door,22 May 2016
Missandei,GoT,The Door,22 May 2016
Arya Stark,GoT,The Door,22 May 2016
Lord Varys,GoT,The Door,22 May 2016
Bran Stark,GoT,The Door,22 May 2016
Theon Greyjoy,GoT,The Door,22 May 2016
Daario Naharis,GoT,The Door,22 May 2016
Brienne of Tarth,GoT,The Door,22 May 2016
Jaqen H'ghar,GoT,The Door,22 May 2016
Jorah Mormont,GoT,The Door,22 May 2016
Three-Eyed Raven,GoT,The Door,22 May 2016
Hodor,GoT,The Door,22 May 2016
Izembaro,GoT,The Door,22 May 2016
Lady Crane,GoT,The Door,22 May 2016
Euron Greyjoy,GoT,The Door,22 May 2016
Yara Greyjoy,GoT,The Door,22 May 2016
Eddison Tollett,GoT,The Door,22 May 2016
Meera Reed,GoT,The Door,22 May 2016
Aeron Greyjoy,GoT,The Door,22 May 2016
Leaf,GoT,The Door,22 May 2016
Camello,GoT,The Door,22 May 2016
Clarenzo,GoT,The Door,22 May 2016
The Night King,GoT,The Door,22 May 2016
Kinvara,GoT,The Door,22 May 2016
Young Nan,GoT,The Door,22 May 2016
Wyllis,GoT,The Door,22 May 2016
Rickard Stark,GoT,The Door,22 May 2016
Young Ned Stark,GoT,The Door,22 May 2016
Young Benjen Stark,GoT,The Door,22 May 2016
Young Rodrik Cassel,GoT,The Door,22 May 2016
Melisandre,GoT,The Door,22 May 2016
Tormund Giantsbane,GoT,The Door,22 May 2016
The Waif,GoT,The Door,22 May 2016
Grey Worm,GoT,The Door,22 May 2016
Podrick Payne,GoT,The Door,22 May 2016
Bobono,GoT,The Door,22 May 2016
Bianca,GoT,The Door,22 May 2016
Zanrush,GoT,The Door,22 May 2016
