CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Ghost of Harrenhal,29 April 2012
Cersei Lannister,GoT,The Ghost of Harrenhal,29 April 2012
Catelyn Stark,GoT,The Ghost of Harrenhal,29 April 2012
Daenerys Targaryen,GoT,The Ghost of Harrenhal,29 April 2012
Petyr 'Littlefinger' Baelish,GoT,The Ghost of Harrenhal,29 April 2012
Jorah Mormont,GoT,The Ghost of Harrenhal,29 April 2012
Jon Snow,GoT,The Ghost of Harrenhal,29 April 2012
Tywin Lannister,GoT,The Ghost of Harrenhal,29 April 2012
Theon Greyjoy,GoT,The Ghost of Harrenhal,29 April 2012
Arya Stark,GoT,The Ghost of Harrenhal,29 April 2012
Margaery Tyrell,GoT,The Ghost of Harrenhal,29 April 2012
Bronn,GoT,The Ghost of Harrenhal,29 April 2012
Hallyne,GoT,The Ghost of Harrenhal,29 April 2012
Brienne of Tarth,GoT,The Ghost of Harrenhal,29 April 2012
Renly Baratheon,GoT,The Ghost of Harrenhal,29 April 2012
Pyat Pree,GoT,The Ghost of Harrenhal,29 April 2012
Jaqen H'ghar,GoT,The Ghost of Harrenhal,29 April 2012
Gendry,GoT,The Ghost of Harrenhal,29 April 2012
Lancel Lannister,GoT,The Ghost of Harrenhal,29 April 2012
Eddison Tollett,GoT,The Ghost of Harrenhal,29 April 2012
Doreah,GoT,The Ghost of Harrenhal,29 April 2012
Irri,GoT,The Ghost of Harrenhal,29 April 2012
Xaro Xhoan Daxos,GoT,The Ghost of Harrenhal,29 April 2012
Yara Greyjoy,GoT,The Ghost of Harrenhal,29 April 2012
Dagmer Cleftjaw,GoT,The Ghost of Harrenhal,29 April 2012
Black Lorren,GoT,The Ghost of Harrenhal,29 April 2012
Davos Seaworth,GoT,The Ghost of Harrenhal,29 April 2012
Samwell Tarly,GoT,The Ghost of Harrenhal,29 April 2012
Bran Stark,GoT,The Ghost of Harrenhal,29 April 2012
Stannis Baratheon,GoT,The Ghost of Harrenhal,29 April 2012
Jeor Mormont,GoT,The Ghost of Harrenhal,29 April 2012
Maester Luwin,GoT,The Ghost of Harrenhal,29 April 2012
Rodrik Cassel,GoT,The Ghost of Harrenhal,29 April 2012
Osha,GoT,The Ghost of Harrenhal,29 April 2012
Qhorin Halfhand,GoT,The Ghost of Harrenhal,29 April 2012
Grenn,GoT,The Ghost of Harrenhal,29 April 2012
Loras Tyrell,GoT,The Ghost of Harrenhal,29 April 2012
Kovarro,GoT,The Ghost of Harrenhal,29 April 2012
Hodor,GoT,The Ghost of Harrenhal,29 April 2012
Hot Pie,GoT,The Ghost of Harrenhal,29 April 2012
Amory Lorch,GoT,The Ghost of Harrenhal,29 April 2012
Quaithe,GoT,The Ghost of Harrenhal,29 April 2012
Reginald Lannister,GoT,The Ghost of Harrenhal,29 April 2012
Rickon Stark,GoT,The Ghost of Harrenhal,29 April 2012
Myrcella Baratheon,GoT,The Ghost of Harrenhal,29 April 2012
The Tickler,GoT,The Ghost of Harrenhal,29 April 2012
Silk King,GoT,The Ghost of Harrenhal,29 April 2012
