CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Gift,24 May 2015
Jaime Lannister,GoT,The Gift,24 May 2015
Cersei Lannister,GoT,The Gift,24 May 2015
Daenerys Targaryen,GoT,The Gift,24 May 2015
Jon Snow,GoT,The Gift,24 May 2015
Petyr 'Littlefinger' Baelish,GoT,The Gift,24 May 2015
Stannis Baratheon,GoT,The Gift,24 May 2015
Davos Seaworth,GoT,The Gift,24 May 2015
Melisandre,GoT,The Gift,24 May 2015
Samwell Tarly,GoT,The Gift,24 May 2015
Tormund Giantsbane,GoT,The Gift,24 May 2015
Gilly,GoT,The Gift,24 May 2015
Tommen Baratheon,GoT,The Gift,24 May 2015
Sansa Stark,GoT,The Gift,24 May 2015
Ramsay Bolton,GoT,The Gift,24 May 2015
Bronn,GoT,The Gift,24 May 2015
Daario Naharis,GoT,The Gift,24 May 2015
Jorah Mormont,GoT,The Gift,24 May 2015
Olenna Tyrell,GoT,The Gift,24 May 2015
High Sparrow,GoT,The Gift,24 May 2015
Eddison Tollett,GoT,The Gift,24 May 2015
Obara Sand,GoT,The Gift,24 May 2015
Myrcella Baratheon,GoT,The Gift,24 May 2015
Septa Unella,GoT,The Gift,24 May 2015
Margaery Tyrell,GoT,The Gift,24 May 2015
Theon Greyjoy,GoT,The Gift,24 May 2015
Brienne of Tarth,GoT,The Gift,24 May 2015
Maester Aemon,GoT,The Gift,24 May 2015
Alliser Thorne,GoT,The Gift,24 May 2015
Areo Hotah,GoT,The Gift,24 May 2015
Yezzan zo Qaggaz,GoT,The Gift,24 May 2015
Tyene Sand,GoT,The Gift,24 May 2015
Nymeria Sand,GoT,The Gift,24 May 2015
Podrick Payne,GoT,The Gift,24 May 2015
Hizdahr zo Loraq,GoT,The Gift,24 May 2015
Olly,GoT,The Gift,24 May 2015
Lancel Lannister,GoT,The Gift,24 May 2015
Malko,GoT,The Gift,24 May 2015
Othell Yarwyck,GoT,The Gift,24 May 2015
Bowen Marsh,GoT,The Gift,24 May 2015
Derek,GoT,The Gift,24 May 2015
Brant,GoT,The Gift,24 May 2015
