CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Lion and the Rose,13 April 2014
Jaime Lannister,GoT,The Lion and the Rose,13 April 2014
Cersei Lannister,GoT,The Lion and the Rose,13 April 2014
Tywin Lannister,GoT,The Lion and the Rose,13 April 2014
Margaery Tyrell,GoT,The Lion and the Rose,13 April 2014
Davos Seaworth,GoT,The Lion and the Rose,13 April 2014
Stannis Baratheon,GoT,The Lion and the Rose,13 April 2014
Theon Greyjoy,GoT,The Lion and the Rose,13 April 2014
Joffrey Baratheon,GoT,The Lion and the Rose,13 April 2014
Sansa Stark,GoT,The Lion and the Rose,13 April 2014
Brienne of Tarth,GoT,The Lion and the Rose,13 April 2014
Shae,GoT,The Lion and the Rose,13 April 2014
Ramsay Snow,GoT,The Lion and the Rose,13 April 2014
Bronn,GoT,The Lion and the Rose,13 April 2014
Olenna Tyrell,GoT,The Lion and the Rose,13 April 2014
Oberyn Martell,GoT,The Lion and the Rose,13 April 2014
Ellaria Sand,GoT,The Lion and the Rose,13 April 2014
Roose Bolton,GoT,The Lion and the Rose,13 April 2014
Grand Maester Pycelle,GoT,The Lion and the Rose,13 April 2014
Selyse Baratheon,GoT,The Lion and the Rose,13 April 2014
Loras Tyrell,GoT,The Lion and the Rose,13 April 2014
Tommen Baratheon,GoT,The Lion and the Rose,13 April 2014
Podrick Payne,GoT,The Lion and the Rose,13 April 2014
Meryn Trant,GoT,The Lion and the Rose,13 April 2014
Dontos Hollard,GoT,The Lion and the Rose,13 April 2014
Myranda,GoT,The Lion and the Rose,13 April 2014
High Septon,GoT,The Lion and the Rose,13 April 2014
Walda Bolton,GoT,The Lion and the Rose,13 April 2014
Axell Florent,GoT,The Lion and the Rose,13 April 2014
Kayla,GoT,The Lion and the Rose,13 April 2014
Melisandre,GoT,The Lion and the Rose,13 April 2014
Bran Stark,GoT,The Lion and the Rose,13 April 2014
Lord Varys,GoT,The Lion and the Rose,13 April 2014
Locke,GoT,The Lion and the Rose,13 April 2014
Mace Tyrell,GoT,The Lion and the Rose,13 April 2014
Jojen Reed,GoT,The Lion and the Rose,13 April 2014
Meera Reed,GoT,The Lion and the Rose,13 April 2014
Hodor,GoT,The Lion and the Rose,13 April 2014
Shireen Baratheon,GoT,The Lion and the Rose,13 April 2014
Tansy,GoT,The Lion and the Rose,13 April 2014
