CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Night Lands,8 April 2012
Cersei Lannister,GoT,The Night Lands,8 April 2012
Daenerys Targaryen,GoT,The Night Lands,8 April 2012
Petyr 'Littlefinger' Baelish,GoT,The Night Lands,8 April 2012
Davos Seaworth,GoT,The Night Lands,8 April 2012
Theon Greyjoy,GoT,The Night Lands,8 April 2012
Arya Stark,GoT,The Night Lands,8 April 2012
Bronn,GoT,The Night Lands,8 April 2012
Lord Varys,GoT,The Night Lands,8 April 2012
Samwell Tarly,GoT,The Night Lands,8 April 2012
Shae,GoT,The Night Lands,8 April 2012
Balon Greyjoy,GoT,The Night Lands,8 April 2012
Yoren,GoT,The Night Lands,8 April 2012
Janos Slynt,GoT,The Night Lands,8 April 2012
Jaqen H'ghar,GoT,The Night Lands,8 April 2012
Gendry,GoT,The Night Lands,8 April 2012
Grenn,GoT,The Night Lands,8 April 2012
Eddison Tollett,GoT,The Night Lands,8 April 2012
Hot Pie,GoT,The Night Lands,8 April 2012
Lommy Greenhands,GoT,The Night Lands,8 April 2012
Ros,GoT,The Night Lands,8 April 2012
Rorge,GoT,The Night Lands,8 April 2012
Yara Greyjoy,GoT,The Night Lands,8 April 2012
Matthos Seaworth,GoT,The Night Lands,8 April 2012
Salladhor Saan,GoT,The Night Lands,8 April 2012
Gilly,GoT,The Night Lands,8 April 2012
Biter,GoT,The Night Lands,8 April 2012
Jorah Mormont,GoT,The Night Lands,8 April 2012
Jon Snow,GoT,The Night Lands,8 April 2012
Stannis Baratheon,GoT,The Night Lands,8 April 2012
Melisandre,GoT,The Night Lands,8 April 2012
Grand Maester Pycelle,GoT,The Night Lands,8 April 2012
Craster,GoT,The Night Lands,8 April 2012
Doreah,GoT,The Night Lands,8 April 2012
Irri,GoT,The Night Lands,8 April 2012
Kovarro,GoT,The Night Lands,8 April 2012
Alton Lannister,GoT,The Night Lands,8 April 2012
Armeca,GoT,The Night Lands,8 April 2012
Podrick Payne,GoT,The Night Lands,8 April 2012
Marei,GoT,The Night Lands,8 April 2012
