CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Old Gods and the New,6 May 2012
Cersei Lannister,GoT,The Old Gods and the New,6 May 2012
Catelyn Stark,GoT,The Old Gods and the New,6 May 2012
Daenerys Targaryen,GoT,The Old Gods and the New,6 May 2012
Petyr 'Littlefinger' Baelish,GoT,The Old Gods and the New,6 May 2012
Jon Snow,GoT,The Old Gods and the New,6 May 2012
Robb Stark,GoT,The Old Gods and the New,6 May 2012
Sansa Stark,GoT,The Old Gods and the New,6 May 2012
Arya Stark,GoT,The Old Gods and the New,6 May 2012
Joffrey Baratheon,GoT,The Old Gods and the New,6 May 2012
Sandor 'The Hound' Clegane,GoT,The Old Gods and the New,6 May 2012
Roose Bolton,GoT,The Old Gods and the New,6 May 2012
Xaro Xhoan Daxos,GoT,The Old Gods and the New,6 May 2012
Spice King,GoT,The Old Gods and the New,6 May 2012
Ygritte,GoT,The Old Gods and the New,6 May 2012
Meryn Trant,GoT,The Old Gods and the New,6 May 2012
Amory Lorch,GoT,The Old Gods and the New,6 May 2012
Myrcella Baratheon,GoT,The Old Gods and the New,6 May 2012
Tywin Lannister,GoT,The Old Gods and the New,6 May 2012
Bran Stark,GoT,The Old Gods and the New,6 May 2012
Theon Greyjoy,GoT,The Old Gods and the New,6 May 2012
Shae,GoT,The Old Gods and the New,6 May 2012
Maester Luwin,GoT,The Old Gods and the New,6 May 2012
Rodrik Cassel,GoT,The Old Gods and the New,6 May 2012
Osha,GoT,The Old Gods and the New,6 May 2012
Jaqen H'ghar,GoT,The Old Gods and the New,6 May 2012
Brienne of Tarth,GoT,The Old Gods and the New,6 May 2012
Talisa Maegyr,GoT,The Old Gods and the New,6 May 2012
Qhorin Halfhand,GoT,The Old Gods and the New,6 May 2012
Dagmer Cleftjaw,GoT,The Old Gods and the New,6 May 2012
Black Lorren,GoT,The Old Gods and the New,6 May 2012
Irri,GoT,The Old Gods and the New,6 May 2012
Hodor,GoT,The Old Gods and the New,6 May 2012
Kovarro,GoT,The Old Gods and the New,6 May 2012
High Septon,GoT,The Old Gods and the New,6 May 2012
Farlen,GoT,The Old Gods and the New,6 May 2012
Drennan,GoT,The Old Gods and the New,6 May 2012
Rickon Stark,GoT,The Old Gods and the New,6 May 2012
Tommen Baratheon,GoT,The Old Gods and the New,6 May 2012
Jacks,GoT,The Old Gods and the New,6 May 2012
Quent,GoT,The Old Gods and the New,6 May 2012
