CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,The Pointy End,5 June 2011
Catelyn Stark,GoT,The Pointy End,5 June 2011
Cersei Lannister,GoT,The Pointy End,5 June 2011
Daenerys Targaryen,GoT,The Pointy End,5 June 2011
Jorah Mormont,GoT,The Pointy End,5 June 2011
Petyr 'Littlefinger' Baelish,GoT,The Pointy End,5 June 2011
Jon Snow,GoT,The Pointy End,5 June 2011
Robb Stark,GoT,The Pointy End,5 June 2011
Sansa Stark,GoT,The Pointy End,5 June 2011
Arya Stark,GoT,The Pointy End,5 June 2011
Theon Greyjoy,GoT,The Pointy End,5 June 2011
Bran Stark,GoT,The Pointy End,5 June 2011
Joffrey Baratheon,GoT,The Pointy End,5 June 2011
Tyrion Lannister,GoT,The Pointy End,5 June 2011
Maester Luwin,GoT,The Pointy End,5 June 2011
Lord Varys,GoT,The Pointy End,5 June 2011
Bronn,GoT,The Pointy End,5 June 2011
Jeor Mormont,GoT,The Pointy End,5 June 2011
Alliser Thorne,GoT,The Pointy End,5 June 2011
Rodrik Cassel,GoT,The Pointy End,5 June 2011
Barristan Selmy,GoT,The Pointy End,5 June 2011
Samwell Tarly,GoT,The Pointy End,5 June 2011
Grand Maester Pycelle,GoT,The Pointy End,5 June 2011
Syrio Forel,GoT,The Pointy End,5 June 2011
Lysa Arryn,GoT,The Pointy End,5 June 2011
Osha,GoT,The Pointy End,5 June 2011
Septa Mordane,GoT,The Pointy End,5 June 2011
Greatjon Umber,GoT,The Pointy End,5 June 2011
Pypar,GoT,The Pointy End,5 June 2011
Shagga,GoT,The Pointy End,5 June 2011
Mirri Maz Duur,GoT,The Pointy End,5 June 2011
Irri,GoT,The Pointy End,5 June 2011
Doreah,GoT,The Pointy End,5 June 2011
Rakharo,GoT,The Pointy End,5 June 2011
Qotho,GoT,The Pointy End,5 June 2011
Robin Arryn,GoT,The Pointy End,5 June 2011
Rickon Stark,GoT,The Pointy End,5 June 2011
Meryn Trant,GoT,The Pointy End,5 June 2011
Othell Yarwyck,GoT,The Pointy End,5 June 2011
Khal Drogo,GoT,The Pointy End,5 June 2011
Mago,GoT,The Pointy End,5 June 2011
Timett,GoT,The Pointy End,5 June 2011
Sandor 'The Hound' Clegane,GoT,The Pointy End,5 June 2011
Tywin Lannister,GoT,The Pointy End,5 June 2011
Janos Slynt,GoT,The Pointy End,5 June 2011
Grenn,GoT,The Pointy End,5 June 2011
Rast,GoT,The Pointy End,5 June 2011
Hodor,GoT,The Pointy End,5 June 2011
Kevan Lannister,GoT,The Pointy End,5 June 2011
Vayon Poole,GoT,The Pointy End,5 June 2011
