CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Queen's Justice,30 July 2017
Jaime Lannister,GoT,The Queen's Justice,30 July 2017
Cersei Lannister,GoT,The Queen's Justice,30 July 2017
Daenerys Targaryen,GoT,The Queen's Justice,30 July 2017
Jon Snow,GoT,The Queen's Justice,30 July 2017
Petyr 'Littlefinger' Baelish,GoT,The Queen's Justice,30 July 2017
Davos Seaworth,GoT,The Queen's Justice,30 July 2017
Melisandre,GoT,The Queen's Justice,30 July 2017
Sansa Stark,GoT,The Queen's Justice,30 July 2017
Missandei,GoT,The Queen's Justice,30 July 2017
Ellaria Sand,GoT,The Queen's Justice,30 July 2017
Theon Greyjoy,GoT,The Queen's Justice,30 July 2017
Samwell Tarly,GoT,The Queen's Justice,30 July 2017
Bran Stark,GoT,The Queen's Justice,30 July 2017
Lord Varys,GoT,The Queen's Justice,30 July 2017
Bronn,GoT,The Queen's Justice,30 July 2017
Olenna Tyrell,GoT,The Queen's Justice,30 July 2017
Euron Greyjoy,GoT,The Queen's Justice,30 July 2017
Yara Greyjoy,GoT,The Queen's Justice,30 July 2017
Grey Worm,GoT,The Queen's Justice,30 July 2017
Tycho Nestoris,GoT,The Queen's Justice,30 July 2017
Tyene Sand,GoT,The Queen's Justice,30 July 2017
Meera Reed,GoT,The Queen's Justice,30 July 2017
Gregor Clegane,GoT,The Queen's Justice,30 July 2017
Randyll Tarly,GoT,The Queen's Justice,30 July 2017
Dickon Tarly,GoT,The Queen's Justice,30 July 2017
Harrag,GoT,The Queen's Justice,30 July 2017
Qhono,GoT,The Queen's Justice,30 July 2017
Jorah Mormont,GoT,The Queen's Justice,30 July 2017
Archmaester Ebrose,GoT,The Queen's Justice,30 July 2017
Qyburn,GoT,The Queen's Justice,30 July 2017
Yohn Royce,GoT,The Queen's Justice,30 July 2017
Maester Wolkan,GoT,The Queen's Justice,30 July 2017
Bernadette,GoT,The Queen's Justice,30 July 2017
