CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Red Woman,24 April 2016
Jaime Lannister,GoT,The Red Woman,24 April 2016
Cersei Lannister,GoT,The Red Woman,24 April 2016
Daenerys Targaryen,GoT,The Red Woman,24 April 2016
Jon Snow,GoT,The Red Woman,24 April 2016
Davos Seaworth,GoT,The Red Woman,24 April 2016
Melisandre,GoT,The Red Woman,24 April 2016
Margaery Tyrell,GoT,The Red Woman,24 April 2016
Ellaria Sand,GoT,The Red Woman,24 April 2016
Sansa Stark,GoT,The Red Woman,24 April 2016
Arya Stark,GoT,The Red Woman,24 April 2016
Lord Varys,GoT,The Red Woman,24 April 2016
Theon Greyjoy,GoT,The Red Woman,24 April 2016
Brienne of Tarth,GoT,The Red Woman,24 April 2016
High Sparrow,GoT,The Red Woman,24 April 2016
Daario Naharis,GoT,The Red Woman,24 April 2016
Roose Bolton,GoT,The Red Woman,24 April 2016
Ramsay Bolton,GoT,The Red Woman,24 April 2016
Jorah Mormont,GoT,The Red Woman,24 April 2016
Eddison Tollett,GoT,The Red Woman,24 April 2016
Doran Martell,GoT,The Red Woman,24 April 2016
Areo Hotah,GoT,The Red Woman,24 April 2016
The Waif,GoT,The Red Woman,24 April 2016
Obara Sand,GoT,The Red Woman,24 April 2016
Tyene Sand,GoT,The Red Woman,24 April 2016
Nymeria Sand,GoT,The Red Woman,24 April 2016
Septa Unella,GoT,The Red Woman,24 April 2016
Trystane Martell,GoT,The Red Woman,24 April 2016
Myranda,GoT,The Red Woman,24 April 2016
Khal Moro,GoT,The Red Woman,24 April 2016
Aggo,GoT,The Red Woman,24 April 2016
Qhono,GoT,The Red Woman,24 April 2016
Zanrush,GoT,The Red Woman,24 April 2016
Alliser Thorne,GoT,The Red Woman,24 April 2016
Podrick Payne,GoT,The Red Woman,24 April 2016
Olly,GoT,The Red Woman,24 April 2016
Gregor Clegane,GoT,The Red Woman,24 April 2016
Maester Wolkan,GoT,The Red Woman,24 April 2016
Bernadette,GoT,The Red Woman,24 April 2016
Othell Yarwyck,GoT,The Red Woman,24 April 2016
Bowen Marsh,GoT,The Red Woman,24 April 2016
Maester Caleotte,GoT,The Red Woman,24 April 2016
