CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,The Winds of Winter,26 June 2016
Jaime Lannister,GoT,The Winds of Winter,26 June 2016
Cersei Lannister,GoT,The Winds of Winter,26 June 2016
Jon Snow,GoT,The Winds of Winter,26 June 2016
Daenerys Targaryen,GoT,The Winds of Winter,26 June 2016
Margaery Tyrell,GoT,The Winds of Winter,26 June 2016
Davos Seaworth,GoT,The Winds of Winter,26 June 2016
Sansa Stark,GoT,The Winds of Winter,26 June 2016
Petyr 'Littlefinger' Baelish,GoT,The Winds of Winter,26 June 2016
Melisandre,GoT,The Winds of Winter,26 June 2016
Missandei,GoT,The Winds of Winter,26 June 2016
Ellaria Sand,GoT,The Winds of Winter,26 June 2016
Arya Stark,GoT,The Winds of Winter,26 June 2016
High Sparrow,GoT,The Winds of Winter,26 June 2016
Lord Varys,GoT,The Winds of Winter,26 June 2016
Tommen Baratheon,GoT,The Winds of Winter,26 June 2016
Samwell Tarly,GoT,The Winds of Winter,26 June 2016
Bran Stark,GoT,The Winds of Winter,26 June 2016
Bronn,GoT,The Winds of Winter,26 June 2016
Daario Naharis,GoT,The Winds of Winter,26 June 2016
Olenna Tyrell,GoT,The Winds of Winter,26 June 2016
Walder Frey,GoT,The Winds of Winter,26 June 2016
Qyburn,GoT,The Winds of Winter,26 June 2016
Benjen Stark,GoT,The Winds of Winter,26 June 2016
Loras Tyrell,GoT,The Winds of Winter,26 June 2016
Lancel Lannister,GoT,The Winds of Winter,26 June 2016
Obara Sand,GoT,The Winds of Winter,26 June 2016
Tyene Sand,GoT,The Winds of Winter,26 June 2016
Nymeria Sand,GoT,The Winds of Winter,26 June 2016
Septa Unella,GoT,The Winds of Winter,26 June 2016
Young Ned,GoT,The Winds of Winter,26 June 2016
Lyanna Stark,GoT,The Winds of Winter,26 June 2016
Lyanna Mormont,GoT,The Winds of Winter,26 June 2016
Wyman Manderly,GoT,The Winds of Winter,26 June 2016
Tormund Giantsbane,GoT,The Winds of Winter,26 June 2016
Theon Greyjoy,GoT,The Winds of Winter,26 June 2016
Gilly,GoT,The Winds of Winter,26 June 2016
Grand Maester Pycelle,GoT,The Winds of Winter,26 June 2016
Kevan Lannister,GoT,The Winds of Winter,26 June 2016
Mace Tyrell,GoT,The Winds of Winter,26 June 2016
Grey Worm,GoT,The Winds of Winter,26 June 2016
Yara Greyjoy,GoT,The Winds of Winter,26 June 2016
Meera Reed,GoT,The Winds of Winter,26 June 2016
Yohn Royce,GoT,The Winds of Winter,26 June 2016
Robett Glover,GoT,The Winds of Winter,26 June 2016
Gregor Clegane,GoT,The Winds of Winter,26 June 2016
Lothar Frey,GoT,The Winds of Winter,26 June 2016
Black Walder Rivers,GoT,The Winds of Winter,26 June 2016
Marei,GoT,The Winds of Winter,26 June 2016
Bernadette,GoT,The Winds of Winter,26 June 2016
Cley Cerwyn,GoT,The Winds of Winter,26 June 2016
Arthur,GoT,The Winds of Winter,26 June 2016
Frances,GoT,The Winds of Winter,26 June 2016
