CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,The Wolf and the Lion,15 May 2011
Robert Baratheon,GoT,The Wolf and the Lion,15 May 2011
Jaime Lannister,GoT,The Wolf and the Lion,15 May 2011
Catelyn Stark,GoT,The Wolf and the Lion,15 May 2011
Cersei Lannister,GoT,The Wolf and the Lion,15 May 2011
Petyr 'Littlefinger' Baelish,GoT,The Wolf and the Lion,15 May 2011
Sansa Stark,GoT,The Wolf and the Lion,15 May 2011
Arya Stark,GoT,The Wolf and the Lion,15 May 2011
Theon Greyjoy,GoT,The Wolf and the Lion,15 May 2011
Bran Stark,GoT,The Wolf and the Lion,15 May 2011
Sandor 'The Hound' Clegane,GoT,The Wolf and the Lion,15 May 2011
Tyrion Lannister,GoT,The Wolf and the Lion,15 May 2011
Maester Luwin,GoT,The Wolf and the Lion,15 May 2011
Lord Varys,GoT,The Wolf and the Lion,15 May 2011
Jory Cassel,GoT,The Wolf and the Lion,15 May 2011
Rodrik Cassel,GoT,The Wolf and the Lion,15 May 2011
Bronn,GoT,The Wolf and the Lion,15 May 2011
Barristan Selmy,GoT,The Wolf and the Lion,15 May 2011
Lysa Arryn,GoT,The Wolf and the Lion,15 May 2011
Grand Maester Pycelle,GoT,The Wolf and the Lion,15 May 2011
Renly Baratheon,GoT,The Wolf and the Lion,15 May 2011
Illyrio Mopatis,GoT,The Wolf and the Lion,15 May 2011
Loras Tyrell,GoT,The Wolf and the Lion,15 May 2011
Gregor Clegane,GoT,The Wolf and the Lion,15 May 2011
Mord,GoT,The Wolf and the Lion,15 May 2011
Septa Mordane,GoT,The Wolf and the Lion,15 May 2011
Ros,GoT,The Wolf and the Lion,15 May 2011
Robin Arryn,GoT,The Wolf and the Lion,15 May 2011
Vardis Egen,GoT,The Wolf and the Lion,15 May 2011
Lancel Lannister,GoT,The Wolf and the Lion,15 May 2011
Mhaegen,GoT,The Wolf and the Lion,15 May 2011
Joffrey Baratheon,GoT,The Wolf and the Lion,15 May 2011
Yoren,GoT,The Wolf and the Lion,15 May 2011
Marillion,GoT,The Wolf and the Lion,15 May 2011
Hugh of the Vale,GoT,The Wolf and the Lion,15 May 2011
Kurleket,GoT,The Wolf and the Lion,15 May 2011
Tommen Baratheon,GoT,The Wolf and the Lion,15 May 2011
Myrcella Baratheon,GoT,The Wolf and the Lion,15 May 2011
Willis Wode,GoT,The Wolf and the Lion,15 May 2011
