CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Tyrion Lannister,GoT,Valar Dohaeris,31 March 2013
Cersei Lannister,GoT,Valar Dohaeris,31 March 2013
Daenerys Targaryen,GoT,Valar Dohaeris,31 March 2013
Jon Snow,GoT,Valar Dohaeris,31 March 2013
Robb Stark,GoT,Valar Dohaeris,31 March 2013
Jorah Mormont,GoT,Valar Dohaeris,31 March 2013
Petyr 'Littlefinger' Baelish,GoT,Valar Dohaeris,31 March 2013
Tywin Lannister,GoT,Valar Dohaeris,31 March 2013
Margaery Tyrell,GoT,Valar Dohaeris,31 March 2013
Sansa Stark,GoT,Valar Dohaeris,31 March 2013
Shae,GoT,Valar Dohaeris,31 March 2013
Ygritte,GoT,Valar Dohaeris,31 March 2013
Jeor Mormont,GoT,Valar Dohaeris,31 March 2013
Bronn,GoT,Valar Dohaeris,31 March 2013
Barristan Selmy,GoT,Valar Dohaeris,31 March 2013
Ros,GoT,Valar Dohaeris,31 March 2013
Grenn,GoT,Valar Dohaeris,31 March 2013
Eddison Tollett,GoT,Valar Dohaeris,31 March 2013
Podrick Payne,GoT,Valar Dohaeris,31 March 2013
Kraznys mo Nakloz,GoT,Valar Dohaeris,31 March 2013
Missandei,GoT,Valar Dohaeris,31 March 2013
Rast,GoT,Valar Dohaeris,31 March 2013
Meryn Trant,GoT,Valar Dohaeris,31 March 2013
Dongo the Giant,GoT,Valar Dohaeris,31 March 2013
Mirelle,GoT,Valar Dohaeris,31 March 2013
Catelyn Stark,GoT,Valar Dohaeris,31 March 2013
Davos Seaworth,GoT,Valar Dohaeris,31 March 2013
Stannis Baratheon,GoT,Valar Dohaeris,31 March 2013
Melisandre,GoT,Valar Dohaeris,31 March 2013
Samwell Tarly,GoT,Valar Dohaeris,31 March 2013
Joffrey Baratheon,GoT,Valar Dohaeris,31 March 2013
Talisa Stark,GoT,Valar Dohaeris,31 March 2013
Mance Rayder,GoT,Valar Dohaeris,31 March 2013
Roose Bolton,GoT,Valar Dohaeris,31 March 2013
Loras Tyrell,GoT,Valar Dohaeris,31 March 2013
Qyburn,GoT,Valar Dohaeris,31 March 2013
Tormund Giantsbane,GoT,Valar Dohaeris,31 March 2013
Rickard Karstark,GoT,Valar Dohaeris,31 March 2013
Salladhor Saan,GoT,Valar Dohaeris,31 March 2013
Rattleshirt,GoT,Valar Dohaeris,31 March 2013
