CHARACTER,UNIVERSE,TITLE,RELEASE_DATE
Eddard 'Ned' Stark,GoT,Winter Is Coming,17 April 2011
Robert Baratheon,GoT,Winter Is Coming,17 April 2011
Jaime Lannister,GoT,Winter Is Coming,17 April 2011
Catelyn Stark,GoT,Winter Is Coming,17 April 2011
Cersei Lannister,GoT,Winter Is Coming,17 April 2011
Daenerys Targaryen,GoT,Winter Is Coming,17 April 2011
Jorah Mormont,GoT,Winter Is Coming,17 April 2011
Viserys Targaryen,GoT,Winter Is Coming,17 April 2011
Jon Snow,GoT,Winter Is Coming,17 April 2011
Sansa Stark,GoT,Winter Is Coming,17 April 2011
Arya Stark,GoT,Winter Is Coming,17 April 2011
Robb Stark,GoT,Winter Is Coming,17 April 2011
Theon Greyjoy,GoT,Winter Is Coming,17 April 2011
Bran Stark,GoT,Winter Is Coming,17 April 2011
Tyrion Lannister,GoT,Winter Is Coming,17 April 2011
Maester Luwin,GoT,Winter Is Coming,17 April 2011
Jory Cassel,GoT,Winter Is Coming,17 April 2011
Rodrik Cassel,GoT,Winter Is Coming,17 April 2011
Illyrio Mopatis,GoT,Winter Is Coming,17 April 2011
Will,GoT,Winter Is Coming,17 April 2011
Jon Arryn,GoT,Winter Is Coming,17 April 2011
Waymar Royce,GoT,Winter Is Coming,17 April 2011
Gared,GoT,Winter Is Coming,17 April 2011
Rickon Stark,GoT,Winter Is Coming,17 April 2011
Hodor,GoT,Winter Is Coming,17 April 2011
Khal Drogo,GoT,Winter Is Coming,17 April 2011
Joffrey Baratheon,GoT,Winter Is Coming,17 April 2011
Sandor 'The Hound' Clegane,GoT,Winter Is Coming,17 April 2011
Benjen Stark,GoT,Winter Is Coming,17 April 2011
Qotho,GoT,Winter Is Coming,17 April 2011
Ros,GoT,Winter Is Coming,17 April 2011
Septa Mordane,GoT,Winter Is Coming,17 April 2011
Tommen Baratheon,GoT,Winter Is Coming,17 April 2011
Myrcella Baratheon,GoT,Winter Is Coming,17 April 2011
