NAME 1,NAME 2
Eddard 'Ned' Stark,Robert Baratheon
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Viserys Targaryen
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Bran Stark
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Bronn
Eddard 'Ned' Stark,Barristan Selmy
Eddard 'Ned' Stark,Lysa Arryn
Eddard 'Ned' Stark,Renly Baratheon
Eddard 'Ned' Stark,Syrio Forel
Eddard 'Ned' Stark,Mord
Eddard 'Ned' Stark,Robin Arryn
Eddard 'Ned' Stark,Ros
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Vardis Egen
Eddard 'Ned' Stark,Lancel Lannister
Eddard 'Ned' Stark,Stiv
Eddard 'Ned' Stark,Khal Drogo
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Loras Tyrell
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Marillion
Eddard 'Ned' Stark,Septa Mordane
Eddard 'Ned' Stark,Osha
Eddard 'Ned' Stark,Doreah
Eddard 'Ned' Stark,Hodor
Eddard 'Ned' Stark,Rakharo
Eddard 'Ned' Stark,Qotho
Eddard 'Ned' Stark,Dothraki Crone
Eddard 'Ned' Stark,Joss
Eddard 'Ned' Stark,Beric Dondarrion
Robert Baratheon,Cersei Lannister
Robert Baratheon,Daenerys Targaryen
Robert Baratheon,Jorah Mormont
Robert Baratheon,Viserys Targaryen
Robert Baratheon,Robb Stark
Robert Baratheon,Sansa Stark
Robert Baratheon,Arya Stark
Robert Baratheon,Theon Greyjoy
Robert Baratheon,Bran Stark
Robert Baratheon,Tyrion Lannister
Robert Baratheon,Bronn
Robert Baratheon,Barristan Selmy
Robert Baratheon,Lysa Arryn
Robert Baratheon,Renly Baratheon
Robert Baratheon,Syrio Forel
Robert Baratheon,Mord
Robert Baratheon,Robin Arryn
Robert Baratheon,Ros
Robert Baratheon,Irri
Robert Baratheon,Vardis Egen
Robert Baratheon,Lancel Lannister
Robert Baratheon,Stiv
Robert Baratheon,Khal Drogo
Robert Baratheon,Catelyn Stark
Robert Baratheon,Petyr 'Littlefinger' Baelish
Robert Baratheon,Joffrey Baratheon
Robert Baratheon,Rodrik Cassel
Robert Baratheon,Loras Tyrell
Robert Baratheon,Grand Maester Pycelle
Robert Baratheon,Marillion
Robert Baratheon,Septa Mordane
Robert Baratheon,Osha
Robert Baratheon,Doreah
Robert Baratheon,Hodor
Robert Baratheon,Rakharo
Robert Baratheon,Qotho
Robert Baratheon,Dothraki Crone
Robert Baratheon,Joss
Robert Baratheon,Beric Dondarrion
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jorah Mormont
Cersei Lannister,Viserys Targaryen
Cersei Lannister,Robb Stark
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Theon Greyjoy
Cersei Lannister,Bran Stark
Cersei Lannister,Tyrion Lannister
Cersei Lannister,Bronn
Cersei Lannister,Barristan Selmy
Cersei Lannister,Lysa Arryn
Cersei Lannister,Renly Baratheon
Cersei Lannister,Syrio Forel
Cersei Lannister,Mord
Cersei Lannister,Robin Arryn
Cersei Lannister,Ros
Cersei Lannister,Irri
Cersei Lannister,Vardis Egen
Cersei Lannister,Lancel Lannister
Cersei Lannister,Stiv
Cersei Lannister,Khal Drogo
Cersei Lannister,Catelyn Stark
Cersei Lannister,Petyr 'Littlefinger' Baelish
Cersei Lannister,Joffrey Baratheon
Cersei Lannister,Rodrik Cassel
Cersei Lannister,Loras Tyrell
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Marillion
Cersei Lannister,Septa Mordane
Cersei Lannister,Osha
Cersei Lannister,Doreah
Cersei Lannister,Hodor
Cersei Lannister,Rakharo
Cersei Lannister,Qotho
