NAME 1,NAME 2
Tyrion Lannister,Jaime Lannister
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Daenerys Targaryen
Tyrion Lannister,Petyr 'Littlefinger' Baelish
Tyrion Lannister,Melisandre
Tyrion Lannister,Samwell Tarly
Tyrion Lannister,Sansa Stark
Tyrion Lannister,Arya Stark
Tyrion Lannister,Sandor 'The Hound' Clegane
Tyrion Lannister,Brienne of Tarth
Tyrion Lannister,Bronn
Tyrion Lannister,Oberyn Martell
Tyrion Lannister,Daario Naharis
Tyrion Lannister,Selyse Baratheon
Tyrion Lannister,Lysa Arryn
Tyrion Lannister,Podrick Payne
Tyrion Lannister,Robin Arryn
Tyrion Lannister,Rorge
Tyrion Lannister,Hot Pie
Tyrion Lannister,Gregor Clegane
Tyrion Lannister,Biter
Tyrion Lannister,Jon Snow
Tyrion Lannister,Jorah Mormont
Tyrion Lannister,Alliser Thorne
Tyrion Lannister,Janos Slynt
Tyrion Lannister,Grenn
Tyrion Lannister,Eddison Tollett
Tyrion Lannister,Pypar
Tyrion Lannister,Olly
Tyrion Lannister,Othell Yarwyck
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Petyr 'Littlefinger' Baelish
Jaime Lannister,Melisandre
Jaime Lannister,Samwell Tarly
Jaime Lannister,Sansa Stark
Jaime Lannister,Arya Stark
Jaime Lannister,Sandor 'The Hound' Clegane
Jaime Lannister,Brienne of Tarth
Jaime Lannister,Bronn
Jaime Lannister,Oberyn Martell
Jaime Lannister,Daario Naharis
Jaime Lannister,Selyse Baratheon
Jaime Lannister,Lysa Arryn
Jaime Lannister,Podrick Payne
Jaime Lannister,Robin Arryn
Jaime Lannister,Rorge
Jaime Lannister,Hot Pie
Jaime Lannister,Gregor Clegane
Jaime Lannister,Biter
Jaime Lannister,Jon Snow
Jaime Lannister,Jorah Mormont
Jaime Lannister,Alliser Thorne
Jaime Lannister,Janos Slynt
Jaime Lannister,Grenn
Jaime Lannister,Eddison Tollett
Jaime Lannister,Pypar
Jaime Lannister,Olly
Jaime Lannister,Othell Yarwyck
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Petyr 'Littlefinger' Baelish
Cersei Lannister,Melisandre
Cersei Lannister,Samwell Tarly
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Brienne of Tarth
Cersei Lannister,Bronn
Cersei Lannister,Oberyn Martell
Cersei Lannister,Daario Naharis
Cersei Lannister,Selyse Baratheon
Cersei Lannister,Lysa Arryn
Cersei Lannister,Podrick Payne
Cersei Lannister,Robin Arryn
Cersei Lannister,Rorge
Cersei Lannister,Hot Pie
Cersei Lannister,Gregor Clegane
Cersei Lannister,Biter
Cersei Lannister,Jon Snow
Cersei Lannister,Jorah Mormont
Cersei Lannister,Alliser Thorne
Cersei Lannister,Janos Slynt
Cersei Lannister,Grenn
Cersei Lannister,Eddison Tollett
Cersei Lannister,Pypar
Cersei Lannister,Olly
Cersei Lannister,Othell Yarwyck
Daenerys Targaryen,Petyr 'Littlefinger' Baelish
Daenerys Targaryen,Melisandre
Daenerys Targaryen,Samwell Tarly
Daenerys Targaryen,Sansa Stark
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Brienne of Tarth
Daenerys Targaryen,Bronn
Daenerys Targaryen,Oberyn Martell
Daenerys Targaryen,Daario Naharis
Daenerys Targaryen,Selyse Baratheon
Daenerys Targaryen,Lysa Arryn
Daenerys Targaryen,Podrick Payne
Daenerys Targaryen,Robin Arryn
Daenerys Targaryen,Rorge
Daenerys Targaryen,Hot Pie
Daenerys Targaryen,Gregor Clegane
Daenerys Targaryen,Biter
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Jorah Mormont
Daenerys Targaryen,Alliser Thorne
Daenerys Targaryen,Janos Slynt
Daenerys Targaryen,Grenn
Daenerys Targaryen,Eddison Tollett
Daenerys Targaryen,Pypar
Daenerys Targaryen,Olly
Daenerys Targaryen,Othell Yarwyck
Petyr 'Littlefinger' Baelish,Melisandre
Petyr 'Littlefinger' Baelish,Samwell Tarly
Petyr 'Littlefinger' Baelish,Sansa Stark
Petyr 'Littlefinger' Baelish,Arya Stark
Petyr 'Littlefinger' Baelish,Sandor 'The Hound' Clegane
Petyr 'Littlefinger' Baelish,Brienne of Tarth
Petyr 'Littlefinger' Baelish,Bronn
Petyr 'Littlefinger' Baelish,Oberyn Martell
Petyr 'Littlefinger' Baelish,Daario Naharis
Petyr 'Littlefinger' Baelish,Selyse Baratheon
Petyr 'Littlefinger' Baelish,Lysa Arryn
Petyr 'Littlefinger' Baelish,Podrick Payne
Petyr 'Littlefinger' Baelish,Robin Arryn
Petyr 'Littlefinger' Baelish,Rorge
Petyr 'Littlefinger' Baelish,Hot Pie
Petyr 'Littlefinger' Baelish,Gregor Clegane
Petyr 'Littlefinger' Baelish,Biter
Petyr 'Littlefinger' Baelish,Jon Snow
Petyr 'Littlefinger' Baelish,Jorah Mormont
Petyr 'Littlefinger' Baelish,Alliser Thorne
Petyr 'Littlefinger' Baelish,Janos Slynt
Petyr 'Littlefinger' Baelish,Grenn
Petyr 'Littlefinger' Baelish,Eddison Tollett
Petyr 'Littlefinger' Baelish,Pypar
Petyr 'Littlefinger' Baelish,Olly
Petyr 'Littlefinger' Baelish,Othell Yarwyck
Melisandre,Samwell Tarly
Melisandre,Sansa Stark
Melisandre,Arya Stark
Melisandre,Sandor 'The Hound' Clegane
Melisandre,Brienne of Tarth
Melisandre,Bronn
Melisandre,Oberyn Martell
Melisandre,Daario Naharis
Melisandre,Selyse Baratheon
Melisandre,Lysa Arryn
Melisandre,Podrick Payne
Melisandre,Robin Arryn
Melisandre,Rorge
Melisandre,Hot Pie
Melisandre,Gregor Clegane
Melisandre,Biter
Melisandre,Jon Snow
Melisandre,Jorah Mormont
Melisandre,Alliser Thorne
Melisandre,Janos Slynt
Melisandre,Grenn
Melisandre,Eddison Tollett
Melisandre,Pypar
Melisandre,Olly
Melisandre,Othell Yarwyck
Samwell Tarly,Sansa Stark
Samwell Tarly,Arya Stark
Samwell Tarly,Sandor 'The Hound' Clegane
Samwell Tarly,Brienne of Tarth
Samwell Tarly,Bronn
Samwell Tarly,Oberyn Martell
Samwell Tarly,Daario Naharis
Samwell Tarly,Selyse Baratheon
Samwell Tarly,Lysa Arryn
Samwell Tarly,Podrick Payne
Samwell Tarly,Robin Arryn
Samwell Tarly,Rorge
Samwell Tarly,Hot Pie
Samwell Tarly,Gregor Clegane
Samwell Tarly,Biter
Samwell Tarly,Jon Snow
Samwell Tarly,Jorah Mormont
Samwell Tarly,Alliser Thorne
Samwell Tarly,Janos Slynt
Samwell Tarly,Grenn
Samwell Tarly,Eddison Tollett
Samwell Tarly,Pypar
Samwell Tarly,Olly
Samwell Tarly,Othell Yarwyck
Sansa Stark,Arya Stark
Sansa Stark,Sandor 'The Hound' Clegane
Sansa Stark,Brienne of Tarth
Sansa Stark,Bronn
Sansa Stark,Oberyn Martell
Sansa Stark,Daario Naharis
Sansa Stark,Selyse Baratheon
Sansa Stark,Lysa Arryn
Sansa Stark,Podrick Payne
Sansa Stark,Robin Arryn
Sansa Stark,Rorge
Sansa Stark,Hot Pie
Sansa Stark,Gregor Clegane
Sansa Stark,Biter
Sansa Stark,Jon Snow
Sansa Stark,Jorah Mormont
Sansa Stark,Alliser Thorne
Sansa Stark,Janos Slynt
Sansa Stark,Grenn
Sansa Stark,Eddison Tollett
Sansa Stark,Pypar
Sansa Stark,Olly
Sansa Stark,Othell Yarwyck
Arya Stark,Sandor 'The Hound' Clegane
Arya Stark,Brienne of Tarth
Arya Stark,Bronn
Arya Stark,Oberyn Martell
Arya Stark,Daario Naharis
Arya Stark,Selyse Baratheon
Arya Stark,Lysa Arryn
Arya Stark,Podrick Payne
Arya Stark,Robin Arryn
Arya Stark,Rorge
Arya Stark,Hot Pie
Arya Stark,Gregor Clegane
Arya Stark,Biter
Arya Stark,Jon Snow
Arya Stark,Jorah Mormont
Arya Stark,Alliser Thorne
Arya Stark,Janos Slynt
Arya Stark,Grenn
Arya Stark,Eddison Tollett
Arya Stark,Pypar
Arya Stark,Olly
Arya Stark,Othell Yarwyck
Sandor 'The Hound' Clegane,Brienne of Tarth
Sandor 'The Hound' Clegane,Bronn
Sandor 'The Hound' Clegane,Oberyn Martell
Sandor 'The Hound' Clegane,Daario Naharis
Sandor 'The Hound' Clegane,Selyse Baratheon
Sandor 'The Hound' Clegane,Lysa Arryn
Sandor 'The Hound' Clegane,Podrick Payne
Sandor 'The Hound' Clegane,Robin Arryn
Sandor 'The Hound' Clegane,Rorge
Sandor 'The Hound' Clegane,Hot Pie
Sandor 'The Hound' Clegane,Gregor Clegane
Sandor 'The Hound' Clegane,Biter
Sandor 'The Hound' Clegane,Jon Snow
Sandor 'The Hound' Clegane,Jorah Mormont
Sandor 'The Hound' Clegane,Alliser Thorne
Sandor 'The Hound' Clegane,Janos Slynt
Sandor 'The Hound' Clegane,Grenn
Sandor 'The Hound' Clegane,Eddison Tollett
Sandor 'The Hound' Clegane,Pypar
Sandor 'The Hound' Clegane,Olly
Sandor 'The Hound' Clegane,Othell Yarwyck
Brienne of Tarth,Bronn
