NAME 1,NAME 2
Tyrion Lannister,Jaime Lannister
Tyrion Lannister,Cersei Lannister
Tyrion Lannister,Daenerys Targaryen
Tyrion Lannister,Jon Snow
Tyrion Lannister,Petyr 'Littlefinger' Baelish
Tyrion Lannister,Davos Seaworth
Tyrion Lannister,Sansa Stark
Tyrion Lannister,Arya Stark
Tyrion Lannister,Theon Greyjoy
Tyrion Lannister,Samwell Tarly
Tyrion Lannister,Bran Stark
Tyrion Lannister,Lord Varys
Tyrion Lannister,Bronn
Tyrion Lannister,Brienne of Tarth
Tyrion Lannister,Sandor 'The Hound' Clegane
Tyrion Lannister,Tormund Giantsbane
Tyrion Lannister,Jorah Mormont
Tyrion Lannister,Euron Greyjoy
Tyrion Lannister,Beric Dondarrion
Tyrion Lannister,Grey Worm
Tyrion Lannister,Podrick Payne
Tyrion Lannister,Gregor Clegane
Tyrion Lannister,Yohn Royce
Tyrion Lannister,Lyanna Stark
Tyrion Lannister,Harrag
Tyrion Lannister,Maester Wolkan
Tyrion Lannister,Rhaegar Targaryen
Tyrion Lannister,High Septon Maynard
Tyrion Lannister,Qhono
Tyrion Lannister,Missandei
Tyrion Lannister,Gilly
Tyrion Lannister,Qyburn
Tyrion Lannister,Young Ned
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Jon Snow
Jaime Lannister,Petyr 'Littlefinger' Baelish
Jaime Lannister,Davos Seaworth
Jaime Lannister,Sansa Stark
Jaime Lannister,Arya Stark
Jaime Lannister,Theon Greyjoy
Jaime Lannister,Samwell Tarly
Jaime Lannister,Bran Stark
Jaime Lannister,Lord Varys
Jaime Lannister,Bronn
Jaime Lannister,Brienne of Tarth
Jaime Lannister,Sandor 'The Hound' Clegane
Jaime Lannister,Tormund Giantsbane
Jaime Lannister,Jorah Mormont
Jaime Lannister,Euron Greyjoy
Jaime Lannister,Beric Dondarrion
Jaime Lannister,Grey Worm
Jaime Lannister,Podrick Payne
Jaime Lannister,Gregor Clegane
Jaime Lannister,Yohn Royce
Jaime Lannister,Lyanna Stark
Jaime Lannister,Harrag
Jaime Lannister,Maester Wolkan
Jaime Lannister,Rhaegar Targaryen
Jaime Lannister,High Septon Maynard
Jaime Lannister,Qhono
Jaime Lannister,Missandei
Jaime Lannister,Gilly
Jaime Lannister,Qyburn
Jaime Lannister,Young Ned
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jon Snow
Cersei Lannister,Petyr 'Littlefinger' Baelish
Cersei Lannister,Davos Seaworth
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Theon Greyjoy
Cersei Lannister,Samwell Tarly
Cersei Lannister,Bran Stark
Cersei Lannister,Lord Varys
Cersei Lannister,Bronn
Cersei Lannister,Brienne of Tarth
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Tormund Giantsbane
Cersei Lannister,Jorah Mormont
Cersei Lannister,Euron Greyjoy
Cersei Lannister,Beric Dondarrion
Cersei Lannister,Grey Worm
Cersei Lannister,Podrick Payne
Cersei Lannister,Gregor Clegane
Cersei Lannister,Yohn Royce
Cersei Lannister,Lyanna Stark
Cersei Lannister,Harrag
Cersei Lannister,Maester Wolkan
Cersei Lannister,Rhaegar Targaryen
Cersei Lannister,High Septon Maynard
Cersei Lannister,Qhono
Cersei Lannister,Missandei
Cersei Lannister,Gilly
Cersei Lannister,Qyburn
Cersei Lannister,Young Ned
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Petyr 'Littlefinger' Baelish
Daenerys Targaryen,Davos Seaworth
Daenerys Targaryen,Sansa Stark
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Theon Greyjoy
Daenerys Targaryen,Samwell Tarly
Daenerys Targaryen,Bran Stark
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Bronn
Daenerys Targaryen,Brienne of Tarth
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Tormund Giantsbane
Daenerys Targaryen,Jorah Mormont
Daenerys Targaryen,Euron Greyjoy
Daenerys Targaryen,Beric Dondarrion
Daenerys Targaryen,Grey Worm
Daenerys Targaryen,Podrick Payne
Daenerys Targaryen,Gregor Clegane
Daenerys Targaryen,Yohn Royce
Daenerys Targaryen,Lyanna Stark
Daenerys Targaryen,Harrag
Daenerys Targaryen,Maester Wolkan
Daenerys Targaryen,Rhaegar Targaryen
Daenerys Targaryen,High Septon Maynard
Daenerys Targaryen,Qhono
Daenerys Targaryen,Missandei
Daenerys Targaryen,Gilly
Daenerys Targaryen,Qyburn
Daenerys Targaryen,Young Ned
Jon Snow,Petyr 'Littlefinger' Baelish
Jon Snow,Davos Seaworth
Jon Snow,Sansa Stark
Jon Snow,Arya Stark
Jon Snow,Theon Greyjoy
Jon Snow,Samwell Tarly
Jon Snow,Bran Stark
Jon Snow,Lord Varys
Jon Snow,Bronn
Jon Snow,Brienne of Tarth
Jon Snow,Sandor 'The Hound' Clegane
Jon Snow,Tormund Giantsbane
Jon Snow,Jorah Mormont
Jon Snow,Euron Greyjoy
Jon Snow,Beric Dondarrion
Jon Snow,Grey Worm
Jon Snow,Podrick Payne
Jon Snow,Gregor Clegane
Jon Snow,Yohn Royce
Jon Snow,Lyanna Stark
Jon Snow,Harrag
Jon Snow,Maester Wolkan
Jon Snow,Rhaegar Targaryen
Jon Snow,High Septon Maynard
Jon Snow,Qhono
Jon Snow,Missandei
Jon Snow,Gilly
Jon Snow,Qyburn
Jon Snow,Young Ned
Petyr 'Littlefinger' Baelish,Davos Seaworth
Petyr 'Littlefinger' Baelish,Sansa Stark
Petyr 'Littlefinger' Baelish,Arya Stark
Petyr 'Littlefinger' Baelish,Theon Greyjoy
Petyr 'Littlefinger' Baelish,Samwell Tarly
Petyr 'Littlefinger' Baelish,Bran Stark
Petyr 'Littlefinger' Baelish,Lord Varys
Petyr 'Littlefinger' Baelish,Bronn
Petyr 'Littlefinger' Baelish,Brienne of Tarth
Petyr 'Littlefinger' Baelish,Sandor 'The Hound' Clegane
Petyr 'Littlefinger' Baelish,Tormund Giantsbane
Petyr 'Littlefinger' Baelish,Jorah Mormont
Petyr 'Littlefinger' Baelish,Euron Greyjoy
Petyr 'Littlefinger' Baelish,Beric Dondarrion
Petyr 'Littlefinger' Baelish,Grey Worm
Petyr 'Littlefinger' Baelish,Podrick Payne
Petyr 'Littlefinger' Baelish,Gregor Clegane
Petyr 'Littlefinger' Baelish,Yohn Royce
Petyr 'Littlefinger' Baelish,Lyanna Stark
Petyr 'Littlefinger' Baelish,Harrag
Petyr 'Littlefinger' Baelish,Maester Wolkan
Petyr 'Littlefinger' Baelish,Rhaegar Targaryen
Petyr 'Littlefinger' Baelish,High Septon Maynard
Petyr 'Littlefinger' Baelish,Qhono
Petyr 'Littlefinger' Baelish,Missandei
Petyr 'Littlefinger' Baelish,Gilly
Petyr 'Littlefinger' Baelish,Qyburn
Petyr 'Littlefinger' Baelish,Young Ned
Davos Seaworth,Sansa Stark
Davos Seaworth,Arya Stark
Davos Seaworth,Theon Greyjoy
Davos Seaworth,Samwell Tarly
Davos Seaworth,Bran Stark
Davos Seaworth,Lord Varys
Davos Seaworth,Bronn
Davos Seaworth,Brienne of Tarth
Davos Seaworth,Sandor 'The Hound' Clegane
Davos Seaworth,Tormund Giantsbane
Davos Seaworth,Jorah Mormont
Davos Seaworth,Euron Greyjoy
Davos Seaworth,Beric Dondarrion
Davos Seaworth,Grey Worm
Davos Seaworth,Podrick Payne
Davos Seaworth,Gregor Clegane
Davos Seaworth,Yohn Royce
Davos Seaworth,Lyanna Stark
Davos Seaworth,Harrag
Davos Seaworth,Maester Wolkan
Davos Seaworth,Rhaegar Targaryen
Davos Seaworth,High Septon Maynard
Davos Seaworth,Qhono
Davos Seaworth,Missandei
Davos Seaworth,Gilly
Davos Seaworth,Qyburn
Davos Seaworth,Young Ned
Sansa Stark,Arya Stark
Sansa Stark,Theon Greyjoy
Sansa Stark,Samwell Tarly
Sansa Stark,Bran Stark
Sansa Stark,Lord Varys
Sansa Stark,Bronn
Sansa Stark,Brienne of Tarth
Sansa Stark,Sandor 'The Hound' Clegane
Sansa Stark,Tormund Giantsbane
Sansa Stark,Jorah Mormont
Sansa Stark,Euron Greyjoy
Sansa Stark,Beric Dondarrion
Sansa Stark,Grey Worm
Sansa Stark,Podrick Payne
Sansa Stark,Gregor Clegane
Sansa Stark,Yohn Royce
Sansa Stark,Lyanna Stark
Sansa Stark,Harrag
Sansa Stark,Maester Wolkan
Sansa Stark,Rhaegar Targaryen
Sansa Stark,High Septon Maynard
Sansa Stark,Qhono
Sansa Stark,Missandei
Sansa Stark,Gilly
Sansa Stark,Qyburn
Sansa Stark,Young Ned
Arya Stark,Theon Greyjoy
Arya Stark,Samwell Tarly
Arya Stark,Bran Stark
Arya Stark,Lord Varys
Arya Stark,Bronn
Arya Stark,Brienne of Tarth
Arya Stark,Sandor 'The Hound' Clegane
Arya Stark,Tormund Giantsbane
Arya Stark,Jorah Mormont
Arya Stark,Euron Greyjoy
Arya Stark,Beric Dondarrion
Arya Stark,Grey Worm
Arya Stark,Podrick Payne
Arya Stark,Gregor Clegane
Arya Stark,Yohn Royce
Arya Stark,Lyanna Stark
Arya Stark,Harrag
Arya Stark,Maester Wolkan
Arya Stark,Rhaegar Targaryen
