NAME 1,NAME 2
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Bran Stark
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Maester Luwin
Eddard 'Ned' Stark,Lord Varys
Eddard 'Ned' Stark,Bronn
Eddard 'Ned' Stark,Jeor Mormont
Eddard 'Ned' Stark,Alliser Thorne
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Barristan Selmy
Eddard 'Ned' Stark,Samwell Tarly
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Syrio Forel
Eddard 'Ned' Stark,Lysa Arryn
Eddard 'Ned' Stark,Osha
Eddard 'Ned' Stark,Septa Mordane
Eddard 'Ned' Stark,Greatjon Umber
Eddard 'Ned' Stark,Pypar
Eddard 'Ned' Stark,Shagga
Eddard 'Ned' Stark,Mirri Maz Duur
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Doreah
Eddard 'Ned' Stark,Rakharo
Eddard 'Ned' Stark,Qotho
Eddard 'Ned' Stark,Robin Arryn
Eddard 'Ned' Stark,Rickon Stark
Eddard 'Ned' Stark,Meryn Trant
Eddard 'Ned' Stark,Othell Yarwyck
Eddard 'Ned' Stark,Khal Drogo
Eddard 'Ned' Stark,Mago
Eddard 'Ned' Stark,Timett
Eddard 'Ned' Stark,Sandor 'The Hound' Clegane
Eddard 'Ned' Stark,Tywin Lannister
Eddard 'Ned' Stark,Janos Slynt
Eddard 'Ned' Stark,Grenn
Eddard 'Ned' Stark,Rast
Eddard 'Ned' Stark,Hodor
Eddard 'Ned' Stark,Kevan Lannister
Eddard 'Ned' Stark,Vayon Poole
Catelyn Stark,Cersei Lannister
Catelyn Stark,Daenerys Targaryen
Catelyn Stark,Jorah Mormont
Catelyn Stark,Petyr 'Littlefinger' Baelish
Catelyn Stark,Jon Snow
Catelyn Stark,Robb Stark
Catelyn Stark,Sansa Stark
Catelyn Stark,Arya Stark
Catelyn Stark,Theon Greyjoy
Catelyn Stark,Bran Stark
Catelyn Stark,Joffrey Baratheon
Catelyn Stark,Tyrion Lannister
Catelyn Stark,Maester Luwin
Catelyn Stark,Lord Varys
Catelyn Stark,Bronn
Catelyn Stark,Jeor Mormont
Catelyn Stark,Alliser Thorne
Catelyn Stark,Rodrik Cassel
Catelyn Stark,Barristan Selmy
Catelyn Stark,Samwell Tarly
Catelyn Stark,Grand Maester Pycelle
Catelyn Stark,Syrio Forel
Catelyn Stark,Lysa Arryn
Catelyn Stark,Osha
Catelyn Stark,Septa Mordane
Catelyn Stark,Greatjon Umber
Catelyn Stark,Pypar
Catelyn Stark,Shagga
Catelyn Stark,Mirri Maz Duur
Catelyn Stark,Irri
Catelyn Stark,Doreah
Catelyn Stark,Rakharo
Catelyn Stark,Qotho
Catelyn Stark,Robin Arryn
Catelyn Stark,Rickon Stark
Catelyn Stark,Meryn Trant
Catelyn Stark,Othell Yarwyck
Catelyn Stark,Khal Drogo
Catelyn Stark,Mago
Catelyn Stark,Timett
Catelyn Stark,Sandor 'The Hound' Clegane
Catelyn Stark,Tywin Lannister
Catelyn Stark,Janos Slynt
Catelyn Stark,Grenn
Catelyn Stark,Rast
Catelyn Stark,Hodor
Catelyn Stark,Kevan Lannister
Catelyn Stark,Vayon Poole
Cersei Lannister,Daenerys Targaryen
Cersei Lannister,Jorah Mormont
Cersei Lannister,Petyr 'Littlefinger' Baelish
Cersei Lannister,Jon Snow
Cersei Lannister,Robb Stark
Cersei Lannister,Sansa Stark
Cersei Lannister,Arya Stark
Cersei Lannister,Theon Greyjoy
Cersei Lannister,Bran Stark
Cersei Lannister,Joffrey Baratheon
Cersei Lannister,Tyrion Lannister
Cersei Lannister,Maester Luwin
Cersei Lannister,Lord Varys
Cersei Lannister,Bronn
Cersei Lannister,Jeor Mormont
Cersei Lannister,Alliser Thorne
Cersei Lannister,Rodrik Cassel
Cersei Lannister,Barristan Selmy
Cersei Lannister,Samwell Tarly
Cersei Lannister,Grand Maester Pycelle
Cersei Lannister,Syrio Forel
Cersei Lannister,Lysa Arryn
Cersei Lannister,Osha
Cersei Lannister,Septa Mordane
Cersei Lannister,Greatjon Umber
Cersei Lannister,Pypar
Cersei Lannister,Shagga
Cersei Lannister,Mirri Maz Duur
Cersei Lannister,Irri
Cersei Lannister,Doreah
Cersei Lannister,Rakharo
Cersei Lannister,Qotho
Cersei Lannister,Robin Arryn
Cersei Lannister,Rickon Stark
Cersei Lannister,Meryn Trant
Cersei Lannister,Othell Yarwyck
Cersei Lannister,Khal Drogo
Cersei Lannister,Mago
Cersei Lannister,Timett
Cersei Lannister,Sandor 'The Hound' Clegane
Cersei Lannister,Tywin Lannister
Cersei Lannister,Janos Slynt
Cersei Lannister,Grenn
Cersei Lannister,Rast
Cersei Lannister,Hodor
Cersei Lannister,Kevan Lannister
Cersei Lannister,Vayon Poole
Daenerys Targaryen,Jorah Mormont
Daenerys Targaryen,Petyr 'Littlefinger' Baelish
Daenerys Targaryen,Jon Snow
Daenerys Targaryen,Robb Stark
Daenerys Targaryen,Sansa Stark
Daenerys Targaryen,Arya Stark
Daenerys Targaryen,Theon Greyjoy
Daenerys Targaryen,Bran Stark
Daenerys Targaryen,Joffrey Baratheon
Daenerys Targaryen,Tyrion Lannister
Daenerys Targaryen,Maester Luwin
Daenerys Targaryen,Lord Varys
Daenerys Targaryen,Bronn
Daenerys Targaryen,Jeor Mormont
Daenerys Targaryen,Alliser Thorne
Daenerys Targaryen,Rodrik Cassel
Daenerys Targaryen,Barristan Selmy
Daenerys Targaryen,Samwell Tarly
Daenerys Targaryen,Grand Maester Pycelle
Daenerys Targaryen,Syrio Forel
Daenerys Targaryen,Lysa Arryn
Daenerys Targaryen,Osha
Daenerys Targaryen,Septa Mordane
Daenerys Targaryen,Greatjon Umber
Daenerys Targaryen,Pypar
Daenerys Targaryen,Shagga
Daenerys Targaryen,Mirri Maz Duur
Daenerys Targaryen,Irri
Daenerys Targaryen,Doreah
Daenerys Targaryen,Rakharo
Daenerys Targaryen,Qotho
Daenerys Targaryen,Robin Arryn
Daenerys Targaryen,Rickon Stark
Daenerys Targaryen,Meryn Trant
Daenerys Targaryen,Othell Yarwyck
Daenerys Targaryen,Khal Drogo
Daenerys Targaryen,Mago
Daenerys Targaryen,Timett
Daenerys Targaryen,Sandor 'The Hound' Clegane
Daenerys Targaryen,Tywin Lannister
Daenerys Targaryen,Janos Slynt
Daenerys Targaryen,Grenn
Daenerys Targaryen,Rast
Daenerys Targaryen,Hodor
Daenerys Targaryen,Kevan Lannister
Daenerys Targaryen,Vayon Poole
Jorah Mormont,Petyr 'Littlefinger' Baelish
Jorah Mormont,Jon Snow
Jorah Mormont,Robb Stark
Jorah Mormont,Sansa Stark
Jorah Mormont,Arya Stark
Jorah Mormont,Theon Greyjoy
Jorah Mormont,Bran Stark
Jorah Mormont,Joffrey Baratheon
Jorah Mormont,Tyrion Lannister
Jorah Mormont,Maester Luwin
Jorah Mormont,Lord Varys
Jorah Mormont,Bronn
Jorah Mormont,Jeor Mormont
Jorah Mormont,Alliser Thorne
Jorah Mormont,Rodrik Cassel
Jorah Mormont,Barristan Selmy
Jorah Mormont,Samwell Tarly
Jorah Mormont,Grand Maester Pycelle
Jorah Mormont,Syrio Forel
Jorah Mormont,Lysa Arryn
Jorah Mormont,Osha
Jorah Mormont,Septa Mordane
Jorah Mormont,Greatjon Umber
Jorah Mormont,Pypar
Jorah Mormont,Shagga
Jorah Mormont,Mirri Maz Duur
Jorah Mormont,Irri
Jorah Mormont,Doreah
Jorah Mormont,Rakharo
Jorah Mormont,Qotho
Jorah Mormont,Robin Arryn
Jorah Mormont,Rickon Stark
Jorah Mormont,Meryn Trant
Jorah Mormont,Othell Yarwyck
Jorah Mormont,Khal Drogo
Jorah Mormont,Mago
Jorah Mormont,Timett
Jorah Mormont,Sandor 'The Hound' Clegane
Jorah Mormont,Tywin Lannister
Jorah Mormont,Janos Slynt
Jorah Mormont,Grenn
Jorah Mormont,Rast
Jorah Mormont,Hodor
Jorah Mormont,Kevan Lannister
Jorah Mormont,Vayon Poole
Petyr 'Littlefinger' Baelish,Jon Snow
Petyr 'Littlefinger' Baelish,Robb Stark
Petyr 'Littlefinger' Baelish,Sansa Stark
Petyr 'Littlefinger' Baelish,Arya Stark
Petyr 'Littlefinger' Baelish,Theon Greyjoy
Petyr 'Littlefinger' Baelish,Bran Stark
Petyr 'Littlefinger' Baelish,Joffrey Baratheon
Petyr 'Littlefinger' Baelish,Tyrion Lannister
Petyr 'Littlefinger' Baelish,Maester Luwin
Petyr 'Littlefinger' Baelish,Lord Varys
Petyr 'Littlefinger' Baelish,Bronn
Petyr 'Littlefinger' Baelish,Jeor Mormont
Petyr 'Littlefinger' Baelish,Alliser Thorne
Petyr 'Littlefinger' Baelish,Rodrik Cassel
Petyr 'Littlefinger' Baelish,Barristan Selmy
Petyr 'Littlefinger' Baelish,Samwell Tarly
Petyr 'Littlefinger' Baelish,Grand Maester Pycelle
Petyr 'Littlefinger' Baelish,Syrio Forel
Petyr 'Littlefinger' Baelish,Lysa Arryn
Petyr 'Littlefinger' Baelish,Osha
Petyr 'Littlefinger' Baelish,Septa Mordane
Petyr 'Littlefinger' Baelish,Greatjon Umber
Petyr 'Littlefinger' Baelish,Pypar
Petyr 'Littlefinger' Baelish,Shagga
Petyr 'Littlefinger' Baelish,Mirri Maz Duur
Petyr 'Littlefinger' Baelish,Irri
Petyr 'Littlefinger' Baelish,Doreah
Petyr 'Littlefinger' Baelish,Rakharo
Petyr 'Littlefinger' Baelish,Qotho
Petyr 'Littlefinger' Baelish,Robin Arryn
Petyr 'Littlefinger' Baelish,Rickon Stark
