NAME 1,NAME 2
Eddard 'Ned' Stark,Robert Baratheon
Eddard 'Ned' Stark,Jaime Lannister
Eddard 'Ned' Stark,Catelyn Stark
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Viserys Targaryen
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Sansa Stark
Eddard 'Ned' Stark,Arya Stark
Eddard 'Ned' Stark,Robb Stark
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Bran Stark
Eddard 'Ned' Stark,Tyrion Lannister
Eddard 'Ned' Stark,Maester Luwin
Eddard 'Ned' Stark,Jory Cassel
Eddard 'Ned' Stark,Rodrik Cassel
Eddard 'Ned' Stark,Illyrio Mopatis
Eddard 'Ned' Stark,Will
Eddard 'Ned' Stark,Jon Arryn
Eddard 'Ned' Stark,Waymar Royce
Eddard 'Ned' Stark,Gared
Eddard 'Ned' Stark,Rickon Stark
Eddard 'Ned' Stark,Hodor
Eddard 'Ned' Stark,Khal Drogo
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Sandor 'The Hound' Clegane
Eddard 'Ned' Stark,Benjen Stark
Eddard 'Ned' Stark,Qotho
Eddard 'Ned' Stark,Ros
Eddard 'Ned' Stark,Septa Mordane
Eddard 'Ned' Stark,Tommen Baratheon
Eddard 'Ned' Stark,Myrcella Baratheon
Robert Baratheon,Jaime Lannister
Robert Baratheon,Catelyn Stark
Robert Baratheon,Cersei Lannister
Robert Baratheon,Daenerys Targaryen
Robert Baratheon,Jorah Mormont
Robert Baratheon,Viserys Targaryen
Robert Baratheon,Jon Snow
Robert Baratheon,Sansa Stark
Robert Baratheon,Arya Stark
Robert Baratheon,Robb Stark
Robert Baratheon,Theon Greyjoy
Robert Baratheon,Bran Stark
Robert Baratheon,Tyrion Lannister
Robert Baratheon,Maester Luwin
Robert Baratheon,Jory Cassel
Robert Baratheon,Rodrik Cassel
Robert Baratheon,Illyrio Mopatis
Robert Baratheon,Will
Robert Baratheon,Jon Arryn
Robert Baratheon,Waymar Royce
Robert Baratheon,Gared
Robert Baratheon,Rickon Stark
Robert Baratheon,Hodor
Robert Baratheon,Khal Drogo
Robert Baratheon,Joffrey Baratheon
Robert Baratheon,Sandor 'The Hound' Clegane
Robert Baratheon,Benjen Stark
Robert Baratheon,Qotho
Robert Baratheon,Ros
Robert Baratheon,Septa Mordane
Robert Baratheon,Tommen Baratheon
Robert Baratheon,Myrcella Baratheon
Jaime Lannister,Catelyn Stark
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
Jaime Lannister,Jorah Mormont
Jaime Lannister,Viserys Targaryen
Jaime Lannister,Jon Snow
Jaime Lannister,Sansa Stark
