NAME 1,NAME 2
Eddard 'Ned' Stark,Robert Baratheon
Eddard 'Ned' Stark,Jaime Lannister
Eddard 'Ned' Stark,Cersei Lannister
Eddard 'Ned' Stark,Daenerys Targaryen
Eddard 'Ned' Stark,Jorah Mormont
Eddard 'Ned' Stark,Petyr 'Littlefinger' Baelish
Eddard 'Ned' Stark,Jon Snow
Eddard 'Ned' Stark,Maester Luwin
Eddard 'Ned' Stark,Lord Varys
Eddard 'Ned' Stark,Tywin Lannister
Eddard 'Ned' Stark,Samwell Tarly
Eddard 'Ned' Stark,Ros
Eddard 'Ned' Stark,Pypar
Eddard 'Ned' Stark,Irri
Eddard 'Ned' Stark,Doreah
Eddard 'Ned' Stark,Qotho
Eddard 'Ned' Stark,Armeca
Eddard 'Ned' Stark,Othell Yarwyck
Eddard 'Ned' Stark,Khal Drogo
Eddard 'Ned' Stark,Theon Greyjoy
Eddard 'Ned' Stark,Joffrey Baratheon
Eddard 'Ned' Stark,Sandor 'The Hound' Clegane
Eddard 'Ned' Stark,Jeor Mormont
Eddard 'Ned' Stark,Alliser Thorne
Eddard 'Ned' Stark,Barristan Selmy
Eddard 'Ned' Stark,Maester Aemon
Eddard 'Ned' Stark,Grand Maester Pycelle
Eddard 'Ned' Stark,Renly Baratheon
Eddard 'Ned' Stark,Janos Slynt
Eddard 'Ned' Stark,Osha
Eddard 'Ned' Stark,Grenn
Eddard 'Ned' Stark,Rast
Eddard 'Ned' Stark,Rakharo
Eddard 'Ned' Stark,Varly
Eddard 'Ned' Stark,Jaremy Rykker
Eddard 'Ned' Stark,Tomard
Robert Baratheon,Jaime Lannister
Robert Baratheon,Cersei Lannister
Robert Baratheon,Daenerys Targaryen
Robert Baratheon,Jorah Mormont
Robert Baratheon,Petyr 'Littlefinger' Baelish
Robert Baratheon,Jon Snow
Robert Baratheon,Maester Luwin
Robert Baratheon,Lord Varys
Robert Baratheon,Tywin Lannister
Robert Baratheon,Samwell Tarly
Robert Baratheon,Ros
Robert Baratheon,Pypar
Robert Baratheon,Irri
Robert Baratheon,Doreah
Robert Baratheon,Qotho
Robert Baratheon,Armeca
Robert Baratheon,Othell Yarwyck
Robert Baratheon,Khal Drogo
Robert Baratheon,Theon Greyjoy
Robert Baratheon,Joffrey Baratheon
Robert Baratheon,Sandor 'The Hound' Clegane
Robert Baratheon,Jeor Mormont
Robert Baratheon,Alliser Thorne
Robert Baratheon,Barristan Selmy
Robert Baratheon,Maester Aemon
Robert Baratheon,Grand Maester Pycelle
Robert Baratheon,Renly Baratheon
Robert Baratheon,Janos Slynt
Robert Baratheon,Osha
Robert Baratheon,Grenn
Robert Baratheon,Rast
Robert Baratheon,Rakharo
Robert Baratheon,Varly
Robert Baratheon,Jaremy Rykker
Robert Baratheon,Tomard
Jaime Lannister,Cersei Lannister
Jaime Lannister,Daenerys Targaryen
