CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Minister Rufus Scrimgeour,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Hermione Granger,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Vernon Dursley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Dudley Dursley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Harry Potter,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Molly Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Ginny Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Ron Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Petunia Dursley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Severus Snape,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Charity Burbage,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Lord Voldemort,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Bellatrix Lestrange,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Narcissa Malfoy,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Lucius Malfoy,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Draco Malfoy,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Peter Pettigrew,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Death Eater Yaxley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Pius Thicknesse,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Antonin Dolohov,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Albus Dumbledore,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Elphias Doge,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Rubeus Hagrid,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Alastor 'Mad-Eye' Moody,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Fred Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
George Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Arthur Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Kingsley Shacklebolt,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Mundungus Fletcher,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Bill Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Fleur Delacour,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Nymphadora Tonks,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Remus Lupin,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Ollivander,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Luna Lovegood,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Xenophilius Lovegood,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Auntie Muriel Weasley,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Neville Longbottom,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Cormac McLaggen,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Dolores Umbridge,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Albert Runcorn,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Reg Cattermole,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Scabior,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Dobby,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Mafalda Hopkirk,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Mary Cattermole,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Gregorovitch,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Gellert Grindelwald ,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Griphook,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Dirk Cresswell,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Mr Granger,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
Mrs Granger,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,female
Death Eater,HP,HarryPotterandtheDeathlyHallows:Part1,19-11-2010,male
