CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Frank Bryce,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Peter Pettigrew,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Barty Crouch Junior,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Harry Potter,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Hermione Granger,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Ron Weasley,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Arthur Weasley,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Fred Weasley,HP,HarryPotterandtheGobletofFire,18-11-2005,male
George Weasley,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Ginny Weasley,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Amos Diggory,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Cedric Diggory,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Lucius Malfoy,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Draco Malfoy,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Viktor Krum,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Cornelius Fudge,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Barty Crouch,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Cho Chang,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Neville Longbottom,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Rubeus Hagrid,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Nigel,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Albus Dumbledore,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Argus Filch,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Seamus Finnigan,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Padma Patil,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Madame Olympe Maxime,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Parvati Patil,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Gabrielle Delacour,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Fleur Delacour,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Minerva McGonagall,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Severus Snape,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Igor Karkaroff,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Alastor 'MadEye' Moody,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Dean Thomas,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Ernie MacMillan,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Gregory Goyle,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Hannah Abbott,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Rita Skeeter,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Sirius Black,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Angelina Johnson,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Roger Davies,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Moaning Myrtle,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Lord Voldemort,HP,HarryPotterandtheGobletofFire,18-11-2005,male
James Potter,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Lily Potter,HP,HarryPotterandtheGobletofFire,18-11-2005,female
Filius Flitwick,HP,HarryPotterandtheGobletofFire,18-11-2005,male
Vincent Crabbe,HP,HarryPotterandtheGobletofFire,18-11-2005,male
