CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Harry Potter,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Dudley Dursley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Mrs. Arabella Figg,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Vernon Dursley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
James Potter,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Lily Potter,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Cedric Diggory,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Lord Voldemort,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Nymphadora Tonks,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Alastor 'Mad-Eye' Moody,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Kingsley Shacklebolt,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Elphias Doge,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Emmeline Vance,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Sirius Black,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Arthur Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Remus Lupin,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Minerva McGonagall,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Molly Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Kreacher,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Hermione Granger,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Ron Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Fred Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
George Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Ginny Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Cornelius Fudge,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Lucius Malfoy,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Percy Weasley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Albus Dumbledore,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Dolores Umbridge,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Amelia Bones,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Draco Malfoy,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Vincent Crabbe,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Gregory Goyle,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Cho Chang,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Neville Longbottom,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Luna Lovegood,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Argus Filch,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Seamus Finnigan,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Severus Snape,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Sybil Trelawney,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Dean Thomas,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Padma Patil,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Parvati Patil,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Bellatrix Lestrange,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Rubeus Hagrid,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Grawp,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Edgar Bones,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Frank Longbottom,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Pansy Parkinson,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Peter Pettigrew,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Piers,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Malcolm,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Petunia Dursley,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Mafalda Hopkirk,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,female
Bob,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Professor Grubbly-Plank,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Filius Flitwick,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Everard,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
Phineas,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
John Dawlish,HP,HarryPotterandtheOrderofthePhoenix,11-07-2007,male
