CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Harry Potter,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Uncle Vernon,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Aunt Marge,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Aunt Petunia,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Stan Shunpike,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Ernie the Bus Driver,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Sirius Black,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Cornelius Fudge,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Ron Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Hermione Granger,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
George Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Fred Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Percy Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Molly Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Ginny Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Arthur Weasley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Professor Lupin,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Seamus Finnegan,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Argus Filch,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Albus Dumbledore,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Severus Snape,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Minerva McGonagall,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Rubeus Hagrid,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Neville Longbottom,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Parvati Patel,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Lavender Brown,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Draco Malfoy,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Gregory Goyle,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Pansy Parkinson,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Dean Thomas,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Fat Lady,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Sybil Trelawney,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Vincent Crabbe,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Madame Rosmerta,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Peter Pettigrew,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Dudley Dursley,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
James Potter,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Lily Potter,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
Tom the Innkeeper,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Sir Cadogan,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,male
Angelina Johnson,HP,HarryPotterandthePrisonerofAzkaban,04-06-2004,female
