CHARACTER,UNIVERSE,TITLE,RELEASE_DATE,GENDER
Albus Dumbledore,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Minerva McGonagall,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Rubeus Hagrid,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Harry Potter,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Petunia Dursley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Dudley Dursley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Vernon Dursley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Professor Quirrell,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Filius Flitwick,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Mr. Ollivander,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Lord Voldemort,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Molly Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Ginny Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Percy Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Fred Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
George Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Ron Weasley,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Hermione Granger,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Neville Longbottom,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Draco Malfoy,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Vincent Crabbe,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Seamus Finnigan,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Dean Thomas,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
The Sorting Hat,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Nearly Headless Nick,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
The Bloody Barron,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Fat Friar,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
The Grey Lady,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Mr. Filch,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Severus Snape,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Madame Hooch,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Lee Jordan,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Oliver Wood,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Alicia Spinnet,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Marcus Flint,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
James Potter,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Firenze,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Dedalus Diggle,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
The Ghost of the Cavalier,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Amanda,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Griphook,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Lily Potter,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Gregory Goyle,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Susan Bones,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Fat Lady,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Angelina Johnson,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Katie Bell,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,female
Adrian Pucey,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
Terrence Higgs,HP,HarryPotterandtheSorcerer'sStone,16-11-2001,male
