NAME 1,NAME 2
Lord Voldemort,Albus Dumbledore
Lord Voldemort,Severus Snape
Lord Voldemort,Harry Potter
Lord Voldemort,Ron Weasley
Lord Voldemort,Hermione Granger
Lord Voldemort,Luna Lovegood
Lord Voldemort,Bill Weasley
Lord Voldemort,Fleur Delacour
Lord Voldemort,Filius Flitwick
Lord Voldemort,Ollivander
Lord Voldemort,Bellatrix Lestrange
Lord Voldemort,Bogrod
Lord Voldemort,Helena Ravenclaw
Lord Voldemort,Lucius Malfoy
Lord Voldemort,Narcissa Malfoy
Lord Voldemort,Draco Malfoy
Lord Voldemort,Aberforth Dumbledore
Lord Voldemort,Neville Longbottom
Lord Voldemort,Seamus Finnigan
Lord Voldemort,Lavender Brown
Lord Voldemort,Padma Patil
Lord Voldemort,Leanne
Lord Voldemort,Romilda Vane
Lord Voldemort,Katie Bell
Lord Voldemort,Dean Thomas
Lord Voldemort,Cho Chang
Lord Voldemort,Ginny Weasley
Lord Voldemort,Minerva McGonagall
Lord Voldemort,Horace Slughorn
Lord Voldemort,Pansy Parkinson
Lord Voldemort,Gregory Goyle
Lord Voldemort,Blaise Zabini
Lord Voldemort,Professor Pomona Sprout
Lord Voldemort,Madam Pomfrey
Lord Voldemort,Kingsley Shacklebolt
Lord Voldemort,Remus Lupin
Lord Voldemort,Molly Weasley
Lord Voldemort,Arthur Weasley
Lord Voldemort,Fred Weasley
Lord Voldemort,George Weasley
Lord Voldemort,Percy Weasley
Lord Voldemort,Argus Filch
Lord Voldemort,Pius Thicknesse
Lord Voldemort,Nymphadora Tonks
Lord Voldemort,Sybil Trelawney
Lord Voldemort,Lily Potter
Lord Voldemort,James Potter
Lord Voldemort,Rubeus Hagrid
Lord Voldemort,Sirius Black
Lord Voldemort,Albus Severus Potter - 19 Years Later
Lord Voldemort,Lily Potter - 19 Years Later
Lord Voldemort,James Potter - 19 Years Later
Lord Voldemort,Astoria Malfoy - 19 Years Later
Lord Voldemort,Scorpius Malfoy - 19 Years Later
Lord Voldemort,Rose Weasley - 19 Years Later
Lord Voldemort,Hugo Weasley - 19 Years Later
Lord Voldemort,Teddy Lupin
Lord Voldemort,Ariana Dumbledore
Lord Voldemort,Cormac McLaggen
Lord Voldemort,Nigel
Lord Voldemort,Amycus Carrow
Lord Voldemort,Alecto Carrow
Lord Voldemort,Fenrir Greyback
Lord Voldemort,Peter Pettigrew
Albus Dumbledore,Severus Snape
Albus Dumbledore,Harry Potter
Albus Dumbledore,Ron Weasley
Albus Dumbledore,Hermione Granger
Albus Dumbledore,Luna Lovegood
Albus Dumbledore,Bill Weasley
Albus Dumbledore,Fleur Delacour
Albus Dumbledore,Filius Flitwick
Albus Dumbledore,Ollivander
Albus Dumbledore,Bellatrix Lestrange
Albus Dumbledore,Bogrod
Albus Dumbledore,Helena Ravenclaw
Albus Dumbledore,Lucius Malfoy
Albus Dumbledore,Narcissa Malfoy
Albus Dumbledore,Draco Malfoy
Albus Dumbledore,Aberforth Dumbledore
Albus Dumbledore,Neville Longbottom
Albus Dumbledore,Seamus Finnigan
Albus Dumbledore,Lavender Brown
Albus Dumbledore,Padma Patil
Albus Dumbledore,Leanne
Albus Dumbledore,Romilda Vane
Albus Dumbledore,Katie Bell
Albus Dumbledore,Dean Thomas
Albus Dumbledore,Cho Chang
Albus Dumbledore,Ginny Weasley
Albus Dumbledore,Minerva McGonagall
Albus Dumbledore,Horace Slughorn
Albus Dumbledore,Pansy Parkinson
Albus Dumbledore,Gregory Goyle
Albus Dumbledore,Blaise Zabini
Albus Dumbledore,Professor Pomona Sprout
Albus Dumbledore,Madam Pomfrey
Albus Dumbledore,Kingsley Shacklebolt
Albus Dumbledore,Remus Lupin
Albus Dumbledore,Molly Weasley
Albus Dumbledore,Arthur Weasley
Albus Dumbledore,Fred Weasley
Albus Dumbledore,George Weasley
Albus Dumbledore,Percy Weasley
Albus Dumbledore,Argus Filch
Albus Dumbledore,Pius Thicknesse
Albus Dumbledore,Nymphadora Tonks
Albus Dumbledore,Sybil Trelawney
Albus Dumbledore,Lily Potter
Albus Dumbledore,James Potter
Albus Dumbledore,Rubeus Hagrid
Albus Dumbledore,Sirius Black
Albus Dumbledore,Albus Severus Potter - 19 Years Later
Albus Dumbledore,Lily Potter - 19 Years Later
Albus Dumbledore,James Potter - 19 Years Later
Albus Dumbledore,Astoria Malfoy - 19 Years Later
Albus Dumbledore,Scorpius Malfoy - 19 Years Later
Albus Dumbledore,Rose Weasley - 19 Years Later
Albus Dumbledore,Hugo Weasley - 19 Years Later
Albus Dumbledore,Teddy Lupin
Albus Dumbledore,Ariana Dumbledore
Albus Dumbledore,Cormac McLaggen
Albus Dumbledore,Nigel
Albus Dumbledore,Amycus Carrow
Albus Dumbledore,Alecto Carrow
