NAME 1,NAME 2
Harry Potter,Dudley Dursley
Harry Potter,Mrs. Arabella Figg
Harry Potter,Vernon Dursley
Harry Potter,James Potter
Harry Potter,Lily Potter
Harry Potter,Cedric Diggory
Harry Potter,Lord Voldemort
Harry Potter,Nymphadora Tonks
Harry Potter,Alastor 'Mad-Eye' Moody
Harry Potter,Kingsley Shacklebolt
Harry Potter,Elphias Doge
Harry Potter,Emmeline Vance
Harry Potter,Sirius Black
Harry Potter,Arthur Weasley
Harry Potter,Remus Lupin
Harry Potter,Minerva McGonagall
Harry Potter,Molly Weasley
Harry Potter,Kreacher
Harry Potter,Hermione Granger
Harry Potter,Ron Weasley
Harry Potter,Fred Weasley
Harry Potter,George Weasley
Harry Potter,Ginny Weasley
Harry Potter,Cornelius Fudge
Harry Potter,Lucius Malfoy
Harry Potter,Percy Weasley
Harry Potter,Albus Dumbledore
Harry Potter,Dolores Umbridge
Harry Potter,Amelia Bones
Harry Potter,Draco Malfoy
Harry Potter,Vincent Crabbe
Harry Potter,Gregory Goyle
Harry Potter,Cho Chang
Harry Potter,Neville Longbottom
Harry Potter,Luna Lovegood
Harry Potter,Argus Filch
Harry Potter,Seamus Finnigan
Harry Potter,Severus Snape
Harry Potter,Sybil Trelawney
Harry Potter,Dean Thomas
Harry Potter,Padma Patil
Harry Potter,Parvati Patil
Harry Potter,Bellatrix Lestrange
Harry Potter,Rubeus Hagrid
Harry Potter,Grawp
Harry Potter,Edgar Bones
Harry Potter,Frank Longbottom
Harry Potter,Pansy Parkinson
Harry Potter,Peter Pettigrew
Harry Potter,Piers
Harry Potter,Malcolm
Harry Potter,Petunia Dursley
Harry Potter,Mafalda Hopkirk
Harry Potter,Bob
Harry Potter,Professor Grubbly-Plank
Harry Potter,Filius Flitwick
Harry Potter,Everard
Harry Potter,Phineas
Harry Potter,John Dawlish
Dudley Dursley,Mrs. Arabella Figg
Dudley Dursley,Vernon Dursley
Dudley Dursley,James Potter
Dudley Dursley,Lily Potter
Dudley Dursley,Cedric Diggory
Dudley Dursley,Lord Voldemort
Dudley Dursley,Nymphadora Tonks
Dudley Dursley,Alastor 'Mad-Eye' Moody
Dudley Dursley,Kingsley Shacklebolt
Dudley Dursley,Elphias Doge
Dudley Dursley,Emmeline Vance
Dudley Dursley,Sirius Black
Dudley Dursley,Arthur Weasley
Dudley Dursley,Remus Lupin
Dudley Dursley,Minerva McGonagall
Dudley Dursley,Molly Weasley
Dudley Dursley,Kreacher
Dudley Dursley,Hermione Granger
Dudley Dursley,Ron Weasley
Dudley Dursley,Fred Weasley
Dudley Dursley,George Weasley
Dudley Dursley,Ginny Weasley
Dudley Dursley,Cornelius Fudge
Dudley Dursley,Lucius Malfoy
Dudley Dursley,Percy Weasley
Dudley Dursley,Albus Dumbledore
Dudley Dursley,Dolores Umbridge
Dudley Dursley,Amelia Bones
Dudley Dursley,Draco Malfoy
Dudley Dursley,Vincent Crabbe
Dudley Dursley,Gregory Goyle
Dudley Dursley,Cho Chang
Dudley Dursley,Neville Longbottom
Dudley Dursley,Luna Lovegood
Dudley Dursley,Argus Filch
Dudley Dursley,Seamus Finnigan
Dudley Dursley,Severus Snape
Dudley Dursley,Sybil Trelawney
Dudley Dursley,Dean Thomas
Dudley Dursley,Padma Patil
Dudley Dursley,Parvati Patil
Dudley Dursley,Bellatrix Lestrange
Dudley Dursley,Rubeus Hagrid
Dudley Dursley,Grawp
Dudley Dursley,Edgar Bones
Dudley Dursley,Frank Longbottom
Dudley Dursley,Pansy Parkinson
Dudley Dursley,Peter Pettigrew
Dudley Dursley,Piers
Dudley Dursley,Malcolm
Dudley Dursley,Petunia Dursley
Dudley Dursley,Mafalda Hopkirk
Dudley Dursley,Bob
Dudley Dursley,Professor Grubbly-Plank
Dudley Dursley,Filius Flitwick
Dudley Dursley,Everard
Dudley Dursley,Phineas
Dudley Dursley,John Dawlish
Mrs. Arabella Figg,Vernon Dursley
Mrs. Arabella Figg,James Potter
Mrs. Arabella Figg,Lily Potter
Mrs. Arabella Figg,Cedric Diggory
Mrs. Arabella Figg,Lord Voldemort
Mrs. Arabella Figg,Nymphadora Tonks
Mrs. Arabella Figg,Alastor 'Mad-Eye' Moody
Mrs. Arabella Figg,Kingsley Shacklebolt
Mrs. Arabella Figg,Elphias Doge
Mrs. Arabella Figg,Emmeline Vance
Mrs. Arabella Figg,Sirius Black
Mrs. Arabella Figg,Arthur Weasley
Mrs. Arabella Figg,Remus Lupin
Mrs. Arabella Figg,Minerva McGonagall
Mrs. Arabella Figg,Molly Weasley
Mrs. Arabella Figg,Kreacher
Mrs. Arabella Figg,Hermione Granger
Mrs. Arabella Figg,Ron Weasley
Mrs. Arabella Figg,Fred Weasley
Mrs. Arabella Figg,George Weasley
Mrs. Arabella Figg,Ginny Weasley
Mrs. Arabella Figg,Cornelius Fudge
Mrs. Arabella Figg,Lucius Malfoy
Mrs. Arabella Figg,Percy Weasley
Mrs. Arabella Figg,Albus Dumbledore
Mrs. Arabella Figg,Dolores Umbridge
Mrs. Arabella Figg,Amelia Bones
Mrs. Arabella Figg,Draco Malfoy
Mrs. Arabella Figg,Vincent Crabbe
Mrs. Arabella Figg,Gregory Goyle
Mrs. Arabella Figg,Cho Chang
Mrs. Arabella Figg,Neville Longbottom
Mrs. Arabella Figg,Luna Lovegood
Mrs. Arabella Figg,Argus Filch
Mrs. Arabella Figg,Seamus Finnigan
Mrs. Arabella Figg,Severus Snape
