NAME 1,NAME 2
Albus Dumbledore,Minerva McGonagall
Albus Dumbledore,Rubeus Hagrid
Albus Dumbledore,Harry Potter
Albus Dumbledore,Petunia Dursley
Albus Dumbledore,Dudley Dursley
Albus Dumbledore,Vernon Dursley
Albus Dumbledore,Professor Quirrell
Albus Dumbledore,Filius Flitwick
Albus Dumbledore,Mr. Ollivander
Albus Dumbledore,Lord Voldemort
Albus Dumbledore,Molly Weasley
Albus Dumbledore,Ginny Weasley
Albus Dumbledore,Percy Weasley
Albus Dumbledore,Fred Weasley
Albus Dumbledore,George Weasley
Albus Dumbledore,Ron Weasley
Albus Dumbledore,Hermione Granger
Albus Dumbledore,Neville Longbottom
Albus Dumbledore,Draco Malfoy
Albus Dumbledore,Vincent Crabbe
Albus Dumbledore,Seamus Finnigan
Albus Dumbledore,Dean Thomas
Albus Dumbledore,The Sorting Hat
Albus Dumbledore,Nearly Headless Nick
Albus Dumbledore,The Bloody Barron
Albus Dumbledore,Fat Friar
Albus Dumbledore,The Grey Lady
Albus Dumbledore,Mr. Filch
Albus Dumbledore,Severus Snape
Albus Dumbledore,Madame Hooch
Albus Dumbledore,Lee Jordan
Albus Dumbledore,Oliver Wood
Albus Dumbledore,Alicia Spinnet
Albus Dumbledore,Marcus Flint
Albus Dumbledore,James Potter
Albus Dumbledore,Firenze
Albus Dumbledore,Dedalus Diggle
Albus Dumbledore,The Ghost of the Cavalier
Albus Dumbledore,Amanda
Albus Dumbledore,Griphook
Albus Dumbledore,Lily Potter
Albus Dumbledore,Gregory Goyle
Albus Dumbledore,Susan Bones
Albus Dumbledore,Fat Lady
Albus Dumbledore,Angelina Johnson
Albus Dumbledore,Katie Bell
Albus Dumbledore,Adrian Pucey
Albus Dumbledore,Terrence Higgs
Minerva McGonagall,Rubeus Hagrid
Minerva McGonagall,Harry Potter
Minerva McGonagall,Petunia Dursley
Minerva McGonagall,Dudley Dursley
Minerva McGonagall,Vernon Dursley
Minerva McGonagall,Professor Quirrell
Minerva McGonagall,Filius Flitwick
Minerva McGonagall,Mr. Ollivander
Minerva McGonagall,Lord Voldemort
Minerva McGonagall,Molly Weasley
Minerva McGonagall,Ginny Weasley
Minerva McGonagall,Percy Weasley
Minerva McGonagall,Fred Weasley
Minerva McGonagall,George Weasley
Minerva McGonagall,Ron Weasley
Minerva McGonagall,Hermione Granger
